Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
200.0,200.0,-999.0,190.0,0.0,1145.0,660.0,28.0,49.249270679999995
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3.0,40.59634688
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28.0,15.52010476
284.0,120.0,-999.0,168.0,7.0,970.0,794.0,28.0,40.93419012
331.0,0.0,0.0,192.0,0.0,978.0,825.0,3.0,13.52062436
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3.0,14.98920824
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28.0,32.72253096
173.0,116.0,0.0,192.0,0.0,946.8,856.8,28.0,24.281965768
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7.0,16.26473884
203.5,305.3,0.0,203.5,0.0,963.4,630.0,7.0,19.539060364
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,28.0,41.40992856
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180.0,29.58541516
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3.0,13.62404576
401.8,94.7,-999.0,147.4,11.4,946.8,852.1,56.0,73.69808963999999
202.0,11.0,141.0,206.0,1.72,942.0,801.0,7.0,15.069975430541358
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3.0,14.143910664
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3.0,15.81657944
254.0,0.0,-999.0,198.0,0.0,968.0,863.0,365.0,29.7853632
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14.0,26.310404159999997
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,28.0,31.97100212
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28.0,15.56836808
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,28.0,30.219733079999997
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14.0,22.31833812
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28.0,71.98818916
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180.0,50.94882902
250.0,0.0,95.69,191.84,5.33,948.9,857.2,14.0,24.65566176
424.0,22.0,132.0,168.0,8.92,822.0,750.0,28.0,72.09850532
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,28.0,38.500339839999995
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28.0,29.06830816
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7.0,17.24379476
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28.0,44.32641204
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,56.0,45.08483564
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28.0,32.83974188
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7.0,19.35014394
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,56.0,53.46196904
330.5,169.6,0.0,194.9,8.1,811.0,802.3,28.0,56.619079644
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,14.0,25.62092816
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7.0,46.89815752
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,14.0,25.48303296
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28.0,37.437857324
290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0,45.08483564
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7.0,54.89607912
234.0,156.0,0.0,189.0,5.85,981.0,760.0,28.0,39.300132
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56.0,69.29923276
155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28.0,12.45883132
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28.0,25.216895224
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28.0,15.091250688
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28.0,24.24197616
491.0,26.0,123.0,210.0,3.93,882.0,699.0,56.0,59.59042571527067
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.80085148
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28.0,43.5748832
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,17.3403214
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,3.0,21.02212324
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,28.0,46.38794528
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3.0,36.3009114
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7.0,9.01145132
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28.0,40.679084
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3.0,4.565020596
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,14.0,29.59230992
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28.0,29.073134492
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7.0,23.523542168
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.798513279999995
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3.0,19.51906556
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28.0,21.53923024
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.407950056
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28.0,39.41734292
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7.0,21.179323768
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28.0,46.247292176
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7.0,39.300132
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28.0,26.200088
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56.0,32.8535314
298.0,0.0,107.0,210.0,11.0,880.0,744.0,28.0,31.874475479999997
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28.0,65.99664272
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56.0,66.78067543054136
249.1,0.0,98.75,158.11,12.8,987.76,889.01,56.0,42.030456959999995
135.0,105.0,-999.0,196.0,6.0,965.0,643.0,28.0,21.91154728
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7.0,14.54104884
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28.0,20.593958644
387.0,20.0,94.0,157.0,13.93,938.0,845.0,3.0,25.510612
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,28.0,33.72916592
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28.0,36.349864196
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,56.0,44.395359639999995
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,56.0,39.2656582
331.0,0.0,-999.0,192.0,0.0,1025.0,821.0,7.0,17.43684804
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28.0,37.42475728
212.0,141.3,0.0,203.5,0.0,973.4,750.0,7.0,15.0305768
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28.0,39.321505756
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90.0,34.6806428
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,14.0,26.04840328
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3.0,6.902344236
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28.0,33.301690799999996
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,28.0,31.64005364
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,100.0,47.8151606
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14.0,33.08795324
317.9,0.0,126.5,209.7,5.7,860.5,736.6,28.0,40.062002979999995
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0,40.1964508
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56.0,50.77301264
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56.0,55.25460664
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14.0,24.42813468
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,23.51802636
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28.0,29.72331036
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3.0,24.39366088
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7.0,23.404952296
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28.0,22.629981272
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.542997428
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360.0,44.698039603999995
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7.0,12.37264682
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7.0,7.675936308
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56.0,48.587373719999995
