AT,V,AP,RH,PE
18.41,42.44,1012.66,65.93,463.2
5.71,41.31,1003.24,89.48,485.83
19.39,51.43,1011.06,94.35,456.25
26.98,70.94,1007.99,68.16,434.73
29.08,67.07,1005.73,57.18,435.57
23.01,59.44,1012.82,82.62,445.72
16.38,47.45,1010.08,88.86,450.69
27.11,69.75,1009.74,85.67,433.28
9.64,40.56,1022.51,78.62,483.39
30.99,69.82,1009.41,50.84,437.46
25.03,60.27,1017.9,72.04,438.24
11.04,45.51,1017.53,83.42,474.45
11.62,43.48,1016.66,76.32,468.37
31.01,69.13,1000.93,62.96,425.69
28.44,74.93,1013.88,52.0,441.52
4.32,35.47,1017.8,88.51,488.03
24.99,48.92,1010.03,41.26,443.12
19.13,40.79,1004.47,91.7,457.83
11.52,40.8,1024.31,73.49,479.56
34.1,73.03,1014.01,41.26,437.65
10.56,41.54,1019.92,78.95,479.33
21.03,63.86,1014.84,71.72,450.64
29.65,71.25,1001.07,73.97,430.88
8.07,41.17,1019.4,86.43,484.54
19.97,59.21,1017.87,83.46,450.41
21.92,49.02,1009.29,88.56,443.31
12.85,40.35,1011.29,81.27,472.69
28.41,75.6,1018.48,56.07,440.28
26.79,77.95,1009.9,80.22,437.91
24.49,65.06,1014.07,63.32,441.4
21.39,58.05,1013.03,86.44,449.76
18.61,44.06,1016.91,75.01,452.68
12.51,49.83,1008.61,94.27,452.84
24.27,63.87,1018.88,53.96,420.26
20.61,65.61,1014.91,83.82,449.72
4.15,39.9,1007.62,95.69,489.8
19.65,62.1,1019.46,77.82,449.13
20.11,42.04,1010.79,60.31,464.13
23.28,69.51,1013.31,53.0,444.17
12.43,40.27,1007.08,61.56,470.92
19.67,59.39,1014.07,77.67,447.61
19.99,40.79,1003.15,87.55,455.28
23.65,59.92,1010.19,89.53,436.74
18.16,39.99,1007.73,70.54,463.69
15.6,44.68,1018.35,85.91,463.82
11.56,40.43,1025.48,74.75,489.54
22.66,68.3,1017.73,86.92,431.27
22.83,41.1,1002.0,38.62,449.99
25.75,71.14,1008.33,77.12,433.64
23.8,48.6,1002.43,67.32,440.89
27.3,57.19,1008.08,63.48,438.65
26.43,75.33,1004.09,86.48,431.79
19.78,50.32,1008.62,96.4,449.23
24.3,69.94,1007.02,62.14,438.92
12.63,41.48,1009.61,87.69,461.09
11.2,35.76,1019.24,64.59,473.33
25.82,69.68,1012.69,89.94,439.58
31.25,69.51,1010.25,36.83,428.77
18.84,40.79,1005.18,92.46,459.96
11.21,39.85,1013.01,75.55,480.61
31.27,69.13,1009.45,57.01,425.48
18.28,44.2,1018.83,52.88,458.59
21.96,51.43,1007.28,89.96,442.87
25.53,62.96,1019.81,59.7,444.38
17.46,53.29,1018.07,91.01,458.06
8.43,40.6,1015.39,91.81,483.1
18.19,44.06,1017.24,78.73,456.13
27.25,73.03,1014.15,68.52,439.78
23.09,45.01,1012.25,43.95,453.45
8.58,40.72,1022.04,87.55,480.96
27.5,65.59,1011.23,65.37,441.27
21.94,50.32,1008.44,86.98,444.89
22.5,64.69,1007.03,74.92,440.73
24.44,59.21,1017.36,61.45,445.82
27.88,68.94,1007.68,75.68,435.04
11.72,40.55,1021.54,85.13,470.8
27.47,70.72,1009.97,74.62,443.25
10.02,52.75,1021.93,73.68,473.09
12.8,44.34,1016.52,86.73,473.42
9.84,40.72,1022.21,77.79,477.52
16.64,44.9,1021.02,70.34,460.93
17.47,58.16,1016.36,82.26,456.97
13.74,44.21,1023.26,84.2,466.67
11.5,40.22,1010.31,78.08,476.46
13.41,40.89,1010.85,89.61,472.4
9.18,39.42,1025.41,69.46,473.78
15.86,43.67,1011.11,82.24,465.46
16.74,39.16,1005.68,71.17,460.47
17.7,50.88,1015.44,89.57,456.78
16.55,41.66,1011.45,55.53,465.14
23.99,67.69,1007.9,78.57,437.1
29.56,71.14,1011.42,53.18,432.09
10.39,40.96,1023.51,84.73,479.0
26.06,65.34,1014.07,57.63,444.55
17.89,42.42,1008.92,65.08,467.59
30.2,73.67,1006.31,62.14,428.72
32.38,77.24,1007.7,61.15,430.96
13.05,34.03,1018.31,64.99,472.69
31.11,75.33,1002.32,64.25,433.37
15.39,42.28,1007.35,81.35,467.3
22.49,58.71,1009.75,76.43,443.33
6.45,35.77,1018.86,67.84,483.12
6.02,43.65,1013.85,83.53,481.92
6.24,35.77,1019.24,70.7,483.36
21.4,74.93,1014.58,80.85,434.09
19.46,66.86,1012.74,66.2,454.89
22.49,62.52,1016.57,63.69,451.87
15.24,44.45,1020.56,66.13,460.94
24.35,51.86,1014.34,67.22,442.81
28.53,68.08,1013.27,42.53,438.91
16.02,71.14,1019.75,70.42,456.35
18.32,66.51,1015.18,81.5,459.89
9.75,35.76,1019.88,62.31,474.31
31.19,69.68,1012.6,52.06,440.97
27.93,73.68,1015.41,49.95,435.95
9.45,41.4,1027.34,86.66,475.49
32.82,68.31,1010.44,41.85,441.06
7.79,41.01,1024.0,97.2,477.0
12.24,34.03,1018.44,69.27,474.18
18.4,44.06,1017.36,70.88,456.8
