Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28.0,30.6472082
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28.0,37.265488324
339.0,0.0,0.0,197.0,0.0,968.0,781.0,7.0,20.96696516
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28.0,40.925226931999994
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7.0,42.42345828
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28.0,61.23236356
522.0,0.0,0.0,146.0,0.0,896.0,896.0,28.0,74.98740975999999
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28.0,71.98818916
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.447769788
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28.0,18.746162964
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56.0,42.54756396
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28.0,31.178794196
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,14.0,19.41564416
387.0,20.0,94.0,157.0,13.93,938.0,845.0,7.0,45.89841732
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28.0,25.17966352
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90.0,36.588422892
250.2,166.8,0.0,203.5,0.0,977.6,694.1,90.0,47.714497104
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28.0,81.75116932
234.0,156.0,0.0,189.0,5.85,-999.0,760.0,28.0,39.300132
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7.0,18.12632404
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28.0,43.377003588
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28.0,26.84819544
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
322.0,0.0,0.0,203.0,0.0,974.0,800.0,28.0,25.17966352
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28.0,23.696600644
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.116911232
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,21.26343984
181.9,272.8,0.0,185.7,0.0,-999.0,714.3,7.0,12.37264682
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28.0,8.53571288
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14.0,26.77235308
143.0,169.4,142.7,190.7,8.4,967.4,643.5,28.0,29.726068263999995
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.258003984
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.58931216
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7.0,14.843728804
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180.0,50.94882902
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28.0,44.868340176
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28.0,32.039949719999996
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.655112243999994
168.88,42.22,124.25,158.33,10.83,-999.0,796.15,3.0,7.39807748
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28.0,33.41890172
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3.0,13.22414968
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28.0,32.768036376000005
192.0,288.0,0.0,192.0,0.0,-999.0,716.1,7.0,21.48062478
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,48.846616696
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28.0,21.066249704
528.0,0.0,0.0,185.0,6.86,920.0,720.0,28.0,56.83350668
424.0,22.0,132.0,178.0,8.48,822.0,750.0,28.0,62.05284
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90.0,35.763120119999996
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256000005
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7.0,11.483912255999998
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14.0,29.55094136
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90.0,48.79421652
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7.0,55.59934464
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7.0,54.89607912
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7.0,17.43684804
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180.0,51.04190828
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,100.0,66.42411784
290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0,45.08483564
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3.0,20.72564856
424.0,22.0,132.0,168.0,8.92,822.0,750.0,7.0,40.28509771527068
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.398217439999996
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3.0,6.902344236
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,120.0,39.382869119999995
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28.0,13.461329424
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90.0,39.70002808
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28.0,31.11605188
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28.0,20.87043852
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28.0,33.79811352
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28.0,39.421479776
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3.0,12.54156844
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.29819356
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,28.0,30.219733079999997
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100.0,63.528318639999995
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,100.0,43.58177796
194.68,0.0,100.52,170.17,7.48,998.0,901.8,3.0,12.17614616
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3.0,36.3009114
296.0,0.0,107.0,221.0,11.0,819.0,778.0,28.0,31.41942132
