AT,V,AP,RH,PE
13.56,40.03,1017.73,84.0,472.59
28.46,60.23,1010.2,63.0,439.88
22.12,60.37,1008.75,92.0,439.18
12.02,39.69,1006.05,85.0,470.17
16.47,38.01,1022.3,72.0,461.54
29.25,66.51,1015.53,34.0,441.7
13.71,45.08,1023.35,83.0,468.43
28.11,66.17,1010.51,65.0,444.2
13.78,40.73,1017.55,94.0,462.59
28.41,74.16,1010.29,72.0,439.2
26.05,73.88,1005.67,82.0,439.96
22.04,58.05,1013.11,85.0,447.28
23.84,68.94,1007.45,71.0,436.05
7.17,39.4,1011.48,90.0,484.33
28.83,64.96,1000.05,64.0,429.13
23.7,70.04,1011.13,84.0,436.28
9.41,43.5,1021.0,89.0,473.84
31.27,73.77,1003.27,71.0,430.32
33.95,80.18,1010.3,57.0,432.22
15.6,44.68,1018.35,86.0,463.82
15.16,40.73,1017.7,86.0,459.19
19.09,56.51,1015.58,93.0,449.24
8.35,42.85,1010.46,90.0,483.63
29.29,70.02,1010.13,47.0,438.84
20.3,67.32,1013.49,81.0,441.51
11.48,42.02,1000.29,95.0,471.43
13.24,39.85,1012.64,60.0,477.22
25.08,58.49,1011.1,64.0,446.9
25.37,59.14,1017.27,78.0,437.19
10.8,41.74,1020.24,79.0,479.32
8.88,39.66,1015.21,88.0,481.45
11.91,40.69,1014.41,84.0,476.71
12.95,41.23,993.74,96.0,469.05
10.72,45.0,1023.22,87.0,480.62
27.06,72.58,1009.24,90.0,429.18
20.58,49.15,1021.42,56.0,453.87
26.4,48.41,1008.51,67.0,442.23
27.84,72.39,1001.18,83.0,432.19
29.69,47.93,1002.85,45.0,438.09
27.27,72.24,1010.69,78.0,432.35
12.99,40.55,1007.52,94.0,472.18
5.28,42.07,1003.82,81.0,485.24
23.1,66.05,1020.28,81.0,439.03
17.25,39.39,1014.27,68.0,465.74
23.08,61.86,1013.44,85.0,441.44
28.32,47.93,1003.26,54.0,439.5
26.94,71.14,1011.63,63.0,434.03
24.91,57.17,1010.88,73.0,446.01
24.77,71.94,1006.77,89.0,432.27
16.25,40.89,1011.09,63.0,464.33
30.35,69.51,1009.95,39.0,430.07
16.28,42.99,1007.5,77.0,464.13
31.35,68.67,1005.26,67.0,433.73
24.59,72.24,1011.42,82.0,433.31
29.96,67.83,1008.0,44.0,433.13
12.45,43.67,1013.61,91.0,474.27
24.07,71.97,1008.83,95.0,441.84
18.14,43.56,1012.83,47.0,461.71
10.33,40.0,1021.35,91.0,479.32
20.72,44.57,1008.96,73.0,449.76
24.24,72.43,1008.02,86.0,436.6
21.62,58.59,1012.93,67.0,445.92
33.61,69.88,1007.4,43.0,435.99
18.51,50.9,1012.95,83.0,459.11
29.43,66.75,1017.63,43.0,434.6
19.04,43.43,1009.25,69.0,453.32
26.43,51.43,1006.3,71.0,441.01
26.94,59.87,1011.66,58.0,448.6
20.68,42.04,1010.2,63.0,464.14
6.48,36.24,1013.62,92.0,484.65
18.68,62.1,1019.78,84.0,453.25
11.41,40.1,1014.27,91.0,476.81
22.49,45.61,1013.1,76.0,455.12
8.83,41.26,1023.04,86.0,478.87
25.34,49.5,1013.25,51.0,457.12
15.56,41.1,1003.55,77.0,464.42
31.39,69.59,1008.28,63.0,435.76
24.96,60.27,1018.68,70.0,442.67
22.7,48.14,1014.06,60.0,448.96
25.34,59.39,1014.02,74.0,439.8
9.39,40.11,1029.14,77.0,473.05
11.82,41.17,1019.5,56.0,475.61
22.24,41.1,1001.96,43.0,451.95
16.69,40.56,1019.92,51.0,469.9
31.54,67.32,1013.79,37.0,433.02
12.16,40.81,1025.79,71.0,476.63
20.88,59.8,1015.66,75.0,453.18
13.56,49.83,1007.01,90.0,466.33
17.06,58.96,1013.83,74.0,461.15
14.02,42.86,1030.86,68.0,467.29
28.28,61.47,1009.44,61.0,443.12
29.27,69.89,1015.21,67.0,425.55
11.54,40.77,1022.13,84.0,465.61
26.35,49.5,1012.67,41.0,458.41
5.11,39.4,1012.16,92.0,488.56
17.3,62.1,1020.28,88.0,450.83
25.43,60.95,1014.62,51.0,444.65
20.67,63.56,1013.27,79.0,450.7
13.35,39.18,1023.24,62.0,469.34
30.63,74.22,1007.47,47.0,430.38
23.48,64.15,1021.08,58.0,450.89
13.34,40.83,1008.09,86.0,471.82
22.2,59.21,1017.87,73.0,445.29
10.69,36.71,1022.08,83.0,472.81
20.14,46.33,1013.24,83.0,453.35
28.57,69.84,1003.57,67.0,433.24
14.01,42.74,1029.16,68.0,466.15
31.46,66.54,1002.86,54.0,427.76
9.98,41.01,1017.83,98.0,466.05
13.41,49.83,1008.83,87.0,466.38
32.96,73.03,1013.56,54.0,438.93
11.5,40.78,1023.91,86.0,467.74
6.38,40.07,1018.53,60.0,492.96
28.73,50.05,1005.79,52.0,436.35
10.48,39.58,1011.81,89.0,472.61
9.06,36.3,1015.14,59.0,477.38
28.2,66.75,1018.35,60.0,433.46
10.9,40.67,1016.66,65.0,482.4
27.97,69.48,1010.4,57.0,432.18
22.42,62.52,1016.83,63.0,451.64
