frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
1000.0,12.6,0.1524,71.3,0.0483159,122.044
1250.0,0.0,0.3048,31.7,0.00331266,124.355
3150.0,12.3,0.1016,71.3,0.0337792,120.798
2500.0,0.0,0.2286,31.7,0.0027238,123.445
630.0,2.0,0.2286,31.7,0.00372371,129.057
2500.0,2.0,0.2286,55.5,0.00313525,123.862
200.0,15.4,0.0508,39.6,0.0282593,121.783
1250.0,0.0,0.0508,55.5,0.00076193,127.076
250.0,7.3,0.2286,39.6,0.0123481,131.889
250.0,9.9,0.1524,39.6,0.0233328,128.335
8.0,3.0,0.3048,55.5,0.00452492,113.799
10000.0,3.0,0.3048,71.3,0.00425727,110.224
1000.0,1.5,0.3048,39.6,0.00392107,127.581
800.0,15.6,0.1016,39.6,0.0528487,118.964
1000.0,2.7,0.1524,71.3,0.00243851,128.774
2000.0,0.0,0.2286,71.3,0.00214345,128.244
2500.0,2.0,0.2286,31.7,0.00372371,121.407
630.0,3.0,0.3048,71.3,0.00425727,129.354
5000.0,0.0,0.2286,39.6,0.00253511,122.175
500.0,4.0,0.2286,31.7,0.00509068,128.939
6300.0,0.0,0.3048,55.5,0.00283081,117.976
1250.0,5.4,0.1524,55.5,0.00433288,130.777
1000.0,3.3,0.1016,71.3,0.00202822,131.434
4.0,15.6,0.1016,39.6,0.0528487,106.604
16000.0,4.8,0.0254,55.5,0.000873218,124.394
400.0,12.3,0.1016,31.7,0.0418756,123.207
400.0,9.9,0.1524,55.5,0.0208438,131.605
1250.0,2.0,0.2286,71.3,0.00293031,128.816
800.0,0.0,0.1016,31.7,0.00150092,129.053
400.0,2.0,0.2286,31.7,0.00372371,123.417
0.315,7.3,0.2286,71.3,0.0104404,139.808
800.0,4.0,0.2286,71.3,0.00400603,130.688
5000.0,9.5,0.0254,71.3,0.00420654,131.186
1000.0,5.4,0.1524,71.3,0.00401199,133.201
5.0,9.9,0.1524,39.6,0.0233328,111.135
1600.0,2.0,0.2286,39.6,0.00346574,125.837
2000.0,12.7,0.0254,39.6,0.0130253,129.567
8.0,0.0,0.0254,39.6,0.000428464,135.866
8000.0,0.0,0.0254,31.7,0.000439472,137.207
2000.0,0.0,0.0508,31.7,0.000812164,133.01
500.0,1.5,0.3048,39.6,0.00392107,126.661
16000.0,2.7,0.1524,71.3,0.00243851,110.364
12.5,0.0,0.0508,39.6,0.000791822,123.988
6300.0,4.8,0.0254,39.6,0.000907475,134.336
6.3,8.9,0.1016,71.3,0.0103088,117.253
10000.0,0.0,0.1524,55.5,0.00172668,119.253
5000.0,7.3,0.2286,39.6,0.0123481,111.959
200.0,12.3,0.1016,71.3,0.0337792,130.588
630.0,2.7,0.1524,39.6,0.00294804,125.809
630.0,0.0,0.1524,55.5,0.00172668,123.583
1000.0,0.0,0.3048,71.3,0.00266337,125.201
5000.0,4.2,0.0508,39.6,0.00152689,129.777
1.0,4.0,0.2286,39.6,0.00473801,129.969
5000.0,22.2,0.0254,39.6,0.0229028,118.816
2.0,11.2,0.0508,39.6,0.0150478,124.42
1.25,0.0,0.2286,55.5,0.00229336,127.91
4.0,0.0,0.1016,31.7,0.00150092,126.933
5000.0,5.3,0.2286,71.3,0.0051942,118.05
6300.0,12.3,0.1016,71.3,0.0337792,113.958
1.25,0.0,0.3048,39.6,0.00310138,125.499
1600.0,4.0,0.2286,55.5,0.0042862,128.264
12500.0,0.0,0.0254,71.3,0.000400682,133.207
5000.0,4.0,0.2286,31.7,0.00509068,115.969
5.0,12.7,0.0254,71.3,0.0121808,128.978
1600.0,7.3,0.2286,39.6,0.0123481,121.059
400.0,8.4,0.0508,39.6,0.00566229,120.015
500.0,8.9,0.1016,71.3,0.0103088,138.523
0.4,15.6,0.1016,71.3,0.0437259,134.058
315.0,9.9,0.1524,55.5,0.0208438,132.355
250.0,12.7,0.0254,71.3,0.0121808,119.698
8000.0,15.4,0.0508,71.3,0.0264269,112.675
2000.0,5.3,0.2286,71.3,0.0051942,125.89
6300.0,3.0,0.3048,71.3,0.00425727,116.134
2000.0,4.8,0.0254,55.5,0.000873218,125.054
630.0,15.4,0.0508,31.7,0.0289853,124.685
1250.0,8.4,0.0508,39.6,0.00566229,131.205
10000.0,4.2,0.0508,71.3,0.00142788,121.238
4000.0,17.4,0.0254,71.3,0.016104,125.586
1.0,15.6,0.1016,39.6,0.0528487,119.224
5.0,0.0,0.0254,31.7,0.000439472,138.607
6300.0,3.3,0.1016,55.5,0.002211,123.839
400.0,5.4,0.1524,71.3,0.00401199,124.121
630.0,5.4,0.1524,31.7,0.00525474,131.471
2500.0,0.0,0.1524,55.5,0.00172668,127.763
2000.0,0.0,0.3048,31.7,0.00331266,122.375
1000.0,0.0,0.2286,39.6,0.00253511,130.435
630.0,12.6,0.1524,39.6,0.0584113,116.55
400.0,17.4,0.0254,55.5,0.0165706,115.461
1600.0,3.3,0.1016,39.6,0.00245138,133.071
250.0,0.0,0.3048,31.7,0.00331266,118.595
5.0,0.0,0.1016,71.3,0.00121072,130.795
1000.0,7.3,0.2286,71.3,0.0104404,126.838
800.0,6.7,0.1016,55.5,0.0052139,135.953
10000.0,0.0,0.0508,39.6,0.000791822,125.998
4000.0,12.3,0.1016,39.6,0.0408268,110.905
630.0,7.2,0.1524,71.3,0.00752039,134.853
2.5,12.3,0.1016,55.5,0.0368233,117.054
0.4,3.0,0.3048,39.6,0.00495741,125.472
0.5,22.2,0.0254,39.6,0.0229028,129.776
2500.0,5.4,0.1524,55.5,0.00433288,124.077
4.0,8.4,0.0508,55.5,0.00544854,122.612
500.0,2.7,0.1524,39.6,0.00294804,121.009
1.6,1.5,0.3048,71.3,0.00336729,126.632
315.0,7.3,0.2286,39.6,0.0123481,132.149
3150.0,3.0,0.3048,39.6,0.00495741,118.922
1.6,12.6,0.1524,71.3,0.0483159,120.534
1250.0,5.4,0.1524,71.3,0.00401199,134.111
1250.0,4.2,0.0508,39.6,0.00152689,128.427
200.0,19.7,0.0508,71.3,0.0341183,118.005
1600.0,3.0,0.3048,39.6,0.00495741,122.782
800.0,0.0,0.3048,39.6,0.00310138,129.099
10000.0,7.2,0.1524,71.3,0.00752039,110.313
2000.0,0.0,0.0254,31.7,0.000439472,130.697
800.0,0.0,0.2286,55.5,0.00229336,127.53
315.0,19.7,0.0508,39.6,0.036484,129.864
12500.0,2.7,0.1524,71.3,0.00243851,113.034
4000.0,1.5,0.3048,39.6,0.00392107,117.741
3150.0,8.4,0.0508,31.7,0.00580776,122.086
3.15,0.0,0.1524,71.3,0.0015988,129.377
800.0,7.2,0.1524,71.3,0.00752039,136.023
