AT,V,AP,RH,PE
6.86,41.17,1020.12,79.0,490.23
16.98,63.09,1020.44,95.0,450.55
18.24,59.15,1012.0,84.0,449.48
3.82,35.47,1016.62,84.0,489.04
28.97,78.92,1011.71,88.0,430.98
13.85,45.08,1024.86,84.0,468.35
15.63,40.56,1018.68,59.0,472.15
32.5,71.37,1003.75,44.0,433.7
24.78,50.78,1008.81,63.0,443.98
13.42,40.92,1022.84,76.0,458.49
8.9,39.96,1026.31,95.0,474.49
8.38,39.22,1015.03,75.0,478.82
18.63,45.87,1007.98,80.0,453.79
24.78,58.46,1016.82,68.0,442.42
24.61,62.39,1006.39,79.0,437.01
30.72,71.58,1009.98,50.0,430.46
3.21,38.44,1017.11,85.0,492.93
18.31,46.21,1010.46,82.0,451.75
20.04,58.2,1017.56,74.0,448.92
30.88,69.51,1011.48,47.0,433.14
14.09,44.84,1023.65,94.0,466.12
12.9,44.63,1020.72,90.0,467.41
17.37,40.55,1001.19,71.0,460.97
23.88,69.94,1007.48,61.0,440.63
21.38,60.84,1017.94,83.0,445.8
18.87,52.05,1012.02,53.0,458.64
15.92,41.2,1016.04,73.0,468.91
14.68,58.2,1018.5,83.0,458.51
24.14,63.21,1012.28,89.0,440.74
8.79,40.67,1019.5,66.0,489.02
31.63,70.17,999.4,60.0,432.07
16.09,44.71,1017.86,43.0,464.95
9.32,36.66,1027.46,71.0,479.13
18.07,63.31,1016.65,73.0,456.5
30.2,71.8,1011.13,61.0,436.94
20.27,56.65,1020.75,67.0,454.29
10.47,44.21,1017.87,85.0,476.02
21.95,57.76,1018.02,68.0,452.27
19.26,65.61,1015.03,86.0,451.85
18.9,60.07,1016.02,71.0,451.5
17.98,53.29,1018.29,83.0,455.71
6.49,36.3,1016.52,69.0,483.43
34.96,68.94,1006.17,59.0,431.48
26.44,59.15,1013.35,61.0,439.65
24.74,59.21,1012.18,74.0,440.36
23.96,65.34,1015.52,57.0,449.23
3.99,39.9,1009.74,97.0,490.91
32.48,69.89,1013.98,46.0,434.13
14.1,44.92,1023.95,90.0,467.22
29.12,73.06,1009.98,80.0,434.9
31.5,70.32,1011.44,64.0,435.13
16.28,42.99,1007.5,77.0,464.13
8.74,36.3,1015.18,62.0,438.63
8.97,39.66,1021.63,79.0,482.62
12.25,44.58,1016.47,81.0,475.24
9.55,40.72,1023.12,68.0,481.08
20.68,63.86,1015.73,74.0,447.84
24.57,51.95,1005.8,70.0,448.15
12.51,49.83,1008.61,94.0,452.84
24.73,70.72,1009.82,89.0,439.3
29.09,75.33,1001.61,71.0,433.29
22.68,58.82,1010.11,83.0,443.86
17.48,40.89,1011.39,62.0,462.59
14.12,39.52,1016.79,76.0,472.32
29.77,69.98,1013.32,70.0,430.65
28.91,58.33,1013.84,40.0,437.53
9.93,39.04,1023.78,77.0,480.54
6.13,39.48,1005.17,54.0,484.12
12.95,43.71,1025.63,91.0,469.15
21.28,70.32,1011.06,90.0,439.0
29.91,76.86,998.59,72.0,432.6
24.57,49.5,1014.22,56.0,455.72
27.89,68.12,1012.78,49.0,435.69
19.75,49.02,1009.38,93.0,446.63
23.66,62.08,1022.42,64.0,447.06
5.5,39.04,1021.46,79.0,478.65
17.25,39.39,1014.27,68.0,465.74
16.72,44.34,1019.26,64.0,465.89
7.55,38.08,1019.37,76.0,485.49
11.52,40.8,1024.31,73.0,479.56
26.87,69.23,1012.71,55.0,433.89
9.45,39.04,1023.08,76.0,483.66
22.38,71.85,1009.56,75.0,441.47
6.07,41.14,1027.57,87.0,480.19
26.84,70.36,1007.41,71.0,442.17
25.14,60.37,1006.63,77.0,438.39
16.52,53.16,1014.68,77.0,457.81
7.31,43.02,1014.19,86.0,484.82
27.0,69.34,1008.88,74.0,439.26
22.49,56.9,1007.65,63.0,449.64
32.49,71.32,1005.03,57.0,433.59
24.39,71.85,1009.73,72.0,438.2
33.62,77.17,1009.38,64.0,431.03
19.46,47.03,1013.9,89.0,460.57
10.74,40.05,1015.45,87.0,477.93
13.9,44.0,1025.1,87.0,466.24
20.28,68.63,1012.42,70.0,454.36
21.53,59.8,1016.46,75.0,454.99
29.84,58.9,1005.24,56.0,440.93
10.48,41.93,1017.17,93.0,480.01
10.5,40.8,1024.06,76.0,482.85
28.18,73.03,1014.18,68.0,439.74
21.14,58.98,1009.05,94.0,448.31
19.81,56.65,1020.62,68.0,457.72
13.93,44.47,1025.35,82.0,469.25
10.72,35.76,1019.71,62.0,473.48
9.95,43.56,1014.85,83.0,477.88
15.51,41.76,1022.81,70.0,463.82
29.55,72.29,1007.94,84.0,430.98
10.48,37.5,1009.81,95.0,474.57
23.69,71.97,1009.62,93.0,438.62
17.7,49.21,1015.16,68.0,455.97
26.7,49.02,1007.68,68.0,438.92
25.44,70.17,1000.65,92.0,433.02
9.23,37.36,1015.01,67.0,481.08
20.41,56.03,1019.94,56.0,458.29
28.99,54.2,1012.79,42.0,442.6
18.21,41.23,993.11,62.0,457.53
18.23,62.26,1011.48,91.0,448.64
12.31,40.64,1020.71,95.0,475.65
