frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
2500.0,39.6,0.0254,12.7,0.0130253,129.027
1000.0,71.3,0.0508,15.4,0.0264269,131.865
8000.0,39.6,0.3048,1.5,0.00392107,112.251
1000.0,39.6,0.0254,4.8,0.000907475,122.956
3150.0,71.3,0.1016,12.3,0.0337792,120.798
3150.0,71.3,0.0508,8.4,0.00529514,131.966
500.0,39.6,0.0508,11.2,0.0150478,131.96
500.0,55.5,0.1016,12.3,0.0368233,133.774
1000.0,71.3,0.0254,17.4,0.016104,125.816
315.0,39.6,0.0254,22.2,0.0229028,120.716
2500.0,71.3,0.3048,0.0,0.00266337,125.571
2000.0,39.6,0.0254,9.5,0.00449821,131.274
5000.0,31.7,0.1016,0.0,0.00150092,124.393
1000.0,71.3,0.1016,8.9,0.0103088,135.433
6300.0,55.5,0.0254,17.4,0.0165706,114.861
2500.0,71.3,0.1016,15.6,0.0437259,118.998
1250.0,39.6,0.1016,6.7,0.00578076,132.395
500.0,55.5,0.0254,17.4,0.0165706,119.621
2500.0,39.6,0.1524,0.0,0.00193287,126.863
2500.0,31.7,0.0508,0.0,0.000812164,134.87
2500.0,31.7,0.1524,5.4,0.00525474,119.151
1000.0,39.6,0.3048,1.5,0.00392107,127.581
6300.0,39.6,0.0508,4.2,0.00152689,125.717
1600.0,71.3,0.1016,0.0,0.00121072,131.725
10000.0,55.5,0.3048,3.0,0.00452492,112.169
5000.0,31.7,0.0254,17.4,0.0176631,117.996
630.0,31.7,0.2286,7.3,0.0132672,126.189
630.0,55.5,0.0508,8.4,0.00544854,126.152
6300.0,39.6,0.2286,2.0,0.00346574,116.417
500.0,55.5,0.0254,9.5,0.0043284,123.082
2000.0,39.6,0.1016,3.3,0.00245138,132.301
4000.0,31.7,0.1524,5.4,0.00525474,116.181
2000.0,39.6,0.2286,4.0,0.00473801,121.659
2000.0,71.3,0.0508,11.2,0.014072,133.311
800.0,39.6,0.1016,15.6,0.0528487,118.964
1000.0,39.6,0.3048,3.0,0.00495741,128.312
1600.0,71.3,0.1016,15.6,0.0437259,121.528
8000.0,55.5,0.1016,0.0,0.00131983,124.45
2500.0,71.3,0.0508,15.4,0.0264269,127.625
3150.0,71.3,0.0254,4.8,0.000848633,133.378
250.0,71.3,0.0508,11.2,0.014072,127.101
2000.0,55.5,0.0508,0.0,0.00076193,131.456
400.0,55.5,0.3048,3.0,0.00452492,126.159
1000.0,71.3,0.1524,0.0,0.0015988,127.307
4000.0,39.6,0.2286,0.0,0.00253511,123.465
500.0,39.6,0.1016,8.9,0.0124596,133.79
630.0,39.6,0.2286,0.0,0.00253511,128.705
250.0,31.7,0.0508,15.4,0.0289853,121.225
2000.0,39.6,0.0254,4.8,0.000907475,128.916
20000.0,71.3,0.2286,4.0,0.00400603,109.638
3150.0,31.7,0.1524,5.4,0.00525474,118.291
2500.0,71.3,0.1524,9.9,0.0193001,119.639
6300.0,39.6,0.1524,9.9,0.0233328,109.885
1600.0,55.5,0.0508,15.4,0.0271925,128.2
8000.0,71.3,0.3048,3.0,0.00425727,114.634
2500.0,55.5,0.1016,12.3,0.0368233,117.054
8000.0,31.7,0.1524,0.0,0.00209405,117.957
400.0,55.5,0.0508,15.4,0.0271925,126.5
2500.0,31.7,0.3048,0.0,0.00331266,120.755
500.0,31.7,0.3048,0.0,0.00331266,127.315
1250.0,55.5,0.1524,0.0,0.00172668,129.953
1250.0,55.5,0.1016,6.7,0.0052139,136.883
4000.0,31.7,0.0254,4.8,0.000930789,135.328
5000.0,71.3,0.1524,5.4,0.00401199,120.061
1000.0,71.3,0.3048,0.0,0.00266337,125.201
800.0,55.5,0.3048,3.0,0.00452492,129.949
6300.0,55.5,0.2286,4.0,0.0042862,117.154
3150.0,31.7,0.2286,7.3,0.0132672,113.229
800.0,71.3,0.3048,3.0,0.00425727,129.494
4000.0,55.5,0.0254,4.8,0.000873218,133.924
8000.0,39.6,0.1524,2.7,0.00294804,116.659
4000.0,55.5,0.3048,3.0,0.00452492,118.689
2500.0,31.7,0.2286,0.0,0.0027238,123.445
1250.0,39.6,0.1524,2.7,0.00294804,130.829
2500.0,39.6,0.2286,7.3,0.0123481,116.559
315.0,39.6,0.1016,15.6,0.0528487,122.754
1600.0,39.6,0.1016,6.7,0.00578076,127.375
800.0,71.3,0.2286,7.3,0.0104404,130.748
630.0,71.3,0.1016,8.9,0.0103088,138.423
500.0,39.6,0.0508,19.7,0.036484,128.444
12500.0,71.3,0.3048,4.0,0.00497773,107.405
2000.0,55.5,0.0508,8.4,0.00544854,133.042
315.0,71.3,0.0254,17.4,0.016104,115.846
800.0,55.5,0.2286,4.0,0.0042862,131.864
2500.0,71.3,0.3048,4.0,0.00497773,123.775
6300.0,71.3,0.1016,0.0,0.00121072,129.395
5000.0,39.6,0.1016,12.3,0.0408268,108.625
2500.0,71.3,0.1524,0.0,0.0015988,128.127
800.0,39.6,0.1016,8.9,0.0124596,130.94
1250.0,39.6,0.3048,3.0,0.00495741,125.802
1000.0,31.7,0.0254,0.0,0.000439472,125.127
2000.0,31.7,0.1016,6.7,0.00592927,120.446
1250.0,31.7,0.2286,7.3,0.0132672,120.509
1000.0,31.7,0.1016,6.7,0.00592927,131.636
12500.0,55.5,0.0508,0.0,0.00076193,125.376
16000.0,71.3,0.1524,0.0,0.0015988,113.297
200.0,31.7,0.0254,9.5,0.00461377,119.146
1000.0,31.7,0.1524,0.0,0.00209405,130.987
2000.0,71.3,0.0508,8.4,0.00529514,134.476
5000.0,39.6,0.0254,22.2,0.0229028,118.816
4000.0,39.6,0.0254,4.8,0.000907475,134.996
5000.0,71.3,0.3048,0.0,0.00266337,121.301
4000.0,71.3,0.1016,3.3,0.00202822,128.704
1000.0,39.6,0.1524,7.2,0.00909175,128.338
2000.0,39.6,0.0254,22.2,0.0229028,121.256
1250.0,39.6,0.2286,5.3,0.00614329,125.721
8000.0,71.3,0.3048,0.0,0.00266337,117.151
800.0,71.3,0.0508,15.4,0.0264269,131.515
6300.0,71.3,0.0254,0.0,0.000400682,134.987
4000.0,31.7,0.0254,9.5,0.00461377,126.736
5000.0,39.6,0.1524,12.6,0.0584113,104.13
1000.0,39.6,0.1524,9.9,0.0233328,123.835
1000.0,31.7,0.2286,7.3,0.0132672,119.099
10000.0,71.3,0.0254,4.8,0.000848633,127.398
400.0,39.6,0.0508,15.4,0.0282593,125.353
6300.0,39.6,0.2286,4.0,0.00473801,114.249
315.0,55.5,0.0254,17.4,0.0165706,111.911
1000.0,39.6,0.0508,15.4,0.0282593,127.893
5000.0,71.3,0.0254,4.8,0.000848633,135.468
5000.0,31.7,0.3048,0.0,0.00331266,115.645
