Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
225.0,0.0,0.0,0.0,181.0,1113.0,833.0,7.0,11.1695112
331.0,0.0,0.0,0.0,192.0,978.0,825.0,360.0,41.24445432
155.0,183.0,0.0,9.0,193.0,1047.0,697.0,28.0,18.28490352
173.54,50.05,173.53,6.47,164.77,1006.2,793.5,100.0,56.06129356
144.0,0.0,175.0,18.0,158.0,943.0,844.0,28.0,15.41668336
475.0,0.0,0.0,0.0,228.0,932.0,594.0,7.0,38.60376124
425.0,106.3,0.0,18.6,151.4,936.0,803.7,91.0,66.69990824
318.0,0.0,126.0,6.0,210.0,861.0,737.0,28.0,40.0585556
145.0,0.0,134.0,11.0,181.0,979.0,812.0,28.0,13.19657064
500.0,0.0,0.0,0.0,200.0,1125.0,613.0,90.0,47.22221124
376.0,0.0,0.0,0.0,214.6,1003.5,762.36,28.0,31.97100212
339.0,0.0,0.0,0.0,197.0,968.0,781.0,28.0,32.039949719999996
330.5,169.6,0.0,8.1,194.9,811.0,802.3,28.0,56.619079644
266.0,114.0,0.0,0.0,228.0,932.0,670.0,270.0,51.732763232
359.0,19.0,141.0,10.91,154.0,942.0,801.0,7.0,35.75425543054136
231.75,0.0,121.62,6.72,173.96,1056.4,778.45,3.0,15.43736764
173.0,116.0,0.0,0.0,192.0,946.8,856.8,3.0,6.940954892
149.5,236.0,0.0,12.6,175.8,846.8,892.7,28.0,32.96384756
321.4,0.0,127.9,11.5,182.5,870.1,779.7,28.0,37.265488324
246.83,0.0,125.08,11.99,143.3,1086.8,800.89,56.0,60.32225524
193.5,290.2,0.0,0.0,185.7,998.2,704.3,7.0,17.200357771999997
198.6,132.4,0.0,0.0,192.0,978.4,825.5,28.0,28.021683592
229.68,0.0,118.16,6.13,195.23,1028.1,757.63,14.0,22.31833812
202.0,11.0,141.0,1.72,206.0,942.0,801.0,7.0,15.069975430541358
213.5,0.0,174.24,11.66,159.21,1043.6,771.9,14.0,29.59230992
531.3,0.0,0.0,28.2,141.8,852.1,893.7,3.0,41.2996124
307.0,0.0,0.0,0.0,193.0,968.0,812.0,90.0,32.922478999999996
322.0,0.0,116.0,10.0,196.0,818.0,813.0,28.0,31.17810472
446.0,24.0,79.0,11.61,162.0,967.0,712.0,7.0,52.00717468
252.0,97.0,76.0,8.0,194.0,835.0,821.0,28.0,33.398217439999996
359.0,19.0,141.0,10.91,154.0,942.0,801.0,7.0,38.610656
302.0,0.0,0.0,0.0,203.0,974.0,817.0,180.0,26.74477404
233.81,0.0,94.58,4.567,197.89,947.04,852.16,3.0,10.38350856
349.0,0.0,0.0,0.0,192.0,1056.0,809.0,120.0,40.85834776
