frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
2000.0,9.5,0.0254,71.3,0.00420654,134.976
5000.0,0.0,0.0508,55.5,0.00076193,134.556
800.0,17.4,0.0254,31.7,0.0176631,139.226
3150.0,5.4,0.1524,55.5,0.00433288,121.587
630.0,4.0,0.2286,39.6,0.00473801,129.579
800.0,0.0,0.3048,55.5,0.00283081,128.086
400.0,12.7,0.0254,71.3,0.0121808,125.048
1600.0,9.9,0.1524,55.5,0.0208438,119.875
2500.0,9.5,0.0254,71.3,4.2065399999999995,135.956
1250.0,4.0,0.2286,31.7,0.00509068,128.119
12500.0,0.0,0.1524,55.5,1.72668,117.093
500.0,3.0,0.3048,71.3,0.00425727,128.454
6300.0,3.0,0.3048,31.7,5.29514,109.718
315.0,12.7,0.0254,71.3,0.0121808,122.938
5000.0,0.0,0.2286,71.3,0.00214345,124.304
5000.0,15.4,0.0508,55.5,0.0271925,117.11
1250.0,0.0,0.0508,39.6,0.000791822,129.148
5000.0,0.0,0.1524,55.5,0.00172668,125.203
800.0,6.7,0.1016,55.5,0.0052139,135.953
2500.0,0.0,0.3048,31.7,3.3126599999999997,120.755
5000.0,12.7,0.0254,39.6,0.0130253,125.107
500.0,0.0,0.1524,31.7,2.09405,121.617
400.0,12.3,0.1016,71.3,0.0337792,139.428
1000.0,12.3,0.1016,55.5,0.0368233,125.484
1600.0,4.0,0.2286,39.6,0.00473801,125.319
400.0,5.3,0.2286,39.6,6.14329,131.221
5000.0,4.2,0.0508,39.6,1.5268899999999999,129.777
2000.0,0.0,0.0508,71.3,0.7404780000000001,131.06
1000.0,4.0,0.2286,31.7,0.00509068,129.869
4000.0,0.0,0.0508,39.6,0.000791822,135.308
1600.0,2.7,0.1524,39.6,0.00294804,130.049
200.0,19.7,0.0508,39.6,36.484,125.974
500.0,8.9,0.1016,71.3,0.0103088,138.523
250.0,15.6,0.1016,39.6,52.8487,124.644
6300.0,0.0,0.0254,31.7,0.000439472,138.537
2000.0,12.3,0.1016,55.5,0.0368233,118.564
500.0,2.0,0.2286,55.5,0.00313525,124.692
1000.0,7.2,0.1524,39.6,0.00909175,128.338
6300.0,2.0,0.2286,71.3,2.9303100000000004,120.786
5000.0,4.8,0.0254,39.6,0.000907475,135.426
