AT,V,AP,RH,PE
27.44,66.56,1005.51,69.28,428.0
27.01,71.25,1000.46,87.95,431.38
28.68,70.32,1008.51,45.73,430.48
27.98,74.87,1010.02,66.44,435.32
7.0,38.5,1014.09,81.32,489.52
29.95,67.25,1017.68,51.91,433.13
23.95,58.79,1010.45,74.34,448.32
9.55,41.44,1015.07,85.94,481.75
30.31,70.36,1006.55,59.92,439.11
24.31,67.79,1010.64,76.15,444.72
11.78,39.96,1011.37,82.95,472.79
15.14,49.64,1023.78,75.0,463.58
31.31,67.48,1009.71,57.06,440.38
28.94,62.26,1010.64,50.41,436.04
12.71,41.39,1019.3,74.2,475.13
15.77,39.82,1013.01,79.1,468.78
12.38,45.51,1016.15,81.37,470.46
12.14,40.83,1010.56,78.31,474.82
19.29,50.16,1010.49,97.78,450.21
14.73,40.35,1011.15,65.2,470.03
22.49,69.84,1006.78,73.76,437.57
31.32,71.29,1008.37,50.07,430.46
31.25,68.94,1005.99,49.61,434.51
29.09,67.07,1005.99,41.39,429.93
6.11,38.68,1017.53,79.23,482.97
30.8,73.17,1010.51,51.93,432.24
9.6,41.82,1032.93,72.63,475.01
22.54,63.91,1012.15,84.91,446.64
16.95,40.12,1012.59,87.87,457.05
11.2,37.5,1013.81,72.81,472.2
24.8,72.24,1011.58,83.61,435.25
21.14,69.94,1008.87,79.74,440.69
15.89,38.73,1001.45,74.37,465.76
29.13,70.72,1009.61,67.49,436.9
10.55,41.26,1007.77,99.1,473.6
13.55,43.48,1016.08,67.25,464.33
11.54,40.77,1022.13,83.5,465.61
29.18,68.24,1010.04,68.04,428.52
34.03,73.56,1006.49,51.07,440.29
12.04,42.34,1019.72,94.67,465.36
5.19,40.78,1025.24,95.07,482.46
27.57,70.36,1007.18,71.1,441.86
12.82,38.62,1018.71,83.8,467.41
20.42,62.96,1020.34,84.0,452.08
11.67,36.18,1016.03,61.44,472.76
32.95,67.9,1005.88,45.15,425.89
31.44,72.86,1003.74,61.45,433.59
9.16,41.03,1021.3,76.08,484.96
9.18,42.44,1014.52,98.04,480.49
28.37,71.64,1007.39,71.06,434.91
32.51,71.22,1005.62,47.6,433.76
10.22,39.96,1025.05,96.05,471.36
25.31,60.75,1008.65,79.35,437.33
15.79,50.88,1014.58,99.9,460.19
21.16,78.11,1006.73,78.11,435.71
14.96,43.02,1012.77,42.93,467.16
26.78,52.3,1008.52,61.23,441.21
12.24,49.83,1007.9,94.28,466.83
23.18,72.99,1009.01,90.09,439.12
16.65,49.69,1014.01,91.0,460.03
23.01,58.79,1009.71,84.22,444.64
11.82,41.17,1019.5,55.74,475.61
26.01,61.47,1009.54,75.01,435.78
21.95,50.66,1013.92,70.94,455.23
10.94,40.81,1026.03,80.79,476.32
22.82,64.63,1020.78,66.73,449.34
21.54,69.48,1011.04,80.48,443.15
30.51,60.75,1009.86,51.0,435.57
23.67,71.77,1004.76,86.13,434.47
25.6,71.73,1010.15,68.99,436.7
5.84,43.02,1013.88,87.42,489.05
20.73,41.1,1001.86,47.51,456.44
19.78,50.32,1008.62,96.4,449.23
8.33,39.72,1020.24,82.84,479.12
24.01,65.46,1014.17,43.02,443.81
5.23,40.78,1025.13,92.74,483.12
27.02,61.86,1012.38,70.28,442.67
8.28,40.56,1023.29,79.44,486.4
20.95,48.14,1013.3,67.72,452.38
13.8,39.82,1012.37,83.69,473.56
10.15,41.14,1025.5,91.54,473.56
12.45,37.92,1008.03,61.87,470.59
21.64,50.32,1008.41,86.32,442.52
28.62,69.98,1013.3,68.53,432.11
9.45,41.4,1027.06,87.35,479.0
18.37,58.96,1015.5,67.79,460.25
9.15,40.11,1023.82,75.4,475.01
19.41,67.32,1012.34,78.8,446.71
15.72,43.02,1011.98,45.74,466.33
18.72,60.07,1015.81,70.55,454.35
30.33,70.32,1007.75,52.49,430.1
28.19,62.6,1017.34,46.95,449.61
25.31,61.5,1009.31,63.31,437.03
31.91,67.83,1008.76,53.22,425.28
7.07,37.49,1010.35,87.19,481.58
26.12,63.94,1017.97,44.81,441.46
20.55,63.86,1015.12,73.98,447.54
32.09,79.74,1006.92,61.5,432.85
20.11,50.78,1008.73,93.24,447.42
17.55,43.14,1018.86,76.0,461.58
18.12,58.95,1017.82,86.16,449.28
6.72,38.91,1016.89,90.47,485.89
24.79,59.21,1017.9,53.83,446.04
19.24,58.33,1013.65,85.47,449.26
11.23,43.67,1012.57,72.1,475.41
22.49,71.29,1008.24,75.8,442.58
24.06,69.94,1005.47,60.46,436.88
6.99,40.07,1014.83,54.36,490.11
6.91,39.37,1019.58,71.02,488.2
6.49,43.65,1020.41,72.78,484.94
13.92,43.41,1015.12,61.64,464.76
23.89,65.18,1012.46,78.29,438.97
27.44,58.9,1003.86,66.74,442.19
31.63,69.59,1008.66,61.81,436.89
27.23,49.16,1004.03,40.8,443.78
22.18,69.05,1002.75,70.84,442.14
28.67,69.14,1008.24,72.68,433.79
6.58,40.67,1020.18,71.07,494.84
28.79,70.79,1003.83,65.9,425.64
32.0,71.85,1008.44,53.59,427.95
