AT,V,AP,RH,PE
15.99,43.34,1014.2,78.66,465.96
12.2,39.72,1018.07,54.83,471.33
24.01,63.56,1014.19,64.31,444.1
26.13,71.25,999.8,88.47,430.6
22.65,57.85,1012.6,68.52,445.36
8.51,41.26,1023.17,87.79,477.51
6.22,39.85,1012.05,86.88,443.73
28.28,61.47,1009.44,60.89,443.12
13.76,45.87,1008.89,87.27,463.5
7.45,43.13,1019.31,86.32,485.6
25.56,69.13,1002.46,68.26,434.48
15.17,36.71,1013.5,77.44,471.93
29.21,72.25,1012.72,71.85,434.64
14.02,40.75,1016.05,70.65,470.48
26.86,71.14,1007.11,76.61,426.97
13.1,40.55,1007.59,95.46,472.37
21.93,60.84,1018.96,76.8,440.76
15.3,41.76,1022.57,71.56,466.59
16.45,41.48,1016.64,45.21,454.69
22.72,64.15,1021.14,60.34,453.13
21.93,61.45,1008.92,98.54,443.91
11.36,38.25,1013.22,86.16,473.55
20.02,58.66,1011.5,76.74,454.21
29.45,68.84,1011.64,59.7,438.41
11.3,44.6,1018.19,91.66,470.5
12.52,40.24,1020.45,97.41,470.56
27.76,72.58,1009.04,84.96,429.25
15.62,41.76,1023.82,66.17,459.72
23.96,46.93,1013.98,47.22,450.86
10.8,41.74,1020.24,78.62,479.32
7.87,43.02,1014.67,83.58,485.61
28.81,64.96,1000.46,68.05,427.91
24.2,57.85,1013.05,70.29,446.87
7.26,36.08,1021.47,83.15,483.58
13.36,39.64,1010.3,93.26,471.89
20.58,49.15,1021.42,56.15,453.87
30.74,69.59,1008.69,68.04,437.81
22.72,65.61,1014.64,70.53,449.04
5.49,38.5,1012.18,79.33,490.84
8.05,40.8,1028.01,89.56,483.43
31.12,68.94,1006.05,68.46,431.92
29.05,65.74,1013.29,60.02,440.74
12.45,37.92,1008.03,61.87,470.59
26.79,77.95,1009.9,80.22,437.91
12.25,40.75,1016.02,82.4,475.07
16.76,43.77,1012.25,77.95,457.0
12.87,41.5,1013.51,85.72,469.44
24.49,65.46,1015.77,44.95,445.27
25.33,73.21,1002.19,97.24,433.43
26.92,63.73,1010.29,68.6,440.35
9.0,40.78,1025.39,99.22,468.5
18.92,67.71,1008.19,64.53,446.77
13.68,44.47,1027.81,69.53,469.37
29.29,70.02,1010.13,46.93,438.84
28.54,72.99,1007.42,67.87,432.0
14.21,39.16,1016.5,85.09,473.87
29.54,69.48,1008.91,56.07,427.82
9.29,39.96,1026.2,97.55,473.51
15.31,52.75,1025.21,55.22,460.77
23.48,65.12,1015.82,60.83,445.66
23.61,43.77,1011.81,56.08,444.55
18.99,59.27,1012.15,89.39,453.4
19.81,43.56,1013.39,38.13,460.59
25.76,57.32,1011.93,43.61,440.26
26.63,74.22,1007.44,78.5,434.25
27.07,77.95,1012.34,76.64,433.61
9.68,40.22,1007.6,89.97,479.56
27.97,58.84,1002.25,57.88,446.11
13.58,40.75,1016.05,76.45,472.73
3.95,35.47,1017.36,84.88,488.64
27.27,72.24,1010.69,78.09,432.35
14.02,42.86,1030.86,68.36,467.29
11.68,39.22,1017.9,57.95,471.8
28.93,72.99,1007.23,64.41,434.45
14.55,40.73,1018.36,89.12,458.82
24.49,60.27,1018.96,72.62,440.87
26.91,65.34,1014.19,50.7,443.6
30.31,70.36,1006.55,59.92,439.11
9.15,39.61,1018.11,75.29,474.88
23.94,62.08,1022.47,61.97,447.5
28.37,75.6,1017.48,55.19,439.25
13.21,41.2,1016.63,74.1,474.26
22.33,59.8,1016.84,67.09,450.07
15.25,39.58,1012.1,73.05,466.21
22.58,52.3,1009.04,78.99,445.6
25.44,69.59,1008.22,80.73,433.97
29.09,72.43,1006.86,65.47,427.3
19.73,69.51,1013.14,61.84,450.99
20.24,56.03,1019.78,59.8,460.76
8.63,39.96,1024.39,99.47,475.79
16.14,44.71,1014.83,39.41,468.88
13.43,50.59,1020.38,86.3,469.33
4.0,39.9,1009.64,97.16,490.79
23.91,67.69,1008.28,66.71,439.84
11.64,41.39,1017.36,83.4,479.53
21.89,58.62,1016.15,74.59,450.05
25.07,60.27,1018.13,70.33,439.52
15.46,37.64,1014.57,87.53,462.96
26.43,75.33,1004.09,86.48,431.79
31.54,72.58,1007.61,65.57,427.31
28.29,61.86,1011.87,64.17,438.25
11.95,42.07,1018.52,84.73,467.91
8.97,39.66,1021.63,78.94,482.62
20.99,67.07,1005.17,82.41,442.02
32.33,69.68,1011.95,39.89,439.79
25.68,68.27,1008.05,68.48,434.89
8.73,41.92,1029.41,89.72,480.99
8.94,42.07,1018.9,85.93,473.34
13.8,45.08,1023.99,79.72,466.71
30.94,64.44,1014.36,53.76,439.84
4.59,39.33,1010.85,71.78,494.9
14.79,39.54,1007.25,82.54,469.23
25.94,66.49,1012.83,61.81,433.38
15.56,41.1,1003.55,76.92,464.42
14.48,46.18,1015.83,92.15,462.3
24.34,50.16,1004.78,74.0,445.33
19.66,51.43,1010.17,84.19,459.12
8.41,39.16,1015.47,93.42,484.34
12.24,40.66,1017.4,96.22,464.7
7.51,43.02,1014.35,86.46,485.38
