number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,range_atomic_radius,wtd_mean_ThermalConductivity,critical_temp
2.0,155.8922845,723.65,165.0,13305.0,127.35,7.88,201.0,4.0,18.0,314.764,0.0005
3.0,87.4683333333333,856.166666666667,127.333333333333,6311.0,135.133333333333,12.2333333333333,27.5066666666667,5.0,53.0,41.2588235294118,14.0
3.0,72.8169566666667,866.4,129.333333333333,5035.80966666667,103.966666666667,6.54066666666667,137.675526666667,2.33333333333333,147.0,68.8510533333333,23.0
5.0,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,171.0,57.9001899280576,15.0
5.0,35.613233856,879.6,131.2,2296.5286,134.214,5.5324,148.007096,2.4,146.0,113.010137142857,25.0
5.0,66.075174,777.1,150.4,3895.0858,63.986,7.2644,121.605316,2.2,171.0,57.9151885714286,29.6
2.0,119.10155,705.75,177.0,14105.0,40.9,26.75,71.0,6.5,22.0,66.4,2.15
3.0,57.9677666666667,706.0,167.333333333333,4516.33333333333,87.8666666666667,7.17666666666667,59.84,3.33333333333333,140.0,49.8,32.5
5.0,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,205.0,95.70662,90.5
5.0,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,205.0,93.8062353846154,70.0
6.0,78.5269741666667,769.366666666667,151.666666666667,5065.23816666667,61.1666666666667,8.99366666666667,108.45443,2.83333333333333,171.0,153.186438666667,74.0
5.0,68.920933,863.52,133.0,5729.6858,70.78,12.8444,48.405316,3.4,147.0,35.900395,12.66
6.0,90.0163116666667,703.766666666667,173.5,4529.5715,63.7866666666667,7.21033333333333,108.00443,2.33333333333333,205.0,123.868359247016,77.0
2.0,142.455,740.0,185.5,15810.0,91.45,30.35,145.0,6.0,15.0,145.0,7.5
5.0,92.26674,747.78,159.2,5174.2858,60.484,6.8124,132.805316,2.2,205.0,175.882658,120.0
5.0,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,205.0,96.2938016216216,87.5
3.0,68.5874666666667,718.333333333333,170.333333333333,7764.33333333333,57.7666666666667,17.3333333333333,64.3333333333333,3.0,57.0,43.6666666666667,2.45
1.0,47.867,657.8,176.0,4507.0,9.1,18.7,22.0,4.0,0.0,22.0,0.39
7.0,87.0246778571429,730.342857142857,165.714285714286,5606.20414285714,56.96,8.80885714285714,111.575225714286,2.57142857142857,205.0,72.394176,88.5
7.0,90.5808928571429,760.057142857143,177.428571428571,4951.06128571429,45.8357142857143,7.36457142857143,96.9037971428571,2.14285714285714,205.0,61.334176,51.0
7.0,97.4795707142857,767.528571428571,150.714285714286,6165.91842857143,66.7571428571429,8.81885714285714,111.146654285714,3.0,171.0,71.574176,48.6
5.0,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,171.0,144.081772,83.6
2.0,144.0885,776.45,185.0,16420.0,112.95,31.0,144.5,6.0,10.0,149.703,0.133
5.0,104.05601,730.84,184.2,5532.4858,76.17,7.8644,88.405316,2.6,205.0,95.9681584615385,72.0
5.0,78.114559,742.18,164.0,6994.2,59.45,15.76,129.4,3.2,139.0,56.6688,2.35
4.0,75.645,787.775,144.5,6856.0,100.225,14.6325,71.30125,4.75,103.0,60.2385382059801,7.05
6.0,89.4605866666667,702.95,180.333333333333,4467.90483333333,63.7866666666667,7.177,107.337763333333,2.5,205.0,103.861590559177,57.7
5.0,92.26674,747.78,159.2,5174.2858,60.484,6.8124,132.805316,2.2,205.0,113.820170322581,120.0
4.0,36.906175,959.0,127.0,1762.61625,115.675,6.89,27.0086825,3.25,150.0,12.0549465408805,11.6
4.0,44.9455,933.65,146.0,1842.86625,112.875,6.7225,30.7586825,3.25,187.0,26.5344111405836,13.5
3.0,120.376,711.733333333333,141.333333333333,6953.33333333333,110.3,9.25333333333333,50.6666666666667,4.33333333333333,33.0,35.4406438631791,1.76
5.0,75.05873,818.8,156.8,4574.4858,59.446,11.3244,35.405316,3.2,199.0,37.431645,16.5
3.0,85.9861666666667,683.733333333333,155.333333333333,7306.66666666667,63.6333333333333,26.2666666666667,64.6666666666667,4.0,119.0,80.5555555555555,5.3
5.0,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,205.0,92.9373892307692,57.1
5.0,72.96372,776.1,161.0,4902.2858,81.764,8.2324,209.605316,1.8,205.0,125.894875238095,117.1
4.0,80.70215,710.4,173.75,5098.75,38.0175,14.835,85.75,3.25,117.0,73.0,24.0
3.0,84.6730833333333,718.366666666667,176.666666666667,8467.66666666667,66.6,15.1,59.6666666666667,3.0,63.0,67.5,16.3
3.0,112.922035866667,674.833333333333,149.333333333333,9770.0,99.5666666666667,8.82,212.333333333333,3.66666666666667,56.0,311.67,0.0763
5.0,61.33441064,1045.0,121.4,4048.825,124.04,9.7764,28.410856,3.0,205.0,35.506708,50.0
4.0,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,205.0,69.5343866666667,81.0
4.0,94.929205,701.0,166.0,9018.75,73.425,28.6,78.25,4.5,139.0,79.5111111111111,6.42
6.0,90.5213783333333,817.95,144.0,4643.5715,110.366666666667,8.087,107.24593,3.33333333333333,171.0,67.9163525,58.0
4.0,134.35253,710.4,191.0,10621.5,63.75,11.6375,74.0,3.75,105.0,117.95652173913,0.28
