Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
238.05,0.0,94.11,949.91,7.0,186.66,847.01,56.0,39.58971192
212.0,141.3,0.0,973.4,0.0,203.5,750.0,28.0,33.003837168
203.5,305.3,0.0,963.4,0.0,203.5,630.0,3.0,9.561653168
389.9,189.0,0.0,944.7,22.0,145.9,755.8,7.0,59.09498796
439.0,177.0,0.0,884.9,11.1,186.0,707.9,3.0,39.300132
173.0,116.0,0.0,946.8,0.0,192.0,856.8,28.0,24.281965768
264.5,111.0,86.5,832.6,5.9,195.5,790.4,28.0,41.542307951999994
218.23,54.64,123.78,1075.7,11.91,140.75,792.67,14.0,35.9561734
322.0,0.0,0.0,974.0,0.0,203.0,800.0,14.0,20.77391188
321.3,164.2,0.0,870.0,4.6,190.5,774.0,28.0,57.21823428799999
275.0,0.0,0.0,1088.0,0.0,183.0,808.0,7.0,14.2032056
251.37,0.0,118.27,1043.6,5.75,192.94,754.3,28.0,33.27411176
350.0,0.0,0.0,974.0,0.0,203.0,775.0,14.0,22.53207568
339.2,0.0,0.0,1069.2,0.0,185.7,754.3,28.0,31.899986092
387.0,20.0,94.0,938.0,14.32,157.0,845.0,28.0,50.23522136
157.0,214.0,152.0,819.0,9.0,200.0,704.0,28.0,33.05347944
332.5,142.5,0.0,932.0,0.0,228.0,594.0,270.0,40.269535256000005
289.0,0.0,0.0,913.2,0.0,192.0,895.3,3.0,11.654902304
181.9,272.8,0.0,1012.4,0.0,185.7,714.3,28.0,27.935499091999997
186.2,124.1,0.0,1083.4,0.0,185.7,764.3,7.0,7.995853172
397.0,0.0,0.0,1040.0,0.0,185.0,734.0,28.0,39.0932892
289.0,133.7,0.0,924.1,5.5,194.9,760.1,28.0,46.247292176
152.6,238.7,0.0,1001.8,6.3,200.0,683.9,28.0,26.859916531999996
237.5,237.5,0.0,932.0,0.0,228.0,594.0,180.0,36.251958603999995
333.0,0.0,0.0,931.2,0.0,192.0,842.6,28.0,31.966865263999996
168.88,42.22,124.25,1080.8,10.83,158.33,796.15,14.0,23.5111316
540.0,0.0,0.0,1125.0,0.0,173.0,613.0,7.0,52.61391356
250.0,0.0,95.69,948.9,5.33,191.84,857.2,28.0,27.22051248
159.0,209.0,161.0,848.0,7.0,201.0,669.0,28.0,30.881630039999997
500.0,0.0,0.0,1125.0,0.0,200.0,613.0,180.0,51.04190828
531.3,0.0,0.0,852.1,28.2,141.8,893.7,3.0,41.2996124
302.0,0.0,0.0,974.0,0.0,203.0,817.0,180.0,26.74477404
388.6,97.1,0.0,852.1,12.1,157.9,925.7,91.0,57.59882504
108.3,162.4,0.0,938.2,0.0,203.5,849.0,28.0,20.593958644
108.3,162.4,0.0,938.2,0.0,203.5,849.0,90.0,29.231713972
339.0,0.0,0.0,968.0,0.0,197.0,781.0,28.0,32.039949719999996
249.1,0.0,98.75,987.76,12.8,158.11,889.01,3.0,15.36152528
165.0,128.5,132.1,1005.8,8.08,175.06,746.6,3.0,19.41564416
159.0,149.0,116.0,953.0,15.0,175.0,720.0,28.0,27.67556664
290.2,193.5,0.0,998.2,0.0,185.7,704.3,28.0,33.0431373
277.19,97.82,24.46,1061.7,11.19,160.7,782.46,14.0,47.7117392
233.81,0.0,94.58,947.04,4.567,197.89,852.16,3.0,10.38350856
296.0,0.0,106.7,819.2,10.5,221.4,778.4,28.0,31.420110796000003
133.1,210.2,0.0,949.4,3.1,195.7,795.3,28.0,28.937997196
194.68,0.0,100.52,1006.4,7.48,165.62,905.9,14.0,24.986610239999997
350.0,0.0,0.0,974.0,0.0,203.0,775.0,56.0,29.97841648
237.5,237.5,0.0,932.0,0.0,228.0,594.0,365.0,38.995383608
238.0,0.0,0.0,1118.0,0.0,185.0,789.0,28.0,17.54026944
307.0,0.0,0.0,968.0,0.0,193.0,812.0,365.0,36.14922668
251.37,0.0,118.27,1028.4,6.35,188.45,757.73,56.0,36.63875464
213.5,0.0,174.24,1043.6,11.66,159.21,771.9,3.0,15.60973664
475.0,118.8,0.0,852.1,8.9,181.1,781.5,3.0,37.79707432
200.0,0.0,0.0,1125.0,0.0,180.0,845.0,7.0,7.83934212
349.0,0.0,0.0,1047.0,0.0,192.0,806.0,90.0,39.48629052
212.0,141.3,0.0,973.4,0.0,203.5,750.0,3.0,6.8085755
166.09,0.0,163.27,1058.6,4.49,176.46,780.09,56.0,28.62704352
298.0,0.0,107.0,879.0,6.0,186.0,815.0,28.0,42.63719584
102.0,153.0,0.0,887.0,0.0,192.0,942.0,28.0,17.275510655999998
397.0,17.2,158.0,967.0,20.8,167.0,633.0,28.0,55.647607959999995
261.0,100.0,78.0,864.0,9.0,201.0,761.0,28.0,32.39847724
145.7,172.6,0.0,985.8,3.4,181.9,816.8,28.0,23.744174488
388.6,97.1,0.0,852.1,12.1,157.9,925.7,7.0,34.90127512
374.0,189.2,0.0,926.1,10.1,170.1,756.7,56.0,63.3973182
