frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
630.0,9.9,0.1524,39.6,0.0233328,126.465
1250.0,0.0,0.0508,31.7,0.000812164,127.039
1600.0,9.9,0.1524,31.7,0.0252785,117.119
3150.0,15.4,0.0508,39.6,0.0282593,120.513
1600.0,9.5,0.0254,31.7,0.00461377,131.036
6300.0,12.7,0.0254,39.6,0.0130253,123.177
3150.0,0.0,0.2286,71.3,0.00214345,126.933
315.0,1.5,0.3048,39.6,0.00392107,121.851
1600.0,0.0,0.1016,55.5,0.00131983,132.05
500.0,4.0,0.2286,39.6,0.00473801,111.076
800.0,19.7,0.0508,71.3,0.0341183,124.555
2500.0,12.3,0.1016,55.5,0.0368233,127.632
2000.0,15.4,0.0508,71.3,0.0264269,129.285
3150.0,3.0,0.3048,39.6,0.00495741,118.922
2500.0,8.4,0.0508,71.3,0.00529514,127.094
8000.0,0.0,0.3048,71.3,0.00266337,117.151
1600.0,4.0,0.2286,71.3,0.00400603,129.468
630.0,4.8,0.0254,31.7,0.000930789,111.818
2000.0,12.3,0.1016,71.3,0.0337792,122.218
2000.0,8.9,0.1016,71.3,0.0103088,124.233
2000.0,0.0,0.3048,31.7,0.00331266,122.375
3150.0,7.3,0.2286,31.7,0.0132672,113.229
400.0,12.3,0.1016,31.7,0.0418756,123.207
12500.0,2.7,0.1524,71.3,0.00243851,113.034
400.0,11.2,0.0508,71.3,0.014072,129.281
500.0,9.5,0.0254,55.5,0.0043284,123.082
5000.0,0.0,0.2286,71.3,0.00214345,124.304
200.0,9.5,0.0254,31.7,0.00461377,119.146
6300.0,0.0,0.0508,39.6,0.000791822,129.027
500.0,0.0,0.1524,31.7,0.00209405,121.617
800.0,3.0,0.3048,39.6,0.00495741,129.552
400.0,12.6,0.1524,71.3,0.0483159,132.611
400.0,4.0,0.2286,31.7,0.00509068,126.149
12500.0,4.8,0.0254,55.5,0.000873218,125.094
6300.0,5.4,0.1524,31.7,0.00525474,115.591
800.0,0.0,0.2286,31.7,0.0027238,130.725
4000.0,8.4,0.0508,55.5,0.00544854,122.612
630.0,8.4,0.0508,31.7,0.00580776,120.078
2500.0,5.4,0.1524,71.3,0.00401199,127.591
500.0,2.0,0.2286,39.6,0.00346574,134.226
1600.0,8.9,0.1016,39.6,0.0124596,117.054
2500.0,9.5,0.0254,71.3,0.00420654,135.956
10000.0,3.3,0.1016,71.3,0.00202822,116.694
4000.0,4.2,0.0508,39.6,0.00152689,131.807
2500.0,0.0,0.0254,31.7,0.000439472,132.897
2500.0,4.8,0.0254,31.7,0.000930789,113.288
4000.0,3.0,0.3048,31.7,0.00529514,125.157
630.0,19.7,0.0508,71.3,0.0341183,128.365
10000.0,7.2,0.1524,71.3,0.00752039,110.313
500.0,3.0,0.3048,39.6,0.00495741,115.309
200.0,9.9,0.1524,71.3,0.0193001,134.319
1250.0,5.4,0.1524,31.7,0.00525474,123.991
6300.0,0.0,0.0254,31.7,0.000439472,138.537
500.0,8.9,0.1016,71.3,0.0103088,138.523
6300.0,9.9,0.1524,71.3,0.0193001,112.039
2000.0,3.3,0.1016,71.3,0.00202822,134.034
3150.0,22.2,0.0254,71.3,0.0214178,124.127
4000.0,2.0,0.2286,55.5,0.00313525,122.232
5000.0,7.2,0.1524,71.3,0.00752039,118.343
800.0,12.3,0.1016,55.5,0.0368233,125.114
4000.0,0.0,0.3048,31.7,0.00331266,124.101
1000.0,0.0,0.0508,55.5,0.00076193,123.82
1600.0,3.3,0.1016,39.6,0.00245138,133.071
3150.0,0.0,0.1016,55.5,0.00131983,131.78
800.0,8.4,0.0508,39.6,0.00566229,128.435
630.0,12.3,0.1016,55.5,0.0368233,124.244
630.0,17.4,0.0254,31.7,0.0176631,136.886
3150.0,12.7,0.0254,71.3,0.0121808,133.758
5000.0,7.2,0.1524,39.6,0.00909175,123.417
400.0,19.7,0.0508,39.6,0.036484,130.614
10000.0,0.0,0.0508,39.6,0.000791822,125.998
