Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28.0,31.02642
228.0,342.1,0.0,185.7,0.0,955.8,674.3,28.0,39.699338604
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14.0,22.7182342
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,56.0,44.14025352
289.0,0.0,0.0,192.0,0.0,913.2,895.3,90.0,32.068218236
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28.0,44.13335876
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28.0,39.435269296
528.0,0.0,0.0,185.0,6.86,920.0,720.0,28.0,56.83350668
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100.0,56.06129356
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,56.0,31.53663224
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180.0,37.32823064
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7.0,7.675936308
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,100.0,40.14818748
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,56.0,37.2661778
359.0,19.0,141.0,154.0,10.91,942.0,801.0,28.0,59.494884039999995
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100.0,48.67011084
288.0,192.0,0.0,192.0,0.0,932.0,717.8,90.0,50.526869708
275.0,180.0,120.0,162.0,10.35,830.0,765.0,28.0,76.23536132
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28.0,45.304778484
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7.0,21.48062478
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28.0,42.14008364399999
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.79941252
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28.0,23.84897484
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047983999995
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28.0,29.06830816
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14.0,33.08795324
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,3.0,14.39625888
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,28.0,24.84871504
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28.0,10.535882756
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.19944856
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180.0,32.32952964
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7.0,33.398217439999996
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28.0,23.786922
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3.0,13.52062436
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3.0,2.331807832
387.0,20.0,94.0,157.0,14.32,938.0,845.0,7.0,36.83870268
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28.0,37.42475728
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28.0,31.899986092
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28.0,20.593958644
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,100.0,43.0577762
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,28.0,40.2309246
250.2,166.8,0.0,203.5,0.0,977.6,694.1,28.0,36.964187312
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28.0,38.20386516
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100.0,53.65502232
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28.0,33.306517131999996
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871315999999
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7.0,37.997022359999995
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.3991368
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7.0,21.859147104
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90.0,54.598914963999995
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28.0,37.25928304
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28.0,57.226507999999995
355.0,19.0,97.0,145.0,12.25,967.0,871.0,28.0,55.45455468
194.68,0.0,100.52,170.17,7.48,998.0,901.8,28.0,37.2661778
277.05,0.0,97.39,160.6,11.83,973.9,875.61,3.0,23.13881456
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7.0,15.748321315999998
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28.0,32.401235144
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.80163088
183.9,122.6,0.0,203.5,0.0,959.2,800.0,7.0,10.787541496
284.0,15.0,141.0,179.0,5.46,842.0,801.0,56.0,44.520450284729314
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7.0,17.236210524
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7.0,34.569637164
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7.0,14.596896395999998
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56.0,31.35047372
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90.0,35.763120119999996
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28.0,18.033934256
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,39.37597436
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28.0,18.287661424
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7.0,38.01770664
424.0,22.0,132.0,168.0,8.92,822.0,750.0,3.0,32.109882284729316
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7.0,54.09628696
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14.0,34.23937816
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56.0,48.587373719999995
285.0,190.0,0.0,163.0,7.6,1031.0,685.0,28.0,53.57917996
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28.0,36.443632932
