Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7.0,56.69561148
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3.0,15.43736764
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14.0,22.31833812
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,56.0,37.2661778
194.68,0.0,100.52,170.17,7.48,998.0,901.8,100.0,44.27814872
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14.0,36.93522932
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28.0,42.14008364399999
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7.0,42.42345828
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91.0,59.76377968
238.05,0.0,94.11,186.66,7.0,949.91,847.01,56.0,39.58971192
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28.0,26.258003984
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7.0,9.01145132
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28.0,9.73540112
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,100.0,30.12320644
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360.0,33.70158688
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56.0,66.78067543054136
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,56.0,42.69924868
491.0,26.0,123.0,210.0,3.93,882.0,699.0,3.0,25.60910856945864
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28.0,35.225328839999996
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56.0,12.788400847999998
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28.0,29.89223198
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.823194456
153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28.0,19.00885332
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.836714204
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56.0,51.95891136
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,48.846616696
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3.0,13.39553371527068
387.0,20.0,94.0,157.0,13.93,938.0,845.0,7.0,21.859147104
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0,52.30364936
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7.0,82.5992248
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,28.0,13.12072828
250.0,0.0,95.69,191.84,5.33,948.9,857.2,100.0,41.1617172
194.68,0.0,100.52,170.17,7.48,998.0,901.8,28.0,55.0201848
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7.0,20.416073836
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28.0,17.3403214
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,18.746162964
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28.0,40.2309246
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,24.290928956
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28.0,33.7153764
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56.0,36.63875464
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28.0,26.8550902
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28.0,7.39807748
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,3.0,45.3675208
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,24.53845084
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7.0,22.13907436
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.69990824
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56.0,80.19984832
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3.0,13.54130864
