Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28.0,38.21075992
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28.0,31.35047372
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56.0,48.587373719999995
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69225402399999
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3.0,14.94094492
355.0,19.0,97.0,145.0,13.13,967.0,871.0,28.0,44.02993736
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28.0,44.868340176
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,22.89749796
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3.0,11.41427518
202.0,11.0,141.0,206.0,1.72,942.0,801.0,7.0,15.069975430541358
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28.0,49.89737812
153.0,102.0,0.0,192.0,0.0,888.0,943.1,28.0,17.96429718
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3.0,7.74971024
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28.0,27.53077668
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28.0,21.6495464
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.931941843999994
387.0,20.0,94.0,157.0,13.93,938.0,845.0,56.0,47.96684532
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14.0,18.12632404
250.0,0.0,95.69,191.84,5.33,948.9,857.2,56.0,39.64487
393.0,0.0,0.0,192.0,0.0,940.0,758.0,3.0,19.10537996
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3.0,10.76272036
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7.0,45.69846928
300.0,0.0,120.0,212.0,10.0,878.0,728.0,28.0,23.83518532
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28.0,26.147687824
158.4,0.0,194.9,219.7,11.0,897.7,712.9,28.0,8.536402356
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28.0,46.24315532
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28.0,30.881630039999997
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14.0,33.08795324
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,56.0,39.2656582
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.104130996
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7.0,17.200357771999997
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100.0,49.99390476
491.0,26.0,123.0,201.0,3.93,822.0,699.0,3.0,29.54897143054136
387.0,20.0,94.0,157.0,14.32,938.0,845.0,3.0,22.752708
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,3.0,15.60973664
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28.0,33.79811352
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.419591196
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,11.46598588
