frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
16000.0,0.0,0.3048,71.3,0.00266337,108.721
2000.0,12.6,0.1524,71.3,0.0483159,117.504
2500.0,0.0,0.1524,31.7,0.00209405,125.867
6300.0,4.8,0.0254,55.5,0.000873218,135.164
1000.0,3.3,0.1016,39.6,0.00245138,131.971
1000.0,6.7,0.1016,71.3,0.00478288,136.758
1600.0,3.3,0.1016,31.7,0.00251435,133.402
250.0,7.3,0.2286,39.6,0.0123481,131.889
1250.0,3.0,0.3048,31.7,0.00529514,124.838
2500.0,4.0,0.2286,55.5,0.0042862,122.384
8000.0,0.0,0.2286,71.3,0.00214345,118.024
12500.0,0.0,0.3048,71.3,0.00266337,112.241
630.0,12.6,0.1524,39.6,0.0584113,116.55
8000.0,12.7,0.0254,39.6,0.0130253,120.607
10000.0,0.0,0.3048,55.5,0.00283081,113.076
500.0,22.2,0.0254,39.6,0.0229028,129.776
10000.0,4.8,0.0254,71.3,0.000848633,127.398
5000.0,4.0,0.2286,55.5,0.0042862,120.034
1000.0,12.3,0.1016,55.5,0.0368233,125.484
800.0,15.4,0.0508,71.3,0.0264269,131.515
3150.0,3.0,0.3048,55.5,0.00452492,120.189
1250.0,15.6,0.1016,39.6,0.0528487,118.214
315.0,7.3,0.2286,71.3,0.0104404,139.808
3150.0,5.3,0.2286,71.3,0.0051942,123.12
250.0,12.3,0.1016,39.6,0.0408268,129.675
200.0,19.7,0.0508,39.6,0.036484,125.974
200.0,12.3,0.1016,39.6,0.0408268,128.545
800.0,12.3,0.1016,39.6,0.0408268,122.315
3150.0,2.0,0.2286,55.5,0.00313525,123.742
2500.0,4.8,0.0254,55.5,0.000873218,129.144
2000.0,0.0,0.1016,71.3,0.00121072,132.095
1250.0,8.9,0.1016,71.3,0.0103088,132.793
2000.0,0.0,0.0254,31.7,0.000439472,130.697
800.0,2.0,0.2286,71.3,0.00293031,128.216
630.0,5.3,0.2286,39.6,0.00614329,132.011
500.0,12.7,0.0254,71.3,0.0121808,126.898
1250.0,4.8,0.0254,39.6,0.000907475,125.026
4000.0,0.0,0.1016,71.3,0.00121072,130.935
3150.0,0.0,0.2286,31.7,0.0027238,123.445
1250.0,19.7,0.0508,39.6,0.036484,118.634
1250.0,12.3,0.1016,31.7,0.0418756,118.767
1600.0,5.3,0.2286,71.3,0.0051942,130.46
1600.0,17.4,0.0254,55.5,0.0165706,126.471
5000.0,2.0,0.2286,39.6,0.00346574,118.827
1250.0,6.7,0.1016,39.6,0.00578076,132.395
800.0,5.4,0.1524,71.3,0.00401199,131.281
6300.0,0.0,0.1524,39.6,0.00193287,121.313
5000.0,22.2,0.0254,39.6,0.0229028,118.816
250.0,8.9,0.1016,39.6,0.0124596,134.34
800.0,3.0,0.3048,39.6,0.00495741,129.552
5000.0,8.9,0.1016,71.3,0.0103088,116.723
630.0,4.0,0.2286,71.3,0.00400603,129.038
5000.0,9.9,0.1524,71.3,0.0193001,114.569
400.0,11.2,0.0508,71.3,0.014072,129.281
1250.0,12.3,0.1016,55.5,0.0368233,124.214
8000.0,1.5,0.3048,39.6,0.00392107,112.251
1250.0,0.0,0.0254,31.7,0.000439472,127.947
400.0,12.6,0.1524,71.3,0.0483159,127.094
3150.0,0.0,0.1524,55.5,0.00172668,127.753
2000.0,0.0,0.1524,71.3,0.0015988,128.647
4000.0,0.0,0.3048,39.6,0.00310138,119.229
1600.0,0.0,0.3048,39.6,0.00310138,124.049
4000.0,0.0,0.0254,39.6,0.000428464,135.346
2500.0,3.0,0.3048,71.3,0.00425727,124.024
500.0,17.4,0.0254,31.7,0.0176631,127.676
