AT,V,AP,RH,PE
31.05,62.7,1009.35,55.27,441.67
22.9,67.25,1017.74,74.53,438.62
29.85,61.85,1005.45,61.85,436.46
10.72,41.38,1021.6,63.77,478.29
26.0,69.89,1015.12,73.06,433.5
27.62,72.43,1007.54,71.33,428.76
27.35,61.47,1008.43,70.65,443.67
20.41,56.03,1019.94,-999.0,458.29
10.51,37.5,1010.7,96.29,474.24
10.44,39.04,1023.99,85.03,480.34
26.86,70.47,1007.18,72.38,434.59
12.07,38.25,1012.67,81.66,470.36
20.76,57.25,1011.01,90.31,444.85
25.43,69.13,1002.2,-999.0,431.53
8.42,43.14,1011.62,-999.0,483.49
11.01,40.22,1011.13,83.09,476.69
10.65,41.78,1013.66,70.04,474.27
24.35,70.04,1010.92,73.88,438.4
10.1,41.17,1019.18,84.87,479.95
13.94,42.86,1012.35,88.78,471.64
31.33,58.9,1003.77,52.34,439.54
27.62,71.14,1011.6,52.8,434.72
17.79,40.12,1012.74,79.03,459.13
22.97,72.24,1011.15,95.85,437.41
26.49,61.86,1012.55,74.24,440.21
14.33,45.51,1015.42,71.55,468.92
20.27,63.09,1016.6,90.7,446.75
6.33,39.33,1012.06,93.16,492.22
17.75,42.24,1016.86,61.52,468.86
22.97,42.48,1012.84,64.71,466.7
15.47,43.13,1015.11,50.5,466.63
28.34,73.68,1015.05,76.73,432.0
5.23,40.78,1025.13,92.74,483.12
25.61,60.32,1015.77,56.48,443.96
23.21,58.49,1010.97,74.34,448.09
29.24,69.05,1003.12,43.18,432.56
14.87,42.77,1017.94,75.06,462.03
28.28,68.67,1006.36,69.9,435.29
21.47,60.93,1006.46,87.83,442.75
22.3,67.25,1017.33,75.85,453.27
17.02,51.86,1021.53,81.28,460.0
14.66,40.89,1009.72,91.56,465.73
28.01,65.34,1014.68,46.86,440.77
9.26,44.68,1023.22,91.44,478.82
24.17,59.44,1012.66,78.53,447.13
27.61,69.68,1012.79,77.01,438.31
15.03,35.71,1015.26,56.55,467.61
12.57,39.16,1016.53,88.91,476.2
28.19,62.6,1017.34,46.95,449.61
30.66,73.77,1003.13,78.09,430.0
9.16,42.44,1014.43,93.67,480.98
22.95,63.94,1013.87,80.37,447.13
16.77,45.01,1013.47,81.42,458.22
22.33,45.87,1007.8,63.61,447.02
5.98,38.91,1016.5,91.83,488.85
22.71,75.23,1010.48,76.86,444.0
29.28,77.17,1009.4,76.3,433.14
14.84,71.14,1019.61,-999.0,454.16
28.0,69.05,1000.82,65.24,427.71
18.95,42.23,1013.01,79.4,462.73
24.17,48.41,1008.46,76.19,442.62
13.98,44.58,1016.48,77.59,473.01
30.3,73.9,1006.72,55.13,440.79
21.4,47.93,1005.16,88.44,445.2
29.72,68.24,1009.92,66.42,426.54
6.79,38.5,1012.61,72.46,488.69
15.38,43.99,1022.42,83.41,462.48
18.55,52.84,1004.45,86.82,450.23
6.71,39.37,1020.28,71.15,487.05
18.9,58.46,1016.74,87.65,449.32
23.78,49.3,1003.3,76.56,439.83
26.43,51.43,1006.3,71.48,441.01
12.19,40.05,1014.77,84.39,473.92
25.13,57.69,1007.43,78.43,437.8
24.87,58.33,1013.76,54.55,440.79
10.74,44.85,1014.25,71.61,476.83
12.93,41.39,1018.5,80.28,472.57
12.19,44.63,1018.96,80.91,468.91
29.6,71.58,1010.34,52.56,434.64
12.04,43.69,1016.58,80.16,474.97
19.32,44.71,1015.3,28.81,464.38
19.41,49.39,1020.84,81.89,449.24
25.95,59.27,1010.9,70.42,444.19
13.74,39.35,1014.82,77.48,471.11
29.67,71.98,1005.16,67.75,425.14
24.73,71.14,1009.07,68.87,437.55
21.01,60.1,1010.93,78.6,450.99
14.53,39.0,1016.48,76.36,464.86
17.46,40.22,1006.7,91.96,461.74
21.82,63.9,1014.48,92.53,447.29
18.02,53.16,1013.41,82.84,458.01
22.54,63.07,1011.71,81.64,442.28
10.07,39.66,1015.37,83.78,479.64
26.08,57.32,1012.2,47.06,441.32
26.85,75.6,1017.43,74.55,433.48
11.86,40.55,1019.82,-999.0,473.31
14.82,44.58,1020.13,74.88,473.17
21.86,60.27,1016.06,90.48,446.31
24.4,67.45,1015.63,57.1,435.47
10.4,42.44,1014.24,93.48,480.04
22.17,60.27,1018.21,89.55,443.31
28.75,64.84,1009.61,58.24,441.3
31.17,69.51,1010.51,43.11,428.94
13.58,44.47,1029.91,70.41,467.15
24.38,57.17,1009.85,74.46,444.59
14.96,39.31,1010.52,71.28,461.97
24.66,69.94,1006.56,60.91,432.68
12.74,44.03,1007.62,97.64,463.96
27.41,74.67,1016.57,80.16,429.21
10.47,44.21,1017.87,-999.0,476.02
15.25,52.9,1014.86,76.87,463.93
7.36,41.01,1025.49,96.48,477.37
20.24,58.41,1013.73,99.59,449.49
9.91,39.64,1010.57,75.82,478.63
27.45,59.74,1011.34,58.58,450.46
12.21,40.64,1020.31,83.84,464.03
29.04,60.07,1015.42,46.15,440.43
29.98,47.93,1002.46,42.73,438.79
30.95,71.58,1009.95,50.02,430.47
4.71,42.07,1005.35,82.26,486.79
