Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28.0,37.43165204
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.029847436
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,39.37597436
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,28.0,32.66047812
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.77931782
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28.0,28.46846404
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7.0,45.69846928
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28.0,12.17614616
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28.0,44.32641204
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,28.0,41.40992856
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3.0,17.22311048
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28.0,24.90387312
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28.0,25.74503384
424.0,22.0,132.0,168.0,8.92,822.0,750.0,3.0,32.109882284729316
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28.0,39.84481804
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28.0,29.89223198
273.0,105.0,82.0,210.0,9.0,904.0,680.0,28.0,37.16965116
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28.0,39.321505756
424.0,22.0,132.0,168.0,8.92,822.0,750.0,7.0,40.28509771527068
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,28.0,31.97100212
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28.0,33.306517131999996
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56.0,36.63875464
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28.0,67.568648
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28.0,38.630650804
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90.0,25.460969728
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,23.34565736
290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0,45.08483564
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7.0,50.511011759999995
314.0,0.0,113.0,170.0,10.0,925.0,783.0,28.0,38.45897128
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28.0,33.082437432
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7.0,18.12632404
