AT,V,AP,RH,PE
15.12,48.92,1011.8,72.93,462.59
11.43,44.78,1013.43,82.45,471.09
20.71,58.18,1007.63,98.44,447.06
22.06,43.43,1010.46,58.01,448.92
13.73,45.08,1023.55,81.64,470.35
15.67,45.17,1018.73,94.74,462.09
30.85,70.94,1007.47,54.79,431.77
12.73,37.73,1021.89,61.76,470.89
15.21,43.56,1012.92,56.61,467.0
13.76,45.08,1023.77,80.48,469.74
23.5,59.21,1018.29,63.0,443.31
16.81,38.52,1018.26,75.21,459.01
28.43,68.08,1011.32,58.19,433.05
21.36,59.54,1007.99,92.62,446.09
19.4,49.69,1012.89,75.53,455.6
21.28,70.32,1011.06,90.12,439.0
12.75,40.64,1020.44,83.17,466.93
6.5,38.5,1013.92,90.1,486.78
28.02,63.9,1013.96,46.2,444.42
10.28,39.64,1010.45,74.15,477.65
27.65,48.41,1008.54,58.25,440.94
18.75,41.1,1001.97,59.6,458.31
12.35,41.38,1021.99,55.38,474.94
30.13,78.05,1010.99,61.5,434.14
20.06,52.84,1004.21,82.12,447.47
28.12,44.89,1009.18,47.14,441.13
27.88,68.94,1007.68,75.68,435.04
27.39,66.93,1017.16,53.75,441.04
15.6,41.7,1019.15,84.1,461.38
24.42,57.32,1011.46,55.92,443.94
21.35,58.16,1017.21,67.66,452.83
22.76,49.21,1014.35,48.85,448.73
30.29,74.16,1008.77,75.23,-431.39
18.48,52.05,1012.41,68.2,458.62
17.3,58.59,1015.52,87.17,454.88
25.68,68.27,1008.05,68.48,434.89
14.3,54.3,1015.16,75.29,464.9
8.16,39.3,1019.39,85.38,483.17
23.48,64.15,1021.08,57.77,450.89
10.42,43.79,1016.22,90.75,474.79
26.68,68.08,1011.41,67.33,433.04
6.53,42.85,1012.65,91.6,480.98
23.21,58.49,1010.97,74.34,448.09
28.75,64.69,1007.1,60.37,437.94
15.84,41.04,1025.64,63.43,456.21
12.09,38.25,1013.61,81.28,469.29
19.31,67.71,1005.31,77.15,446.23
21.04,65.46,1017.22,63.02,452.12
9.82,39.96,1024.72,97.69,471.96
7.06,41.38,1021.94,83.55,487.71
20.6,60.08,1017.84,75.92,-454.39
18.26,59.15,1012.38,85.74,452.03
26.16,67.9,1005.81,61.02,444.06
28.85,66.54,1010.73,43.27,437.79
27.24,44.89,1009.61,51.89,442.84
5.37,40.07,1012.75,63.58,494.21
6.08,35.79,1011.08,90.59,483.08
26.98,74.78,1009.77,69.54,442.28
14.09,41.66,1009.25,71.4,469.93
6.77,38.18,1017.8,81.13,484.31
25.42,73.17,1012.29,85.86,437.06
16.15,44.21,1020.76,85.41,462.02
28.08,73.42,1012.17,62.74,434.0
9.61,44.03,1008.3,91.36,473.54
20.48,51.43,1007.4,90.7,448.03
5.5,39.04,1021.46,78.91,478.65
31.3,67.17,1007.27,62.99,433.53
25.04,70.47,1006.82,84.75,433.1
26.47,69.51,1009.51,65.02,433.89
29.08,66.54,1004.67,64.5,430.16
12.51,41.14,1027.36,87.86,-463.79
14.87,41.23,997.39,82.06,465.01
24.49,70.79,1005.51,88.65,430.54
16.5,44.2,1018.94,63.59,458.3
9.77,34.69,1027.72,74.98,477.51
13.88,48.79,1017.28,79.4,464.14
33.94,74.67,1015.94,28.16,427.98
15.79,50.88,1014.58,99.9,460.19
25.95,59.27,1010.9,70.42,444.19
19.48,63.09,1019.28,78.04,449.6
23.71,68.63,1014.54,46.04,449.41
11.45,41.17,1017.98,84.64,476.0
17.19,43.14,1014.34,68.62,464.72
30.73,69.89,1015.0,58.9,426.79
31.38,70.83,1010.35,47.28,431.33
20.71,49.69,1010.26,69.97,455.69
15.7,42.99,1007.51,76.05,464.59
25.44,70.17,1000.65,91.89,433.02
24.75,69.89,1015.29,82.01,438.1
11.34,41.54,1020.25,75.83,477.24
23.56,73.67,1007.13,87.1,439.27
23.7,66.56,1002.07,85.19,436.94
23.41,74.99,1007.22,84.55,442.51
13.45,40.73,1018.7,93.88,461.03
27.56,66.93,1016.81,55.59,444.1
22.26,60.77,1018.26,85.94,442.58
26.34,59.21,1013.37,58.98,439.22
23.97,64.05,1012.23,90.18,447.44
20.98,60.07,1016.26,67.18,446.26
31.35,67.32,1013.74,38.56,439.81
23.56,67.79,1010.14,89.72,441.29
14.95,42.99,1008.75,90.76,468.61
8.57,41.17,1020.18,72.47,484.2
8.46,40.8,1023.57,81.27,485.06
13.35,41.44,1015.9,66.04,473.17
12.54,41.62,1010.86,83.42,461.08
14.08,41.93,1023.02,59.41,475.15
25.4,69.59,1008.58,82.22,432.58
28.46,69.75,1009.46,79.75,435.75
27.59,54.2,1013.1,51.61,439.31
32.5,73.68,1014.65,55.72,427.63
10.72,41.17,1019.68,60.71,479.21
11.94,39.28,1017.04,89.88,475.59
20.98,42.23,1013.12,67.37,461.9
26.35,59.44,1012.16,63.73,443.73
20.03,62.26,1012.15,82.54,447.4
16.65,56.89,1013.52,87.44,452.52
32.44,77.95,1014.83,50.69,434.97
29.73,73.06,1010.27,84.84,432.73
10.18,43.5,1022.84,88.7,476.91
