AT,V,AP,RH,PE
23.97,64.05,1012.23,90.18,447.44
30.39,70.98,1007.55,72.76,435.48
9.39,40.11,1029.14,77.29,473.05
26.86,68.08,1012.99,50.04,436.25
29.22,60.23,1009.73,61.5,436.32
31.85,73.91,1003.6,60.22,431.26
12.22,40.78,1024.02,85.46,464.12
26.86,70.47,1007.18,72.38,434.59
25.02,69.75,1010.04,91.86,437.87
19.78,62.1,1019.72,78.36,450.43
19.07,49.69,1007.22,76.79,453.09
14.01,38.91,1015.86,69.24,470.1
28.2,66.75,1018.35,60.18,433.46
15.86,43.67,1011.11,82.24,465.46
12.52,71.14,1019.49,76.11,463.22
23.02,63.47,1012.21,80.61,443.66
10.03,41.62,1014.55,95.61,462.73
28.18,71.14,1011.56,48.03,432.72
23.59,43.77,1010.85,55.98,448.42
21.46,50.59,1016.75,67.14,453.67
12.68,43.7,1016.07,86.89,471.8
20.65,41.67,1012.76,45.27,455.5
10.1,41.17,1019.18,84.87,479.95
20.02,58.66,1011.5,76.74,454.21
7.57,39.61,1018.66,85.73,480.86
33.26,68.51,1012.49,52.68,429.38
20.88,57.85,1012.39,85.47,450.87
16.78,41.35,1000.23,70.52,459.64
12.88,40.64,1020.76,92.58,474.58
6.12,40.81,1014.77,88.15,487.24
23.56,73.67,1007.13,87.1,439.27
31.85,68.3,1014.76,47.06,428.72
12.49,38.25,1012.61,83.32,470.63
23.25,72.99,1009.17,89.85,438.51
9.79,39.69,1002.36,93.86,471.61
23.69,71.97,1009.62,93.03,438.62
21.4,74.93,1014.58,80.85,434.09
31.9,73.42,1010.82,60.58,432.27
12.42,40.24,1016.59,90.01,469.59
5.95,35.57,1025.84,77.61,487.72
24.43,58.95,1017.18,57.73,441.4
11.25,40.67,1011.64,63.54,480.49
19.35,39.72,1002.5,51.24,455.29
15.49,42.07,1018.01,78.07,460.32
24.85,68.37,1006.5,68.37,442.66
29.45,64.96,1005.52,59.92,433.04
11.61,39.69,1006.85,83.69,470.78
25.6,71.73,1010.15,68.99,436.7
33.62,77.17,1009.38,63.71,431.03
8.91,40.11,1022.87,78.39,475.43
13.87,49.83,1006.76,89.14,462.46
12.36,52.75,1026.04,68.71,465.14
21.75,58.79,1012.42,87.58,447.58
13.42,42.86,1013.88,85.13,473.27
10.8,41.62,1012.84,93.84,462.84
16.03,41.23,996.35,82.04,464.67
21.31,46.97,1014.08,62.57,455.76
15.49,54.3,1017.59,71.26,464.24
17.3,43.72,1009.64,77.86,456.55
25.37,44.89,1009.27,63.06,442.38
27.1,79.74,1005.43,86.05,431.51
24.6,71.73,1010.08,78.77,436.28
11.22,43.13,1017.24,80.9,473.93
11.21,41.06,1021.75,77.0,474.03
5.84,41.38,1020.34,82.41,489.4
16.21,50.9,1012.46,84.45,462.68
16.41,47.24,1015.75,88.78,457.94
22.05,63.31,1012.39,76.95,444.37
9.59,34.69,1027.65,75.32,478.88
13.49,44.47,1030.18,69.15,468.46
22.29,43.79,1015.68,41.75,461.23
25.37,66.75,1017.94,79.26,434.16
15.07,40.69,1015.29,70.98,469.03
12.41,45.87,1004.78,80.02,468.14
26.05,65.38,1009.43,52.1,449.82
19.87,48.14,1016.94,81.56,451.14
7.4,41.04,1024.44,90.9,477.69
27.14,64.27,1012.71,54.4,441.68
26.3,59.07,1007.84,78.32,441.94
27.0,69.34,1008.88,74.4,439.26
18.74,45.09,1014.24,41.54,456.25
25.15,62.91,1012.23,48.22,444.19
9.97,39.99,1010.09,95.0,477.31
10.39,39.69,1003.31,89.6,473.0
27.69,69.98,1008.52,60.93,433.47
27.56,65.59,1010.88,66.47,439.64
6.71,40.96,1022.71,91.89,486.58
16.0,43.34,1013.89,78.39,462.33
24.72,77.54,1008.39,81.03,438.52
13.61,38.47,1015.1,54.98,466.51
16.45,41.48,1016.64,45.21,454.69
13.61,42.34,1017.93,91.61,463.89
19.05,53.16,1013.22,82.8,455.76
30.24,68.24,1009.68,64.67,426.25
21.63,50.16,1005.7,84.84,448.32
17.27,44.9,1007.85,78.8,454.19
8.33,38.08,1018.94,73.78,481.89
14.73,40.35,1011.15,65.2,470.03
24.17,48.41,1008.46,76.19,442.62
24.8,64.63,1020.69,55.74,447.82
11.68,40.55,1022.21,85.76,475.13
19.48,58.66,1013.32,73.16,454.4
11.83,38.25,1013.36,85.33,473.31
7.45,39.61,1017.88,79.73,478.89
8.74,40.03,1016.81,93.37,481.07
7.99,41.38,1021.95,78.77,487.57
14.6,44.84,1023.58,88.21,464.88
25.99,49.82,1015.95,58.56,452.09
21.24,44.3,1014.34,83.39,444.0
5.89,40.07,1018.99,63.13,493.9
11.36,41.48,1012.8,76.16,465.37
31.26,76.09,1006.66,63.91,430.36
18.51,58.46,1017.21,88.1,448.39
19.8,52.9,1017.75,66.67,456.64
11.0,40.23,1019.08,86.5,475.9
22.98,69.84,1005.55,84.1,437.49
13.69,40.83,1008.53,84.81,471.26
12.54,41.62,1010.86,83.42,461.08
20.38,62.52,1017.85,75.56,456.56
30.74,71.77,1006.24,53.38,434.89
