AT,V,AP,RH,PE
22.26,60.37,1008.14,92.37,441.33
10.5,52.72,1026.32,85.04,468.01
24.39,63.21,1012.59,80.88,446.4
21.94,57.5,1014.64,78.52,451.1
18.34,62.1,1020.52,78.6,453.01
33.82,72.29,1008.67,46.95,432.13
27.2,65.12,1016.2,44.95,442.54
19.66,58.79,1017.17,84.16,447.93
10.15,43.41,1018.4,82.07,473.43
13.82,41.62,1011.48,77.66,454.88
16.78,58.95,1017.74,96.24,450.02
31.92,75.33,1002.13,65.73,431.32
11.98,39.35,1014.97,98.05,472.43
23.99,45.87,1007.63,52.62,443.66
22.66,63.73,1013.24,83.95,444.41
18.31,46.21,1010.46,82.15,451.75
22.85,60.08,1018.05,67.12,452.5
20.98,47.43,1007.39,68.15,450.0
26.1,44.57,1007.47,55.15,446.49
24.73,69.05,1003.25,66.44,437.93
16.8,56.03,1020.65,85.26,461.96
33.76,68.51,1011.33,38.35,429.83
20.06,56.53,1020.38,75.16,455.99
11.56,41.62,1012.5,91.42,460.6
29.7,57.19,1008.41,55.07,436.29
27.06,77.17,1008.71,90.6,432.2
12.91,41.66,1013.37,71.52,469.71
17.88,46.97,1013.73,67.78,456.77
16.69,40.56,1019.92,51.43,469.9
20.52,43.79,1015.9,68.1,463.93
20.28,68.63,1012.42,70.31,454.36
24.8,72.24,-1011.58,83.61,435.25
12.04,40.78,1025.21,85.97,463.51
31.88,66.44,1009.25,64.06,427.83
17.76,42.42,1009.09,66.26,468.27
25.44,63.13,1011.74,77.83,441.91
10.4,45.01,1018.58,93.48,470.79
26.51,70.32,1010.3,57.4,431.82
7.8,43.65,1018.92,60.77,479.78
23.2,73.17,1012.0,89.92,438.64
6.14,38.5,1012.4,75.35,489.26
26.78,73.06,1007.99,90.47,433.25
6.67,39.37,1019.99,75.61,486.84
19.75,54.2,1011.43,83.5,448.89
9.15,39.61,1018.69,84.47,475.64
13.06,44.2,1018.95,85.68,469.02
27.18,64.79,1016.27,63.7,443.87
9.59,38.56,1017.52,61.89,481.05
15.01,43.56,1014.65,61.82,465.84
11.86,39.85,1013.0,66.92,478.29
18.01,54.9,1017.04,77.82,455.91
11.95,42.07,1018.52,84.73,467.91
10.09,41.01,1019.89,96.55,471.15
8.35,43.52,1022.78,97.34,479.31
25.31,60.75,1008.65,79.35,437.33
14.82,42.74,1028.04,69.81,466.34
7.77,35.77,1016.53,73.79,479.68
10.32,42.28,1008.82,75.66,481.09
22.3,50.78,1008.85,81.27,449.86
26.18,69.84,1005.13,72.89,431.69
29.93,69.48,1009.21,54.59,430.75
24.51,65.12,1016.18,62.39,447.46
28.74,71.14,1011.53,48.6,430.12
8.34,40.96,1023.28,89.45,483.92
6.25,39.48,1004.82,52.71,484.26
14.79,46.48,1007.46,92.4,462.55
4.96,45.87,1007.32,98.78,481.88
34.6,64.96,1003.3,34.32,427.65
26.23,59.14,1016.98,75.54,437.85
21.9,63.13,1011.54,81.83,447.4
30.34,75.08,1005.32,52.97,437.26
26.92,62.44,1011.09,70.8,437.99
19.65,51.3,1014.81,90.23,452.5
22.92,61.9,1013.27,78.32,446.08
24.4,41.1,1002.14,38.75,451.66
11.48,44.6,1018.29,90.76,470.39
11.73,40.64,1020.68,96.98,477.06
22.78,59.92,1011.28,88.78,440.87
22.04,59.14,1017.34,84.75,442.45
19.98,56.53,1020.22,73.53,454.89
20.74,58.2,1017.54,70.66,450.4
30.35,77.17,1009.55,63.62,432.75
15.81,54.3,1017.8,68.45,461.63
20.84,65.06,1016.88,71.93,445.74
13.85,48.92,1011.68,79.24,462.38
7.33,40.0,1018.96,80.76,478.16
30.3,73.67,1005.57,58.74,431.57
19.1,43.79,1016.02,77.34,462.28
27.3,65.12,1016.24,44.87,442.78
28.1,61.02,1011.28,59.05,437.5
29.29,72.58,1007.39,72.85,428.73
13.66,41.67,1013.43,80.56,469.17
10.27,52.75,1026.19,76.78,470.76
17.79,43.52,1020.65,68.29,458.57
11.34,41.54,1020.25,75.83,477.24
16.14,44.21,1020.36,80.59,461.03
18.56,42.28,1007.75,60.89,462.05
17.66,62.1,1019.49,86.3,452.03
9.78,40.03,1017.33,92.11,480.59
26.17,48.6,1002.59,61.41,439.86
11.01,37.5,1015.08,73.36,474.36
26.13,57.32,1012.27,45.78,441.6
18.34,44.63,-1000.76,89.27,455.22
23.62,68.63,-1013.18,50.57,447.3
12.58,43.67,1012.86,94.01,472.65
13.8,44.21,1022.93,83.37,468.97
25.86,59.92,1009.92,73.95,436.06
9.06,41.92,1029.9,90.88,473.37
12.0,41.17,1019.48,58.71,474.4
25.69,57.32,1012.34,44.18,441.43
19.47,43.43,1011.66,69.93,451.38
14.02,43.34,1016.06,85.8,466.38
25.34,69.48,1008.4,74.79,433.81
25.76,57.32,1011.93,43.61,440.26
6.53,42.85,1012.65,91.6,480.98
20.01,59.87,1019.0,84.12,448.39
11.68,40.55,1017.31,99.82,473.51
17.48,44.2,1018.89,61.51,457.15
19.73,49.69,1007.78,73.02,454.28
18.25,60.1,1009.72,90.15,456.25
