Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.79825348
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.542997428
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28.0,41.36856
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14.0,20.91870184
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,100.0,47.8151606
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,56.0,31.715896
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7.0,10.335934716
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7.0,13.089012384
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,100.0,44.20920112
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,14.0,20.72564856
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.69990824
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7.0,9.01145132
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14.0,26.310404159999997
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3.0,28.296095039999997
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.80163088
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,38.995383608
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3.0,17.22311048
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14.0,27.923778
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90.0,43.25082948
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90.0,48.79421652
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,28.0,27.77209328
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,28.0,25.72434956
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,14.0,42.21661548
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.69886903999999
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,31.25394708
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28.0,39.056057496
157.0,214.0,152.0,200.0,9.0,819.0,704.0,28.0,33.05347944
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0,11.36256448
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7.0,46.89815752
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28.0,29.15794004
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90.0,26.94472208
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28.0,44.27814872
116.0,173.0,0.0,192.0,0.0,909.8,891.9,3.0,6.280436883999999
355.0,19.0,97.0,145.0,13.13,967.0,871.0,28.0,44.02993736
158.4,0.0,194.9,219.7,11.0,897.7,712.9,28.0,8.536402356
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,14.0,33.35684888
424.0,22.0,132.0,168.0,8.92,822.0,750.0,56.0,74.3649114581204
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3.0,13.62404576
359.0,19.0,141.0,154.0,10.91,942.0,801.0,28.0,62.93536928
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28.0,26.859916531999996
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,3.0,15.52010476
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28.0,28.991086848
252.31,0.0,98.75,146.25,14.17,987.76,889.01,3.0,21.78054684
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,14.0,33.72916592
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28.0,40.93419012
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56.0,73.69808963999999
289.0,0.0,0.0,192.0,0.0,913.2,895.3,90.0,32.068218236
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7.0,11.957582268
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90.0,37.91428524
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,14.0,33.70158688
446.0,24.0,79.0,162.0,11.64,967.0,712.0,28.0,44.42293868
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.655112243999994
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28.0,32.401235144
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256000005
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.19944856
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0,44.0919902
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28.0,31.35047372
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90.0,34.6806428
233.81,0.0,94.58,197.89,4.567,947.04,852.16,28.0,22.83544512
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,23.51802636
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28.0,27.681082448
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56.0,33.963587759999996
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100.0,56.63355864
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3.0,15.43736764
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90.0,39.70002808
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.69717028
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90.0,21.94602108
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56.0,51.03501352
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90.0,29.39236188
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7.0,16.889404096
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14.0,18.12632404
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56.0,39.14844728
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.45930106
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28.0,23.69039536
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56.0,36.63875464
153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28.0,25.559564796
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28.0,26.91369566
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14.0,21.60128308
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28.0,30.881630039999997
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3.0,10.0318758
155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28.0,12.45883132
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28.0,37.265488324
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3.0,40.59634688
250.0,0.0,95.69,187.42,5.53,956.86,861.17,28.0,29.21999288
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28.0,22.629981272
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180.0,34.48758952
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28.0,44.6090972
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28.0,31.38150014
393.0,0.0,0.0,192.0,0.0,940.6,785.6,3.0,19.199148696
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.076402024
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28.0,37.25928304
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28.0,37.81086384
250.0,0.0,95.69,191.84,5.33,948.9,857.2,28.0,27.22051248
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,56.0,44.14025352
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7.0,20.27748916
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7.0,14.79615496
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,56.0,34.20490436
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7.0,54.09628696
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90.0,69.65776027999999
295.71,0.0,95.64,171.54,8.87,955.14,859.2,28.0,39.94134468
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7.0,24.437787344
222.36,0.0,96.67,189.29,4.46,967.08,870.32,14.0,24.44881896
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28.0,23.524231644
285.0,190.0,0.0,163.0,7.6,1031.0,685.0,28.0,53.57917996
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28.0,18.0297974
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,3.0,13.18278112
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14.0,17.8229546
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7.0,25.893960655999997
424.0,22.0,132.0,168.0,8.92,822.0,750.0,7.0,40.28509771527068
277.05,0.0,97.39,160.6,11.83,973.9,875.61,28.0,48.28400428
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14.0,33.08795324
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28.0,26.22766704
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100.0,40.56876784
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.80073164
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56.0,50.77301264
