number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,range_atomic_radius,wtd_mean_ThermalConductivity,critical_temp
4.0,60.6964508,1067.4,110.25,3993.28125,161.0,5.1705,104.26357,2.0,164.0,59.4677575342466,19.0
7.0,98.3274,721.657142857143,162.571428571429,5447.48985714286,64.0,7.71742857142857,105.146654285714,2.71428571428571,185.0,144.675225714286,30.0
7.0,73.4044428571429,768.414285714286,165.571428571429,3830.347,71.0,21.8374285714286,114.86094,2.42857142857143,205.0,96.1220046153846,78.0
2.0,112.565,755.85,157.0,9666.5,82.0,11.85,69.0,4.0,24.0,68.3333333333333,3.34
4.0,76.4445625,794.0,164.5,4235.85725,77.0,8.1805,108.756645,2.25,205.0,99.4583673015873,92.0
5.0,83.24476,779.88,149.8,4584.2858,73.0,8.1524,128.605316,2.6,171.0,72.414176,55.0
5.0,62.00128064,1045.98,113.2,4122.825,124.0,9.8164,29.210856,2.8,164.0,36.5066758,50.1
5.0,74.23165,816.36,160.0,4816.6858,62.0,8.0144,111.005316,2.2,205.0,98.0250521568628,62.0
4.0,77.92408,898.1,136.0,5599.35725,73.0,14.6805,36.256645,3.25,178.0,37.668205974026,49.1
2.0,155.4635,788.15,162.5,14935.0,131.0,16.5,108.5,5.0,35.0,94.6666666666667,0.78
2.0,85.93319,802.0,150.5,6694.5,142.0,16.1,27.26,5.5,95.0,18.3466666666667,2.2
3.0,72.8169566666667,866.4,129.333333333333,5035.80966666667,104.0,6.54066666666667,137.675526666667,2.33333333333333,147.0,60.1338704318374,45.2
5.0,92.94072,749.0,176.6,5032.4858,72.0,8.7044,89.205316,2.4,205.0,96.3620046153846,92.01
3.0,57.9677666666667,706.0,167.333333333333,4516.33333333333,88.0,7.17666666666667,59.84,3.33333333333333,140.0,48.2699115044248,32.0
5.0,79.171174,738.22,167.0,4033.4858,66.0,7.2324,126.205316,2.2,205.0,110.091235384615,47.0
2.0,86.35075,741.7,152.0,6403.5,78.0,21.25,27.5,5.0,38.0,30.93,3.76
5.0,74.23165,816.36,160.0,4816.6858,62.0,8.0144,111.005316,2.2,205.0,91.5527738461539,46.0
5.0,75.10025,750.94,158.8,4569.4858,68.0,7.6624,92.805316,2.4,205.0,92.1181584615385,75.0
6.0,118.889283333333,706.083333333333,169.666666666667,6042.40483333333,67.0,6.72033333333333,81.50443,2.66666666666667,205.0,56.73370125,25.5
6.0,97.8276833333333,902.333333333333,134.0,6454.23816666667,77.0,22.2303333333333,103.05443,2.66666666666667,171.0,61.5142111111111,68.0
4.0,62.3400905,816.375,146.75,4513.5,44.0,12.535,41.059,3.75,121.0,52.62832,25.0
5.0,55.36819,808.2,136.8,6024.6,77.0,40.06,69.2,3.2,145.0,64.8333333333333,14.0
3.0,86.2991,686.033333333333,161.333333333333,6681.66666666667,68.0,28.6666666666667,81.6666666666667,3.33333333333333,106.0,101.9,5.6
2.0,53.3855,742.5,138.5,6370.0,51.0,43.0,83.0,4.5,103.0,59.0,8.1
