Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.185149411999994
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0,23.52492112
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,41.542307951999994
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3.0,11.483912255999998
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,13.71367764
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7.0,25.460969728
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28.0,44.13335876
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91.0,64.90037588
250.0,0.0,95.69,191.84,5.33,948.9,857.2,14.0,24.65566176
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28.0,32.39847724
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3.0,61.23581094
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28.0,26.859916531999996
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7.0,38.01770664
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28.0,25.17966352
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90.0,29.39236188
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
153.1,145.0,113.0,178.5,8.0,867.2,824.0,28.0,26.233182848
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28.0,25.726417988
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28.0,16.503987012
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,28.0,32.66047812
202.0,11.0,141.0,206.0,1.72,942.0,801.0,7.0,15.069975430541358
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56.0,30.12320644
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,100.0,34.39795764
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28.0,40.93419012
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270.0,69.65776027999999
325.6,166.4,0.0,174.0,8.9,881.6,790.0,28.0,28.23748958
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28.0,17.54026944
295.71,0.0,95.64,171.54,8.87,955.14,859.2,28.0,53.524711356
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14.0,21.859147104
275.0,180.0,120.0,162.0,10.35,830.0,765.0,28.0,76.23536132
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3.0,36.3009114
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28.0,4.9035533120000006
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28.0,32.626693796000005
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7.0,18.12632404
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7.0,12.05204048
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28.0,52.20022796
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,28.0,41.40992856
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28.0,33.399596392
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,100.0,46.24315532
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7.0,37.43165204
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28.0,38.215586251999994
312.7,144.7,0.0,127.3,8.0,999.7,822.2,28.0,44.523602176
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3.0,15.87173752
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7.0,30.275580636
