number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,range_atomic_radius,wtd_mean_ThermalConductivity,critical_temp
3.0,85.1641,697.7,155.333333333333,4988.66666666667,75.3333333333333,37.1766666666667,95.3333333333333,2.66666666666667,176.0,112.153846153846,2.7
4.0,90.1422625,781.2,156.25,5572.60725,91.35,6.4305,106.006645,3.0,199.0,60.8394742857143,13.0
4.0,103.0839,684.825,182.25,6030.25,40.9125,14.15,41.0,3.25,139.0,55.174,9.92
3.0,121.095166666667,731.4,157.666666666667,10156.3333333333,131.133333333333,25.2333333333333,77.3333333333333,4.66666666666667,74.0,74.8,0.75
5.0,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,205.0,93.9543892307692,62.0
6.0,82.3181122,1029.41666666667,103.0,3784.6875,168.7,4.13533333333333,3.62988,3.83333333333333,153.0,4.350428,3.78
5.0,55.36819,808.2,136.8,6024.6,76.68,40.06,69.2,3.2,145.0,63.5,33.3
5.0,61.357238,897.46,142.2,3388.70378,76.65,6.656,87.041416,2.0,205.0,95.8104357798165,88.0
4.0,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,171.0,61.2180457142857,3.12
3.0,73.4242666666667,700.766666666667,174.666666666667,4741.66666666667,87.3666666666667,7.13,45.84,3.33333333333333,162.0,42.8,11.5
3.0,72.0781333333333,702.7,178.333333333333,5044.33333333333,48.3666666666667,14.5633333333333,62.3333333333333,3.0,151.0,63.2,2.6
2.0,200.5987,785.5,161.5,16170.0,122.6,18.45,79.0,5.5,37.0,55.3333333333333,1.7
4.0,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,205.0,96.8754798840356,76.0
2.0,92.06519,661.65,202.0,7540.5,65.1,23.9,38.5,4.5,8.0,47.8,10.9
2.0,155.8922845,723.65,165.0,13305.0,127.35,7.88,201.0,4.0,18.0,298.58,0.0423
3.0,71.9493062,641.866666666667,168.666666666667,7183.33333333333,68.3333333333333,24.5,142.666666666667,4.66666666666667,80.0,102.4375,15.5
2.0,82.70625,644.25,182.0,2920.0,75.275,29.1,84.0,3.0,142.0,130.444444444444,8.4
5.0,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,171.0,71.55077,93.0
