frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
1250.0,3.3,0.1016,31.7,0.00251435,134.022
400.0,2.0,0.2286,71.3,0.00293031,125.116
400.0,9.9,0.1524,31.7,0.0252785,128.939
2500.0,7.3,0.2286,55.5,0.0111706,118.994
1250.0,12.7,0.0254,39.6,0.0130253,129.148
1250.0,0.0,0.1524,71.3,0.0015988,128.576
200.0,11.2,0.0508,71.3,0.014072,115.372
2000.0,9.5,0.0254,39.6,0.00449821,131.274
2000.0,7.3,0.2286,55.5,0.0111706,119.111
5000.0,5.3,0.2286,39.6,0.00614329,115.311
3150.0,17.4,0.0254,31.7,0.0176631,123.466
1600.0,8.9,0.1016,71.3,0.0103088,125.647
6300.0,0.0,0.1016,31.7,0.00150092,120.354
4000.0,0.0,0.0254,71.3,0.000400682,138.557
1600.0,4.0,0.3048,71.3,0.00497773,126.645
1250.0,7.3,0.2286,71.3,0.0104404,127.358
8000.0,4.2,0.0508,71.3,0.00142788,128.867
3150.0,0.0,0.2286,39.6,0.00253511,120.189
1250.0,2.7,0.1524,39.6,0.00294804,113.229
1250.0,9.5,0.0254,39.6,0.00449821,130.964
1600.0,6.7,0.1016,55.5,0.0052139,128.927
1250.0,2.0,0.2286,31.7,0.00372371,128.677
1600.0,9.5,0.0254,55.5,0.0043284,133.062
1000.0,0.0,0.1524,55.5,0.00172668,128.583
2000.0,0.0,0.0254,55.5,0.00041229,127.623
2500.0,12.7,0.0254,71.3,0.0121808,134.058
6300.0,12.7,0.0254,71.3,0.0121808,125.398
6300.0,9.9,0.1524,39.6,0.0233328,109.885
1250.0,22.2,0.0254,71.3,0.0214178,140.987
8000.0,4.8,0.0254,71.3,0.000848633,121.315
5000.0,0.0,0.3048,55.5,0.00283081,119.606
3150.0,2.7,0.1524,71.3,0.00243851,127.054
400.0,12.3,0.1016,55.5,0.0368233,136.414
6300.0,4.8,0.0254,55.5,0.000873218,135.164
1000.0,8.4,0.0508,31.7,0.00580776,129.516
1000.0,3.3,0.1016,71.3,0.00202822,131.434
250.0,9.5,0.0254,31.7,0.00461377,120.136
2500.0,6.7,0.1016,71.3,0.00478288,131.458
5000.0,4.0,0.2286,39.6,0.00473801,117.649
3150.0,19.7,0.0508,71.3,0.0341183,116.225
1250.0,0.0,0.0508,39.6,0.000791822,132.039
8000.0,3.0,0.3048,71.3,0.00425727,114.634
2000.0,19.7,0.0508,39.6,0.036484,117.724
400.0,7.2,0.1524,71.3,0.00752039,125.268
4000.0,0.0,0.0508,55.5,0.00076193,134.946
1000.0,4.2,0.0508,39.6,0.00152689,130.777
400.0,5.4,0.1524,55.5,0.00433288,126.807
2500.0,0.0,0.3048,39.6,0.00310138,121.399
630.0,8.4,0.0508,55.5,0.00544854,126.152
1600.0,9.9,0.1524,55.5,0.0208438,131.074
16000.0,0.0,0.3048,71.3,0.00266337,108.721
3150.0,8.4,0.0508,71.3,0.00529514,124.253
1000.0,11.2,0.0508,71.3,0.014072,120.573
1600.0,0.0,0.0508,55.5,0.00076193,122.229
1250.0,9.9,0.1524,31.7,0.0252785,118.619
2000.0,5.3,0.2286,39.6,0.00614329,117.911
10000.0,0.0,0.1016,55.5,0.00131983,121.93
4000.0,15.4,0.0508,71.3,0.0264269,122.675
400.0,2.0,0.2286,39.6,0.00346574,122.147
3150.0,7.3,0.2286,31.7,0.0132672,113.334
1250.0,3.3,0.1016,55.5,0.002211,132.769
20000.0,0.0,0.0254,55.5,0.00041229,121.933
1000.0,15.4,0.0508,55.5,0.0271925,130.4
2500.0,0.0,0.1016,55.5,0.00131983,133.04
1250.0,0.0,0.1016,31.7,0.00150092,133.063
2000.0,3.3,0.1016,31.7,0.00251435,131.642
2500.0,12.7,0.0254,39.6,0.0130253,129.027
12500.0,0.0,0.0254,39.6,0.000428464,136.941
3150.0,3.0,0.3048,55.5,0.00452492,129.116
3150.0,0.0,0.1016,55.5,0.00131983,131.78
500.0,0.0,0.2286,55.5,0.00229336,123.78
400.0,9.9,0.1524,71.3,0.0193001,135.079
2000.0,17.4,0.0254,55.5,0.0165706,125.941
6300.0,12.3,0.1016,31.7,0.0418756,107.267
800.0,6.7,0.1016,55.5,0.0052139,135.953
2500.0,4.8,0.0254,55.5,0.000873218,129.144
500.0,15.4,0.0508,31.7,0.0289853,123.695
800.0,15.4,0.0508,71.3,0.0264269,131.515
1250.0,0.0,0.2286,71.3,0.00214345,128.144
500.0,0.0,0.1524,55.5,0.00172668,131.518
400.0,7.3,0.2286,39.6,0.0123481,131.865
630.0,7.3,0.2286,71.3,0.0104404,133.768
1600.0,22.2,0.0254,71.3,0.0214178,131.817
400.0,12.3,0.1016,31.7,0.0418756,123.207
3150.0,4.8,0.0254,39.6,0.000907475,133.436
1600.0,4.8,0.0254,55.5,0.000873218,121.474
630.0,12.7,0.0254,39.6,0.0130253,133.653
4000.0,4.8,0.0254,39.6,0.000907475,125.261
10000.0,0.0,0.1016,39.6,0.00146332,119.561
800.0,2.0,0.2286,39.6,0.00346574,129.037
800.0,3.3,0.1016,71.3,0.00202822,119.875
630.0,12.3,0.1016,39.6,0.0408268,128.763
6300.0,0.0,0.0254,39.6,0.000428464,136.826
500.0,9.5,0.0254,55.5,0.0043284,123.082
1600.0,7.3,0.2286,31.7,0.0132672,119.039
5000.0,4.2,0.0508,71.3,0.00142788,132.828
250.0,22.2,0.0254,39.6,0.0229028,117.386
315.0,9.9,0.1524,55.5,0.0208438,132.355
400.0,5.3,0.2286,71.3,0.0051942,131.966
4000.0,0.0,0.0254,39.6,0.000428464,135.346
2000.0,6.7,0.1016,39.6,0.00578076,122.235
5000.0,9.5,0.0254,55.5,0.0043284,128.412
315.0,7.3,0.2286,39.6,0.0123481,132.149
2000.0,9.9,0.1524,39.6,0.0233328,117.925
6300.0,2.0,0.2286,55.5,0.00313525,118.712
1000.0,5.3,0.2286,71.3,0.0051942,134.0
1000.0,15.4,0.0508,71.3,0.0264269,124.625
8000.0,1.5,0.3048,71.3,0.00336729,127.7
5000.0,4.8,0.0254,31.7,0.000930789,135.248
200.0,12.3,0.1016,39.6,0.0408268,128.545
315.0,4.0,0.2286,39.6,0.00473801,130.123
5000.0,22.2,0.0254,39.6,0.0229028,130.829
1600.0,4.0,0.3048,39.6,0.00579636,123.213
3150.0,1.5,0.3048,39.6,0.00392107,134.996
630.0,5.4,0.1524,31.7,0.00525474,131.471
2000.0,22.2,0.0254,71.3,0.0214178,127.197
8000.0,0.0,0.3048,55.5,0.00283081,116.476
400.0,3.0,0.3048,55.5,0.00452492,126.159
8000.0,0.0,0.1016,71.3,0.00121072,125.465
3150.0,12.6,0.1524,71.3,0.0483159,118.816
