frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
1600.0,4.0,0.3048,71.3,0.00497773,126.645
8000.0,4.8,0.0254,31.7,0.000930789,127.008
10000.0,2.7,0.1524,39.6,0.00294804,112.589
250.0,15.4,0.0508,55.5,0.0271925,124.17
16000.0,0.0,0.0254,55.5,0.00041229,125.683
2000.0,15.6,0.1016,71.3,0.0437259,119.888
630.0,8.9,0.1016,39.6,0.0124596,131.92
3150.0,0.0,0.0254,39.6,0.000428464,133.276
1250.0,15.6,0.1016,71.3,0.0437259,123.178
12500.0,0.0,0.0254,39.6,0.000428464,129.116
6300.0,12.6,0.1524,39.6,0.0584113,103.38
200.0,12.3,0.1016,39.6,0.0408268,128.545
2500.0,0.0,0.0254,39.6,0.000428464,131.836
630.0,15.6,0.1016,71.3,0.0437259,122.288
1000.0,0.0,0.1016,55.5,0.00131983,129.8
8000.0,0.0,0.1016,39.6,0.00146332,122.341
8000.0,3.0,0.3048,39.6,0.00495741,110.652
2000.0,15.4,0.0508,55.5,0.0271925,127.04
800.0,9.5,0.0254,31.7,0.00461377,130.746
2500.0,4.0,0.3048,39.6,0.00579636,120.233
6300.0,0.0,0.0254,71.3,0.000400682,134.987
2500.0,3.0,0.3048,55.5,0.00452492,122.439
4000.0,4.0,0.2286,71.3,0.00400603,121.728
800.0,0.0,0.2286,39.6,0.00253511,130.205
6300.0,7.2,0.1524,71.3,0.00752039,116.603
800.0,0.0,0.3048,39.6,0.00310138,129.099
6300.0,3.0,0.3048,39.6,0.00495741,114.042
1600.0,2.0,0.2286,31.7,0.00372371,125.797
8000.0,2.7,0.1524,71.3,0.00243851,120.534
2500.0,22.2,0.0254,71.3,0.0214178,126.097
1600.0,0.0,0.0508,31.7,0.000812164,131.01
2000.0,15.4,0.0508,71.3,0.0264269,129.285
800.0,12.3,0.1016,31.7,0.0418756,120.037
315.0,9.9,0.1524,71.3,0.0193001,135.459
10000.0,0.0,0.1016,31.7,0.00150092,115.893
1000.0,15.6,0.1016,39.6,0.0528487,119.224
400.0,2.0,0.2286,55.5,0.00313525,122.292
1600.0,5.4,0.1524,31.7,0.00525474,123.761
2500.0,7.2,0.1524,71.3,0.00752039,124.353
315.0,3.0,0.3048,31.7,0.00529514,123.118
1000.0,22.2,0.0254,39.6,0.0229028,128.416
5000.0,4.2,0.0508,39.6,0.00152689,129.777
1000.0,12.7,0.0254,39.6,0.0130253,130.947
2500.0,0.0,0.1016,39.6,0.00146332,132.611
2000.0,12.6,0.1524,71.3,0.0483159,117.504
5000.0,9.9,0.1524,71.3,0.0193001,114.569
200.0,12.3,0.1016,55.5,0.0368233,132.304
