frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
400.0,0.0,0.2286,55.5,0.00229336,121.66
800.0,3.0,0.3048,31.7,0.00529514,128.708
1000.0,12.6,0.1524,39.6,0.0584113,114.67
4000.0,0.0,0.0254,55.5,0.00041229,133.223
4000.0,4.8,0.0254,31.7,0.000930789,135.328
5000.0,9.9,0.1524,31.7,0.0252785,109.949
4000.0,2.7,0.1524,39.6,0.00294804,121.889
10000.0,0.0,0.1016,55.5,0.00131983,121.93
2000.0,8.9,0.1016,39.6,0.0124596,119.04
3150.0,8.9,0.1016,39.6,0.0124596,119.35
16000.0,1.5,0.3048,71.3,0.00336729,106.582
2500.0,0.0,0.1016,55.5,0.00131983,133.04
500.0,11.2,0.0508,39.6,0.0150478,131.96
250.0,15.6,0.1016,71.3,0.0437259,132.158
6300.0,0.0,0.0508,71.3,0.000740478,133.04
6300.0,0.0,0.0508,39.6,0.000791822,131.918
8000.0,0.0,0.3048,31.7,0.00331266,110.515
2000.0,11.2,0.0508,71.3,0.014072,133.311
1250.0,9.9,0.1524,71.3,0.0193001,122.679
5000.0,0.0,0.1016,71.3,0.00121072,130.795
4000.0,3.0,0.3048,55.5,0.00452492,118.689
800.0,0.0,0.1524,31.7,0.00209405,129.117
1250.0,4.8,0.0254,39.6,0.000907475,125.026
3150.0,12.6,0.1524,71.3,0.0483159,113.334
200.0,7.3,0.2286,31.7,0.0132672,128.679
3150.0,7.2,0.1524,39.6,0.00909175,111.818
315.0,17.4,0.0254,31.7,0.0176631,118.416
250.0,11.2,0.0508,39.6,0.0150478,126.43
1250.0,3.3,0.1016,55.5,0.002211,132.769
2500.0,0.0,0.1524,55.5,0.00172668,127.763
2500.0,7.3,0.2286,55.5,0.0111706,118.994
630.0,4.8,0.0254,39.6,0.000907475,118.696
3150.0,17.4,0.0254,39.6,0.0172206,123.564
1000.0,2.0,0.2286,55.5,0.00313525,129.002
500.0,5.3,0.2286,39.6,0.00614329,132.251
5000.0,3.0,0.3048,31.7,0.00529514,113.858
3150.0,3.0,0.3048,39.6,0.00495741,118.922
5000.0,4.2,0.0508,71.3,0.00142788,132.828
315.0,2.0,0.2286,31.7,0.00372371,120.147
800.0,9.9,0.1524,71.3,0.0193001,128.879
315.0,22.2,0.0254,39.6,0.0229028,120.716
12500.0,4.0,0.3048,71.3,0.00497773,107.405
8000.0,0.0,0.2286,71.3,0.00214345,118.024
1250.0,7.2,0.1524,39.6,0.00909175,122.428
315.0,9.9,0.1524,71.3,0.0193001,135.459
2000.0,0.0,0.0508,55.5,0.00076193,131.456
1250.0,0.0,0.0508,71.3,0.000740478,128.56
3150.0,2.7,0.1524,71.3,0.00243851,127.054
800.0,0.0,0.3048,39.6,0.00310138,129.099
6300.0,3.0,0.3048,71.3,0.00425727,116.134
1000.0,4.0,0.3048,39.6,0.00579636,128.723
400.0,9.9,0.1524,71.3,0.0193001,135.079
315.0,9.9,0.1524,31.7,0.0252785,128.809
1000.0,5.3,0.2286,39.6,0.00614329,125.581
400.0,15.6,0.1016,71.3,0.0437259,134.058
2500.0,5.4,0.1524,55.5,0.00433288,124.077
630.0,6.7,0.1016,71.3,0.00478288,131.448
1600.0,4.8,0.0254,31.7,0.000930789,128.718
6300.0,0.0,0.1524,55.5,0.00172668,123.303
4000.0,7.3,0.2286,55.5,0.0111706,117.284
5000.0,4.8,0.0254,71.3,0.000848633,135.468
500.0,11.2,0.0508,71.3,0.014072,130.311
3150.0,4.0,0.3048,71.3,0.00497773,121.775
6300.0,4.0,0.3048,71.3,0.00497773,116.165
2000.0,15.6,0.1016,39.6,0.0528487,110.894
10000.0,0.0,0.0254,31.7,0.000439472,134.227
5000.0,7.3,0.2286,55.5,0.0111706,113.144
800.0,8.9,0.1016,39.6,0.0124596,130.94
5000.0,0.0,0.1016,55.5,0.00131983,128.36
4000.0,19.7,0.0508,39.6,0.036484,108.684
630.0,5.4,0.1524,31.7,0.00525474,131.471
2000.0,6.7,0.1016,55.5,0.0052139,129.653
2500.0,9.5,0.0254,31.7,0.00461377,130.086
200.0,12.3,0.1016,55.5,0.0368233,132.304
3150.0,4.2,0.0508,71.3,0.00142788,133.728
2500.0,2.0,0.2286,55.5,0.00313525,123.862
6300.0,12.7,0.0254,71.3,0.0121808,125.398
3150.0,6.7,0.1016,71.3,0.00478288,124.458
400.0,5.4,0.1524,39.6,0.00485029,127.637
5000.0,0.0,0.3048,55.5,0.00283081,119.606
800.0,0.0,0.1524,71.3,0.0015988,125.817
400.0,11.2,0.0508,39.6,0.0150478,130.67
2000.0,6.7,0.1016,31.7,0.00592927,120.446
3150.0,12.3,0.1016,55.5,0.0368233,116.914
500.0,15.4,0.0508,39.6,0.0282593,125.963
4000.0,0.0,0.0254,39.6,0.000428464,135.346
1000.0,6.7,0.1016,39.6,0.00578076,134.515
1250.0,0.0,0.1016,31.7,0.00150092,133.063
1250.0,4.0,0.2286,71.3,0.00400603,131.718
800.0,2.7,0.1524,39.6,0.00294804,128.829
5000.0,9.5,0.0254,55.5,0.0043284,128.412
500.0,4.0,0.2286,55.5,0.0042862,127.314
3150.0,4.0,0.3048,39.6,0.00579636,118.743
2500.0,15.4,0.0508,71.3,0.0264269,127.625
1600.0,8.9,0.1016,39.6,0.0124596,123.82
1250.0,12.6,0.1524,71.3,0.0483159,120.154
8000.0,3.3,0.1016,39.6,0.00245138,118.091
2000.0,2.0,0.2286,39.6,0.00346574,122.797
4000.0,0.0,0.1524,31.7,0.00209405,123.807
1600.0,0.0,0.2286,71.3,0.00214345,129.134
250.0,12.7,0.0254,71.3,0.0121808,119.698
800.0,5.3,0.2286,71.3,0.0051942,133.48
2500.0,1.5,0.3048,39.6,0.00392107,120.981
3150.0,3.3,0.1016,71.3,0.00202822,132.114
400.0,4.0,0.2286,39.6,0.00473801,123.879
16000.0,0.0,0.0254,55.5,0.00041229,125.683
1000.0,2.0,0.2286,71.3,0.00293031,128.956
500.0,17.4,0.0254,39.6,0.0172206,117.514
2500.0,17.4,0.0254,31.7,0.0176631,124.166
5000.0,12.6,0.1524,39.6,0.0584113,104.13
800.0,7.2,0.1524,71.3,0.00752039,136.023
400.0,12.6,0.1524,39.6,0.0584113,115.91
315.0,19.7,0.0508,39.6,0.036484,129.864
1600.0,2.0,0.2286,71.3,0.00293031,127.796
2500.0,0.0,0.2286,71.3,0.00214345,128.354
1600.0,6.7,0.1016,31.7,0.00592927,124.346
4000.0,9.9,0.1524,71.3,0.0193001,115.079
2500.0,0.0,0.3048,55.5,0.00283081,124.106
2000.0,0.0,0.3048,31.7,0.00331266,122.375
2000.0,3.0,0.3048,71.3,0.00425727,125.524
