AT,V,AP,RH,PE
28.02,63.9,1013.96,46.2,444.42
18.21,49.69,1013.54,80.16,454.25
299.95,58.84,1001.2,65.03,445.76
20.67,63.56,1013.27,79.39,450.7
12.28,41.49,1019.73,94.79,467.44
30.3,73.9,1006.72,55.13,440.79
12.11,41.17,1019.46,62.59,475.53
6.93,43.13,1018.61,88.31,486.94
8.68,43.14,1011.94,79.06,480.73
26.65,66.48,1005.7,65.09,436.65
290.84999999999997,49.21,1015.16,67.91,455.97
297.15999999999997,42.48,1011.39,55.1,453.12
31.58,66.54,1003.26,54.0,429.73
20.94,68.12,1012.43,78.2,446.41
299.96999999999997,69.05,1004.62,40.0,437.42
16.31,42.28,1007.45,77.77,466.49
27.13,69.45,1013.9,51.16,434.47
24.35,73.17,1012.2,85.88,435.66
6.8,41.16,1023.17,95.4,477.8
280.87,41.14,1025.11,96.75,478.34
299.81,73.56,1006.9,99.27,433.62
281.09999999999997,40.72,1023.7,84.19,486.14
14.07,42.99,1007.57,96.05,468.87
13.93,42.86,1032.37,71.11,468.88
13.77,43.13,1016.63,62.13,468.45
11.68,40.23,1018.49,83.43,475.47
10.67,40.23,1017.75,85.06,483.9
24.97,58.95,1017.19,56.24,440.03
24.78,66.49,1010.55,68.12,436.62
282.98999999999995,40.22,1009.5,85.38,479.65
31.54,67.32,1013.79,36.99,433.02
21.13,47.43,1006.97,64.26,448.83
9.5,37.36,1015.13,63.41,478.8
14.1,44.84,1025.09,79.42,468.22
27.07,74.87,1010.09,58.97,440.47
26.26,73.06,1009.35,91.65,435.41
32.22,70.8,1009.9,62.03,433.07
285.47999999999996,38.91,1017.24,79.84,472.49
298.65999999999997,73.56,1006.59,96.63,437.07
14.5,40.66,1016.81,82.93,463.53
33.45,73.88,1006.23,44.14,435.48
26.53,69.71,1009.88,76.26,446.17
14.29,39.59,1010.93,94.53,463.04
13.72,44.47,1027.2,68.89,470.66
24.66,63.73,1011.4,74.52,444.37
29.17,74.34,1004.51,82.02,433.03
24.34,50.16,1004.78,74.0,445.33
7.65,36.3,1016.5,65.51,482.56
21.49,68.28,1004.68,80.64,438.0
280.56,39.16,1015.23,90.66,486.91
20.94,49.02,1008.91,87.32,448.18
24.39,71.85,1009.73,72.24,438.2
277.06,35.47,1016.92,86.03,488.67
13.36,39.64,1010.3,93.26,471.89
14.34,42.86,1031.75,66.81,466.17
291.51,62.1,1019.9,79.09,453.5
7.5,38.06,1021.96,83.45,485.98
286.64,44.63,1019.12,70.02,471.08
22.99,46.21,1010.71,60.11,444.36
26.34,69.04,1009.44,72.06,444.13
25.57,66.54,1005.22,83.48,430.92
22.62,51.3,1012.36,81.02,448.27
293.84,50.78,1008.71,91.95,447.58
300.15999999999997,43.77,1011.18,46.58,440.64
29.73,73.06,1010.27,84.84,432.73
12.81,44.34,1015.55,90.37,474.03
27.43,64.96,999.72,67.94,431.21
26.42,59.54,1007.02,76.28,438.5
18.5,47.45,1009.23,83.21,450.22
297.15999999999997,63.56,1014.19,64.31,444.1
10.72,39.35,1015.35,86.43,480.18
295.08,57.17,1009.81,81.15,448.75
25.96,60.32,1016.17,55.51,443.44
21.32,49.02,1008.81,85.81,445.65
20.83,44.78,1008.51,35.9,460.6
7.53,43.65,1018.58,64.85,479.15
32.15,69.98,1013.3,55.13,429.86
18.16,39.99,1008.13,68.5,461.16
12.91,42.07,1018.4,86.5,466.05
23.1,60.08,1017.69,65.44,451.01
17.76,42.42,1009.09,66.26,468.27
8.6,42.28,1008.58,80.15,484.21
21.01,50.9,1012.24,70.82,453.99
29.01,66.44,1011.21,71.56,430.61
8.66,41.01,1022.51,98.55,472.16
280.95,43.65,1018.92,60.77,479.78
11.72,40.55,1021.54,85.13,470.8
8.01,40.02,1031.33,85.01,477.84
10.48,39.58,1011.81,88.86,472.61
6.76,39.22,1013.91,77.0,487.08
22.93,63.13,1011.6,77.09,448.02
6.5,38.5,1013.92,90.1,486.78
293.08,57.25,1010.6,89.34,455.15
16.2,45.76,1014.73,89.84,460.87
25.42,73.21,1001.91,93.78,432.04
299.09999999999997,63.47,1011.77,66.22,445.5
28.61,68.12,1011.71,47.57,432.94
32.92,69.05,1000.74,39.61,426.61
22.53,58.62,1016.28,72.78,449.02
20.96,61.27,1019.99,67.32,448.77
7.98,39.61,1018.57,77.04,479.78
27.7,72.24,1011.02,67.6,434.56
299.96,56.57,1013.68,61.6,442.94
299.4,52.09,1013.2,53.12,450.53
26.45,47.43,1008.87,53.25,442.12
8.25,43.14,1011.3,87.1,479.95
22.69,49.21,1012.64,46.83,449.01
20.74,58.12,1015.43,77.88,449.91
10.6,41.46,1021.23,89.02,481.3
29.65,71.25,1001.07,73.97,430.88
13.03,42.86,1014.39,86.25,475.03
25.35,72.99,1007.65,84.09,436.29
27.09,59.15,1013.02,55.18,438.9
6.97,41.26,1010.6,96.88,484.71
27.99,69.89,1013.94,51.25,435.79
24.54,44.89,1010.05,59.13,445.11
306.94,69.05,1001.62,40.13,435.1
17.53,50.66,1012.74,91.51,457.28
24.55,67.07,1005.66,63.58,443.39
14.42,44.88,1019.35,59.17,462.72
