number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,range_atomic_radius,wtd_mean_ThermalConductivity,critical_temp
3.0,66.7781066666667,926.133333333333,140.0,6864.3633,72.3666666666667,14.686,41.7268333333333,3.33333333333333,145.0,43.8965447761194,1.64
2.0,156.936135,527.05,206.0,7993.5,50.5,14.15,14.5,3.0,22.0,14.35,2.2
3.0,88.4194706666667,761.633333333333,158.333333333333,9291.66666666667,102.4,30.7333333333333,105.333333333333,4.33333333333333,73.0,114.736842105263,8.5
5.0,72.383174,781.46,152.6,5122.2858,67.126,8.2844,105.405316,2.4,171.0,58.84376,30.5
3.0,92.4328333333333,627.7,185.0,7975.66666666667,20.9,22.3333333333333,25.3333333333333,4.33333333333333,37.0,28.3,9.19
6.0,54.702375,801.816666666667,150.833333333333,3262.23816666667,84.2333333333333,7.16533333333333,108.705263333333,2.83333333333333,171.0,94.63932,34.9
9.0,56.5143488888889,955.966666666667,118.555555555556,3591.41887777778,67.2444444444444,17.1144444444444,100.359212222222,2.55555555555556,171.0,160.84230001641,87.1
3.0,99.524825,751.466666666667,167.0,11486.0,70.4,23.1333333333333,82.6666666666667,3.66666666666667,51.0,69.8333333333333,0.91
7.0,108.047035985714,712.871428571429,171.571428571429,5162.91842857143,64.1571428571429,6.80314285714286,102.003797142857,2.57142857142857,250.0,157.284234545455,108.5
3.0,41.3906666666667,707.866666666667,141.0,5006.0,48.1666666666667,23.2333333333333,61.0,2.66666666666667,82.0,68.3333333333333,7.61
3.0,97.0597273333333,780.9,163.333333333333,11049.3333333333,30.3,25.65,125.666666666667,5.0,78.0,185.013043478261,8.6
3.0,127.373333333333,780.133333333333,149.0,8813.0,102.166666666667,15.39,58.1733333333333,5.33333333333333,87.0,58.2106666666667,4.0
3.0,100.997266666667,732.266666666667,164.666666666667,7360.33333333333,108.8,19.91,51.735,5.0,130.0,56.776,2.2
4.0,113.9455025,653.125,176.0,8497.75,58.5,28.625,45.0,3.75,135.0,47.6125,2.94
4.0,118.7369,780.075,170.25,10351.25,75.175,19.2,73.25,4.25,117.0,58.376,21.5
4.0,88.39035,652.65,197.0,4660.75,40.1375,12.9225,51.25,2.75,151.0,56.0,23.3
5.0,45.24836064,975.3,129.6,2628.625,120.46,6.0244,127.010856,1.8,177.0,114.661075959596,72.0
