AT,V,AP,RH,PE
26.14,61.02,1010.13,66.71,474.16
14.44,40.1,1015.51,79.78,468.19
11.09,40.43,1025.47,74.97,484.04
24.47,48.6,1002.49,75.04,442.08
9.06,40.02,1031.16,82.04,478.01
25.16,60.23,1011.21,68.31,444.98
22.55,69.84,1006.57,76.29,438.54
25.06,64.63,1020.66,54.93,436.15
9.2,39.99,1011.73,85.95,457.49
23.51,70.04,1011.02,81.39,436.17
13.63,40.92,1021.89,80.5,462.4
6.71,39.37,1020.28,71.15,487.05
30.7,74.22,1008.12,50.39,448.04
18.05,56.03,1020.69,77.87,459.09
13.61,42.34,1017.78,88.84,466.17
27.76,71.97,1008.53,86.97,434.04
9.39,41.79,1021.6,50.09,473.73
10.57,41.26,1008.32,97.96,455.55
20.71,49.69,1010.26,69.97,455.69
25.06,78.92,1010.74,90.7,463.88
6.74,36.08,1020.36,86.98,466.02
7.87,41.06,1020.91,87.64,486.57
13.78,38.47,1015.2,57.8,485.35
26.16,67.9,1005.81,61.02,444.06
21.95,59.43,1010.29,74.67,442.84
19.15,59.21,1018.41,88.9,432.51
15.21,35.4,1016.31,58.26,468.18
10.08,43.14,1010.67,85.9,478.73
30.19,66.54,1004.39,61.43,440.22
9.77,44.68,1023.37,91.4,477.56
23.27,60.84,1019.13,67.24,442.5
22.42,59.43,1007.12,90.56,440.99
30.92,80.18,1010.11,72.47,432.35
23.07,65.27,1013.24,58.38,443.42
25.77,63.31,1012.76,65.98,439.98
15.09,43.13,1015.71,54.36,466.87
21.7,70.32,1009.12,91.3,438.52
13.52,40.83,1009.94,87.53,470.47
23.45,66.48,1003.66,75.83,435.13
19.97,50.78,1008.75,92.7,483.74
16.26,38.58,1016.04,76.7,434.83
28.19,62.6,1017.34,46.95,449.61
8.85,40.43,1025.68,80.42,491.81
6.79,39.37,1019.79,72.39,487.3
20.15,49.5,1013.47,66.7,462.65
14.32,44.6,1013.85,68.13,428.37
20.76,59.04,1012.51,85.39,448.92
14.95,42.99,1008.75,90.76,468.61
22.57,62.4,1009.77,86.05,444.69
7.55,38.08,1019.37,76.32,485.49
20.65,66.51,1014.94,71.83,456.49
23.69,63.77,1013.39,79.5,444.07
9.29,34.03,1018.84,74.81,434.55
10.2,41.17,1019.56,82.46,446.57
26.16,63.76,1010.03,68.77,437.24
23.77,64.15,1021.02,55.87,448.43
32.38,67.17,1006.97,60.04,438.67
14.56,41.76,1023.82,85.36,464.3
33.95,68.14,1002.33,48.98,427.25
25.12,66.56,1009.22,65.62,436.56
25.87,63.47,1011.54,65.45,445.87
28.93,74.78,1009.48,56.4,437.34
9.41,43.5,1021.0,88.74,473.84
25.16,74.33,1014.55,76.7,435.51
15.6,41.04,1025.48,64.43,446.57
8.24,39.61,1017.99,78.42,477.9
12.61,41.58,1020.17,85.18,463.36
16.2,38.73,1002.14,75.03,467.89
28.32,47.93,1003.26,54.5,439.5
14.91,40.73,1017.44,86.91,458.99
28.44,74.93,1013.88,52.0,441.52
22.88,63.91,1009.63,87.82,462.54
25.38,65.34,1012.87,62.49,463.09
18.12,63.09,1019.32,89.21,449.65
14.01,42.99,1007.12,69.69,469.23
22.28,59.92,1009.36,95.38,437.85
33.24,74.34,1002.58,45.05,435.5
20.18,43.43,1011.31,65.11,450.09
24.85,70.47,1006.64,85.37,434.47
10.05,37.14,1012.64,75.97,479.7
34.35,77.17,1009.26,59.33,437.65
21.73,69.05,1001.31,86.64,439.01
19.25,43.43,1012.01,73.26,466.41
24.93,47.01,1015.12,64.8,455.39
17.36,44.63,1020.49,54.21,484.18
25.79,59.43,1008.61,64.3,463.6
19.13,66.86,1012.95,71.24,453.31
19.44,59.21,1018.5,88.35,490.96
17.34,46.48,1007.18,83.15,452.06
14.45,43.71,1025.26,84.23,472.9
6.25,40.07,1020.19,65.24,494.39
24.81,63.94,1018.76,44.51,444.26
19.26,58.46,1015.74,84.64,450.66
19.94,58.96,1014.16,66.27,466.36
7.04,39.37,1019.37,69.11,456.98
28.32,71.32,1008.02,78.82,433.82
25.72,74.67,1016.64,75.93,425.55
8.75,40.77,1021.99,86.46,478.85
13.87,41.74,1021.42,64.02,472.12
12.17,40.6,1013.59,88.62,473.76
10.06,43.22,1014.1,85.7,473.0
13.21,41.2,1016.63,74.1,474.26
28.56,69.51,1012.45,46.59,434.35
25.55,58.95,1017.12,51.84,442.3
28.34,63.77,1013.7,61.13,439.75
17.13,42.86,1014.15,73.6,451.08
21.39,62.96,1019.49,72.24,452.68
9.7,37.14,1012.79,75.2,475.77
15.89,43.96,1014.02,75.24,467.35
13.2,45.01,1013.96,78.78,466.71
31.92,75.33,1001.81,61.97,436.38
15.37,41.96,1011.58,96.76,488.0
7.35,41.66,1015.55,79.67,435.78
26.24,77.95,1014.19,85.21,438.01
15.2,39.0,1016.1,72.76,450.26
12.57,43.8,1023.2,56.85,466.68
29.27,69.89,1015.21,67.16,447.41
20.52,57.76,1017.03,81.19,453.64
31.01,73.5,1010.92,48.61,432.41
16.37,36.99,1006.37,90.11,463.76
