Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28.0,38.461039708
355.0,19.0,97.0,145.0,13.13,967.0,871.0,28.0,44.02993736
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14.0,17.8229546
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56.0,54.765078679999995
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7.0,19.35014394
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28.0,57.21271848
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.3991368
387.0,20.0,94.0,157.0,13.93,938.0,845.0,3.0,25.510612
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,3.0,16.27852836
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7.0,24.00065956
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.29819356
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28.0,23.524231644
200.0,133.0,0.0,192.0,0.0,965.4,806.2,7.0,17.165883972
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28.0,27.874825204
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28.0,37.42475728
252.31,0.0,98.75,146.25,14.17,987.76,889.01,56.0,55.82687172
355.9,0.0,141.6,193.3,11.0,801.4,778.4,28.0,40.8686899
446.0,24.0,79.0,162.0,11.61,967.0,712.0,3.0,35.36322404
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.721921436
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047983999995
290.35,0.0,96.18,168.08,9.41,961.18,865.0,28.0,34.73580088
238.05,0.0,94.11,186.66,7.0,949.91,847.01,100.0,44.298833
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28.0,43.69898888
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28.0,30.6472082
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3.0,21.29101888
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,100.0,56.7438748
252.31,0.0,98.75,146.25,14.17,987.76,889.01,3.0,21.78054684
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28.0,23.744174488
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28.0,39.58281716
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.563252031999994
202.0,11.0,141.0,206.0,1.72,942.0,801.0,3.0,9.84965714581204
322.0,0.0,116.0,196.0,10.0,818.0,813.0,28.0,31.17810472
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7.0,21.16001844
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28.0,33.71882378
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0,52.30364936
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28.0,29.89223198
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28.0,16.49916068
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56.0,56.14403068
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,3.0,14.39625888
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0,15.615941924
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.09966436
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28.0,29.72331036
446.0,24.0,79.0,162.0,11.61,967.0,712.0,7.0,52.00717468
295.71,0.0,95.64,171.54,8.87,955.14,859.2,100.0,52.04164848
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,56.0,31.53663224
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28.0,35.225328839999996
491.0,26.0,123.0,210.0,3.93,882.0,699.0,56.0,59.59042571527067
