frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
1250.0,12.3,0.1016,71.3,0.0337792,126.648
16000.0,0.0,0.0254,31.7,0.000439472,125.627
2000.0,4.0,0.2286,31.7,0.00509068,122.089
8000.0,3.3,0.1016,55.5,0.002211,120.569
400.0,9.9,0.1524,31.7,0.0252785,128.939
6300.0,3.3,0.1016,39.6,0.00245138,120.851
1000.0,7.3,0.2286,39.6,0.0123481,122.539
3150.0,9.9,0.1524,31.7,0.0252785,112.209
1000.0,0.0,0.2286,31.7,0.0027238,130.595
4000.0,0.0,0.0508,55.5,0.00076193,134.946
3150.0,2.0,0.2286,31.7,0.00372371,121.527
200.0,9.5,0.0254,31.7,0.00461377,119.146
5000.0,12.3,0.1016,71.3,0.0337792,116.108
5000.0,0.0,0.1016,55.5,0.00131983,128.36
400.0,9.5,0.0254,39.6,0.00449821,121.154
1600.0,3.0,0.3048,55.5,0.00452492,124.439
1600.0,12.3,0.1016,71.3,0.0337792,124.748
1250.0,15.4,0.0508,31.7,0.0289853,123.255
630.0,2.0,0.2286,71.3,0.00293031,127.356
500.0,0.0,0.2286,39.6,-0.00253511,126.195
2000.0,6.7,0.1016,31.7,0.00592927,120.446
315.0,5.4,0.1524,39.6,0.00485029,125.347
1000.0,2.7,0.1524,71.3,0.00243851,128.774
630.0,3.3,0.1016,31.7,0.00251435,128.952
500.0,3.0,0.3048,31.7,0.00529514,127.548
315.0,9.9,0.1524,55.5,0.0208438,132.355
400.0,7.3,0.2286,55.5,0.0111706,135.924
500.0,6.7,0.1016,39.6,0.00578076,130.955
1250.0,22.2,0.0254,71.3,0.0214178,140.987
250.0,9.9,0.1524,71.3,0.0193001,135.329
3150.0,0.0,0.2286,31.7,0.0027238,123.445
4000.0,4.0,0.2286,71.3,0.00400603,121.728
315.0,0.0,0.3048,39.6,0.00310138,122.779
2500.0,0.0,0.2286,71.3,0.00214345,128.354
8000.0,4.0,0.3048,71.3,0.00497773,113.665
315.0,0.0,0.2286,39.6,0.00253511,121.055
12500.0,0.0,0.1016,71.3,0.00121072,119.375
1250.0,8.9,0.1016,71.3,0.0103088,132.793
200.0,9.9,0.1524,71.3,0.0193001,134.319
1000.0,0.0,0.1016,31.7,0.00150092,131.313
16000.0,4.0,0.2286,71.3,0.00400603,112.768
5000.0,17.4,0.0254,31.7,0.0176631,117.996
1250.0,3.3,0.1016,71.3,0.00202822,132.304
500.0,2.0,0.2286,31.7,0.00372371,126.677
1250.0,7.3,0.2286,31.7,0.0132672,120.509
8000.0,2.0,0.2286,71.3,0.00293031,115.996
1250.0,4.8,0.0254,39.6,0.000907475,125.026
250.0,7.3,0.2286,55.5,0.0111706,136.384
2000.0,9.5,0.0254,55.5,0.0043284,134.052
630.0,12.3,0.1016,55.5,0.0368233,124.244
400.0,15.4,0.0508,31.7,0.0289853,123.705
6300.0,0.0,0.0254,71.3,0.000400682,134.987
6300.0,0.0,0.3048,71.3,0.00266337,119.541
5000.0,0.0,0.0254,55.5,0.00041229,135.803
315.0,0.0,0.2286,55.5,0.00229336,119.54
10000.0,3.0,0.3048,55.5,-0.00452492,112.169
2500.0,15.4,0.0508,55.5,0.0271925,125.63
1000.0,0.0,0.1524,55.5,0.00172668,128.583
4000.0,2.0,0.2286,39.6,0.00346574,120.227
1600.0,3.3,0.1016,39.6,0.00245138,133.071
2500.0,7.3,0.2286,39.6,0.0123481,116.559
250.0,17.4,0.0254,31.7,0.0176631,116.956
400.0,8.4,0.0508,55.5,0.00544854,121.582
2000.0,0.0,0.1524,31.7,0.00209405,128.907
800.0,0.0,0.1524,71.3,0.0015988,125.817
1000.0,4.8,0.0254,31.7,0.000930789,125.348
2500.0,5.4,0.1524,39.6,0.00485029,120.497
1600.0,7.3,0.2286,55.5,0.0111706,123.354
200.0,12.3,0.1016,55.5,0.0368233,132.304
8000.0,0.0,0.0508,39.6,0.000791822,128.518
6300.0,3.3,0.1016,55.5,0.002211,123.839
1000.0,6.7,0.1016,39.6,0.00578076,134.515
1000.0,6.7,0.1016,71.3,0.00478288,136.758
6300.0,2.0,0.2286,31.7,0.00372371,115.137
1600.0,2.7,0.1524,39.6,0.00294804,130.049
6300.0,0.0,0.2286,71.3,0.00214345,122.044
2000.0,5.4,0.1524,71.3,0.00401199,131.111
2000.0,12.3,0.1016,31.7,0.0418756,110.447
3150.0,3.3,0.1016,71.3,0.00202822,132.114
4000.0,4.8,0.0254,71.3,0.000848633,134.928
20000.0,4.8,0.0254,55.5,0.000873218,121.284
250.0,9.9,0.1524,55.5,0.0208438,133.235
250.0,15.4,0.0508,39.6,0.0282593,122.893
5000.0,8.4,0.0508,71.3,0.00529514,121.146
2000.0,3.3,0.1016,31.7,0.00251435,131.642
1000.0,8.9,0.1016,71.3,0.0103088,135.433
5000.0,4.0,0.3048,71.3,-0.00497773,117.785
5000.0,15.4,0.0508,39.6,0.0282593,114.453
1250.0,6.7,0.1016,31.7,0.00592927,129.256
500.0,0.0,0.1524,31.7,0.00209405,121.617
2500.0,8.4,0.0508,39.6,0.00566229,127.465
1250.0,15.6,0.1016,39.6,0.0528487,118.214
3150.0,7.3,0.2286,31.7,0.0132672,113.229
630.0,6.7,0.1016,31.7,0.00592927,132.116
3150.0,3.0,0.3048,55.5,0.00452492,120.189
5000.0,9.9,0.1524,39.6,0.0233328,111.135
1250.0,4.2,0.0508,39.6,0.00152689,128.427
1250.0,0.0,0.3048,39.6,0.00310138,125.499
800.0,3.3,0.1016,55.5,0.002211,129.119
1600.0,0.0,0.3048,71.3,0.00266337,127.591
2000.0,7.2,0.1524,71.3,0.00752039,128.643
4000.0,9.5,0.0254,55.5,0.0043284,131.582
5000.0,0.0,0.0508,31.7,0.000812164,133.23
2000.0,0.0,0.2286,71.3,0.00214345,128.244
4000.0,7.2,0.1524,39.6,0.00909175,114.258
400.0,8.4,0.0508,39.6,0.00566229,120.015
6300.0,12.6,0.1524,39.6,0.0584113,103.38
8000.0,4.8,0.0254,31.7,0.000930789,127.008
2500.0,4.8,0.0254,71.3,0.000848633,130.828
1600.0,15.4,0.0508,39.6,0.0282593,124.843
4000.0,0.0,0.0508,31.7,0.000812164,134.11
2000.0,4.0,0.2286,71.3,0.00400603,126.218
4000.0,9.5,0.0254,71.3,0.00420654,134.236
500.0,15.4,0.0508,31.7,0.0289853,123.695
4000.0,15.4,0.0508,39.6,0.0282593,118.113
250.0,15.6,0.1016,39.6,0.0528487,124.644
5000.0,7.3,0.2286,31.7,0.0132672,111.029
800.0,7.2,0.1524,71.3,0.00752039,136.023
5000.0,9.5,0.0254,71.3,0.00420654,131.186
2500.0,0.0,0.1524,39.6,0.00193287,126.863
