AT,V,AP,RH,PE
30.19,68.08,1010.95,50.34,431.25
12.19,40.05,1014.65,85.1,472.68
20.67,57.5,1014.42,81.89,453.29
22.43,55.97,1008.97,85.98,443.74
17.73,40.55,1003.36,74.62,462.69
28.75,64.84,1009.61,58.24,441.3
18.28,41.1,1002.0,65.69,460.03
11.46,44.85,1014.3,63.24,475.33
8.05,38.38,1021.14,86.39,482.17
28.12,73.42,1011.49,80.16,435.46
22.1,65.48,1019.3,66.96,447.0
16.14,54.3,1017.93,65.68,460.73
34.61,73.03,1013.61,36.91,438.56
15.06,41.85,1016.78,88.23,466.72
9.08,36.71,1025.07,81.32,479.02
18.87,43.43,1009.16,69.5,454.58
18.05,56.03,1020.69,77.87,459.09
9.83,38.56,1017.35,62.8,480.47
29.35,69.04,1008.55,61.78,445.04
22.18,45.09,1014.04,43.13,455.4
25.6,59.15,1013.31,67.02,441.11
6.81,37.49,1010.74,88.25,482.21
27.62,72.43,1007.54,71.33,428.76
29.89,71.29,1009.0,55.72,431.45
12.19,40.75,1015.13,88.98,475.36
4.87,42.85,1012.69,94.72,482.05
30.54,70.17,999.42,64.32,434.62
27.34,70.98,1008.82,71.42,438.73
25.26,61.08,1013.68,71.72,447.46
25.93,60.29,1017.62,50.03,444.04
27.58,57.19,1007.88,52.95,435.7
11.1,40.0,1021.29,86.58,477.2
17.77,43.72,1009.01,77.7,456.34
13.89,44.84,1023.66,92.97,466.74
9.77,41.44,1017.69,78.26,481.74
7.05,40.69,1020.53,89.67,476.75
26.96,72.86,1004.86,59.17,441.12
20.84,51.19,1008.63,84.11,448.98
5.82,40.78,1024.82,96.01,470.02
12.21,40.64,1020.31,83.84,464.03
16.27,56.89,1013.74,84.36,454.88
30.01,69.13,1010.11,62.42,425.75
19.15,44.34,1019.54,48.09,468.8
27.29,62.66,1007.63,58.02,439.58
8.1,40.64,1020.66,89.04,478.27
25.69,72.43,1006.86,86.38,429.99
24.34,48.78,1018.0,73.44,448.54
31.17,70.98,1007.19,67.34,431.01
23.45,70.04,1010.99,79.2,436.46
21.24,44.57,1008.72,72.57,447.03
15.91,71.14,1019.7,72.65,458.15
15.69,39.3,1019.03,60.57,464.17
16.65,49.69,1014.01,91.0,460.03
30.91,70.32,1011.92,65.59,433.71
22.19,48.78,1017.84,76.01,446.51
23.05,48.98,1015.64,49.33,446.05
7.08,39.99,1010.55,91.44,482.83
13.9,39.54,1007.01,81.33,471.16
20.54,59.39,1014.07,84.15,445.41
21.79,46.21,1012.89,72.0,449.99
16.71,46.18,1012.06,96.6,458.4
24.43,58.95,1017.18,57.73,441.4
30.56,72.39,999.96,69.81,430.85
27.54,66.93,1017.06,55.2,450.22
23.16,57.76,1017.74,63.79,451.79
28.87,71.97,1008.74,82.61,435.86
22.64,62.44,1011.82,75.07,448.13
31.85,73.21,1000.98,72.2,435.94
32.09,69.4,1003.1,56.91,430.62
29.34,74.34,998.58,81.55,430.57
13.79,45.08,1025.02,84.36,469.55
13.61,42.34,1017.57,91.35,465.65
16.46,48.6,1006.08,89.0,449.58
7.54,40.72,1023.82,85.15,485.92
31.93,72.58,1006.9,56.27,425.14
29.78,70.98,1007.82,77.59,436.32
23.7,64.45,1012.87,38.24,451.16
9.08,42.49,1010.67,85.35,481.46
29.53,71.97,1008.6,79.25,434.96
19.65,45.01,1014.18,56.77,451.63
14.41,46.18,1016.25,88.88,462.49
25.88,63.47,1011.95,65.87,443.94
26.85,73.77,1001.2,90.13,431.24
25.15,62.91,1012.23,48.22,444.19
10.12,40.0,1021.33,95.29,476.03
13.52,41.44,1015.81,65.97,472.11
22.69,48.14,1013.7,62.05,448.52
31.0,77.95,1010.14,65.97,431.62
15.65,39.59,1012.8,87.63,461.94
17.39,46.21,1013.94,82.73,454.06
16.78,41.35,1000.23,70.52,459.64
23.15,69.48,1011.07,85.83,436.16
5.62,41.31,1001.37,89.16,485.6
24.51,62.08,1022.58,57.44,447.04
14.41,42.77,1019.84,82.54,465.89
25.19,63.94,1012.78,75.15,438.73
26.97,64.45,1009.43,53.96,443.75
14.95,42.99,1008.75,90.76,468.61
9.41,34.69,1027.02,78.91,480.87
6.79,38.5,1012.61,72.46,488.69
27.71,54.2,1012.72,47.25,440.74
18.31,42.23,1012.88,79.32,464.45
12.77,40.71,1014.66,72.81,471.59
22.2,44.05,1007.34,75.13,445.32
14.17,39.59,1010.99,94.08,464.17
7.94,42.02,1006.22,90.97,480.53
29.24,64.33,1011.5,64.14,440.29
19.41,46.63,1013.23,86.28,452.6
14.86,44.71,1018.3,49.46,466.38
32.57,78.92,1011.6,66.47,430.12
9.44,44.03,1009.59,86.27,473.61
14.98,39.58,1011.78,75.07,467.77
10.62,39.64,1010.65,62.15,477.07
27.97,69.48,1010.4,57.24,432.18
25.1,74.87,1010.01,79.41,439.93
19.05,67.32,1013.2,83.14,447.47
27.16,65.61,1014.21,47.93,441.33
10.29,40.56,1017.28,69.13,481.7
6.45,40.02,1032.08,79.7,481.36
7.61,43.22,1014.8,86.92,478.55
