Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0,52.30364936
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28.0,26.922658848
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,56.0,39.2656582
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28.0,33.947729812
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3.0,11.654902304
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28.0,52.20022796
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100.0,37.6798634
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28.0,32.720462532
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28.0,44.6090972
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,28.0,31.97100212
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28.0,21.53923024
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100.0,56.06129356
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,14.0,26.04840328
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28.0,23.786922
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28.0,33.68779736
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28.0,52.446370892
295.71,0.0,95.64,171.54,8.87,955.14,859.2,14.0,35.2322236
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,11.46598588
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28.0,38.461039708
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,3.0,13.54130864
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3.0,27.42046052
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7.0,52.61391356
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28.0,28.991086848
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28.0,37.404073
491.0,26.0,123.0,201.0,3.93,822.0,699.0,3.0,29.54897143054136
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28.0,26.91369566
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.419591196
158.4,0.0,194.9,219.7,11.0,897.7,712.9,28.0,8.536402356
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7.0,17.236210524
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28.0,66.89985628
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3.0,19.93275116
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28.0,38.70028788
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7.0,24.00065956
393.0,0.0,0.0,192.0,0.0,940.0,758.0,3.0,19.10537996
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3.0,20.72564856
194.68,0.0,100.52,170.17,7.48,998.0,901.8,56.0,43.38872468
164.0,0.0,200.0,181.0,13.0,849.0,846.0,28.0,15.08573488
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90.0,25.460969728
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14.0,23.5111316
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.77931782
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28.0,26.147687824
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14.0,26.77235308
250.0,0.0,95.69,187.42,5.53,956.86,861.17,28.0,29.21999288
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3.0,25.2003478
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90.0,40.65839972
194.68,0.0,100.52,170.17,7.48,998.0,901.8,56.0,43.38872468
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28.0,55.55108132
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3.0,13.52062436
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,48.846616696
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3.0,14.98920824
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.908319811999995
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28.0,53.52402188
480.0,0.0,0.0,192.0,0.0,936.0,721.0,90.0,54.27555072
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3.0,11.654902304
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3.0,25.11662571527068
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100.0,56.06129356
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,56.0,39.2656582
200.0,133.0,0.0,192.0,0.0,965.4,806.2,28.0,30.439675923999996
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,100.0,56.8128224
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28.0,31.38150014
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7.0,15.57526284
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,100.0,43.58177796
446.0,24.0,79.0,162.0,11.61,967.0,712.0,28.0,57.02655996
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28.0,31.2677366
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28.0,61.23236356
233.81,0.0,94.58,197.89,4.567,947.04,852.16,28.0,22.83544512
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7.0,23.404952296
295.71,0.0,95.64,171.54,8.87,955.14,859.2,3.0,22.94576128
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28.0,26.91714304
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,28.0,31.97100212
296.0,0.0,107.0,221.0,11.0,819.0,778.0,28.0,31.41942132
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56.0,54.765078679999995
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3.0,12.54156844
446.0,24.0,79.0,162.0,11.61,967.0,712.0,28.0,57.02655996
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,100.0,33.5430074
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7.0,11.957582268
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0,11.36256448
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28.0,22.43554904
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28.0,13.29309728
