AT,V,AP,RH,PE
16.52,42.24,1017.51,67.65,469.13
9.12,41.49,1020.58,96.23,475.69
21.29,51.43,1011.31,90.12,452.94
12.95,41.38,1021.97,53.83,474.46
25.68,67.79,1010.66,69.51,449.04
21.41,50.32,1008.61,84.47,443.63
25.47,56.89,1013.02,63.21,440.38
34.29,68.51,1009.58,32.25,427.62
23.04,57.32,1011.23,64.27,442.01
14.19,39.52,1018.34,77.25,467.14
8.14,37.49,1009.04,80.33,480.66
4.97,38.91,1018.99,89.86,489.96
33.72,74.33,1011.4,37.51,428.96
27.5,65.34,1014.93,47.46,439.59
8.06,39.96,1024.23,94.48,476.03
17.14,40.55,1000.05,71.41,461.21
8.96,40.05,1015.91,89.4,467.24
23.71,67.17,1007.27,90.2,440.65
25.35,66.56,1008.75,66.88,436.51
22.07,50.78,1008.6,61.33,449.96
9.2,40.77,1011.88,89.86,479.82
11.72,40.92,1023.35,88.55,465.88
8.88,39.66,1015.21,88.29,481.45
16.23,43.69,1016.4,68.9,466.22
22.99,60.77,1017.97,78.47,447.62
14.52,44.84,1023.51,88.51,466.88
23.62,49.21,1014.1,49.54,443.53
10.86,44.85,1014.15,88.36,476.87
10.01,43.7,1015.73,91.97,479.24
28.8,71.58,1010.51,59.87,434.82
10.32,40.35,1011.64,84.05,481.51
24.2,64.33,1011.15,84.23,442.78
7.5,38.06,1021.96,83.45,485.98
24.95,64.33,1011.34,81.05,440.97
24.82,66.54,1010.0,60.36,440.88
23.02,63.47,1012.21,80.61,443.66
26.42,59.39,1013.95,66.03,438.54
8.6,40.77,1011.8,89.45,480.82
24.21,71.77,1004.52,84.96,433.42
19.12,58.79,1017.34,92.45,447.02
11.02,39.96,1025.64,93.58,467.41
11.1,44.85,1014.27,65.08,477.03
18.63,45.87,1007.98,79.9,453.79
17.7,49.21,1015.16,67.91,455.97
12.54,44.03,1007.05,84.03,471.86
7.76,42.28,1008.52,83.31,483.8
25.52,71.98,1006.89,86.94,433.42
27.38,59.21,1012.74,53.53,437.78
14.69,49.64,1023.43,78.17,434.12
12.95,41.23,993.74,96.35,469.05
15.47,43.13,1015.11,50.5,466.63
26.76,49.02,1007.96,70.05,439.4
7.99,41.38,1021.95,78.77,487.57
23.43,54.42,1013.58,70.99,454.86
10.11,52.75,1021.79,76.08,470.35
12.87,45.51,1015.3,86.67,475.77
32.51,69.98,1011.92,49.45,428.37
29.56,70.4,1006.49,82.95,432.85
27.51,73.67,1005.71,76.75,431.97
28.38,72.39,998.93,73.85,432.02
19.04,68.28,1004.52,86.16,444.54
13.18,40.03,1017.75,82.29,470.88
26.79,62.44,1011.51,72.46,440.55
14.5,53.82,1016.81,62.89,464.27
14.56,41.76,1023.82,85.36,464.3
10.1,41.17,1019.18,84.87,479.95
28.04,69.14,1007.16,80.38,436.37
23.7,66.56,1002.07,85.19,436.94
22.26,70.47,1008.32,84.22,440.21
26.45,47.43,1008.87,53.25,442.12
6.49,39.33,1010.85,91.85,489.22
27.93,73.68,1015.41,49.95,435.95
12.81,44.34,1015.55,90.37,474.03
10.74,40.92,1021.74,94.97,466.77
18.48,46.48,1007.53,82.57,461.49
24.26,61.02,1009.78,76.68,442.86
28.3,64.33,1011.23,68.88,441.51
24.72,68.67,1006.74,79.02,443.06
27.24,71.25,1000.5,86.28,430.94
11.26,44.92,1023.63,88.99,474.69
27.11,48.6,1002.78,53.39,439.4
17.88,45.87,1008.39,93.63,455.83
19.8,67.71,1005.58,69.65,446.03
23.47,69.71,1009.66,88.83,442.23
30.64,74.87,1009.44,59.01,437.43
22.08,55.5,1018.42,58.46,455.79
25.63,56.85,1012.68,49.7,439.2
4.69,39.42,1024.58,79.35,486.34
27.06,77.17,1008.71,90.6,432.2
9.08,40.46,1019.48,77.37,476.81
11.48,37.5,1014.38,69.75,472.9
18.89,58.66,1010.96,84.07,453.33
13.21,40.03,1018.12,82.98,469.75
8.68,43.14,1011.94,79.06,480.73
11.64,40.1,1015.5,87.05,477.2
14.35,35.71,1016.1,60.86,468.9
30.9,73.42,1011.21,65.32,433.44
15.39,39.31,1008.78,66.67,461.39
17.47,58.59,1014.03,97.13,449.41
28.61,70.36,1006.95,73.06,440.16
32.98,73.88,1006.31,47.55,440.28
30.24,66.75,1017.95,55.66,435.02
23.26,59.14,1016.98,76.29,440.37
29.93,69.48,1009.21,54.59,430.75
26.51,67.25,1017.85,64.17,435.52
31.38,71.32,1009.17,60.42,433.44
4.87,42.85,1013.6,92.3,482.22
13.72,45.09,1012.95,87.41,466.24
25.71,71.73,1009.72,75.29,434.16
11.84,40.05,1014.54,86.78,473.82
5.51,35.57,1026.3,78.97,489.36
15.97,52.72,1024.72,65.97,462.64
7.73,39.04,1018.61,68.23,482.39
14.6,53.82,1016.28,64.83,462.86
26.48,69.14,1009.31,84.11,435.76
16.87,52.05,1012.7,71.63,460.31
25.96,60.95,1014.52,50.03,444.19
10.2,41.46,1020.23,84.54,481.46
7.92,42.28,1008.55,81.68,484.75
19.04,43.43,1009.25,68.74,453.32
