frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
2500.0,0.0,0.0254,55.5,0.00041229,130.073
200.0,0.0,0.3048,39.6,0.00310138,118.129
630.0,0.0,0.3048,31.7,0.00331266,129.095
6300.0,9.9,0.1524,39.6,0.0233328,109.885
5000.0,0.0,0.0508,55.5,0.00076193,134.556
500.0,0.0,0.1524,39.6,0.00193287,119.513
2000.0,8.4,0.0508,71.3,0.00529514,134.476
500.0,11.2,0.0508,39.6,0.0150478,131.96
4000.0,9.9,0.1524,39.6,0.0233328,112.265
800.0,0.0,0.3048,39.6,0.00310138,129.099
2000.0,6.7,0.1016,31.7,0.00592927,120.446
1600.0,4.0,0.3048,39.6,0.00579636,123.213
200.0,15.4,0.0508,39.6,0.0282593,121.783
2500.0,3.3,0.1016,31.7,0.00251435,130.392
1250.0,3.0,0.3048,55.5,0.00452492,127.329
2000.0,15.4,0.0508,31.7,0.0289853,120.835
630.0,12.6,0.1524,39.6,0.0584113,116.55
8000.0,3.3,0.1016,31.7,0.00251435,117.432
2500.0,7.3,0.2286,39.6,0.0123481,116.559
6300.0,4.0,0.2286,71.3,0.00400603,118.618
1600.0,5.3,0.2286,71.3,0.0051942,130.46
1000.0,17.4,0.0254,71.3,0.016104,125.816
2500.0,5.3,0.2286,39.6,0.00614329,116.151
800.0,2.0,0.2286,31.7,0.00372371,130.307
2500.0,0.0,0.0508,71.3,0.000740478,131.31
1000.0,7.3,0.2286,39.6,0.0123481,122.539
1250.0,15.6,0.1016,71.3,0.0437259,123.178
4000.0,4.8,0.0254,55.5,0.000873218,133.924
630.0,4.0,0.2286,39.6,0.00473801,129.579
1000.0,3.0,0.3048,39.6,0.00495741,128.312
800.0,4.0,0.3048,39.6,0.00579636,130.723
1000.0,11.2,0.0508,71.3,0.014072,136.941
2500.0,9.9,0.1524,39.6,0.0233328,116.295
3150.0,1.5,0.3048,39.6,0.00392107,119.111
2500.0,2.7,0.1524,71.3,0.00243851,128.334
1250.0,9.5,0.0254,39.6,0.00449821,130.964
315.0,4.0,0.2286,31.7,0.00509068,123.609
315.0,15.4,0.0508,39.6,0.0282593,124.493
1600.0,12.3,0.1016,71.3,0.0337792,124.748
1600.0,9.5,0.0254,39.6,0.00449821,131.184
8000.0,3.0,0.3048,39.6,0.00495741,110.652
3150.0,0.0,0.0508,39.6,0.000791822,135.938
800.0,8.4,0.0508,55.5,0.00544854,128.562
6300.0,0.0,0.0254,31.7,0.000439472,138.537
400.0,1.5,0.3048,39.6,0.00392107,124.001
200.0,9.5,0.0254,31.7,0.00461377,119.146
10000.0,0.0,0.1016,39.6,0.00146332,119.561
1600.0,0.0,0.0508,55.5,0.00076193,128.576
1000.0,7.2,0.1524,39.6,0.00909175,128.338
8000.0,1.5,0.3048,39.6,0.00392107,112.251
315.0,8.9,0.1016,71.3,0.0103088,136.583
2500.0,12.6,0.1524,39.6,0.0584113,106.88
2000.0,0.0,0.2286,31.7,0.0027238,123.455
1250.0,8.4,0.0508,39.6,0.00566229,131.205
10000.0,0.0,0.0254,55.5,0.00041229,134.563
500.0,6.7,0.1016,39.6,0.00578076,130.955
6300.0,0.0,0.0254,55.5,0.00041229,136.103
250.0,0.0,0.3048,39.6,0.00310138,119.319
