AT,V,AP,RH,PE
24.17,59.44,1012.66,78.53,447.13
11.64,40.1,1015.5,87.05,477.2
27.84,71.32,1007.72,79.25,431.37
27.73,67.69,1007.47,59.42,431.72
22.78,59.92,1011.28,88.78,440.87
24.49,65.61,1014.71,63.47,447.26
31.91,67.83,1008.76,53.22,425.28
6.02,41.38,1021.2,88.71,490.57
13.51,39.31,1012.18,75.19,466.46
3.26,41.31,996.32,100.0,489.38
25.96,63.78,1016.95,49.47,443.8
21.7,64.69,1007.93,78.37,448.76
26.45,73.5,1010.31,74.33,433.44
8.86,40.23,1017.57,90.47,478.05
26.15,63.21,1012.31,76.44,441.23
30.03,67.9,1006.22,52.61,426.13
23.18,51.43,1011.56,81.83,449.94
9.8,41.82,1032.98,67.55,473.72
25.07,60.27,1018.13,70.33,439.52
3.0,39.64,1011.0,80.14,485.2
23.57,63.91,1011.65,80.74,441.93
26.04,72.43,1006.82,84.88,432.94
13.38,40.12,1013.92,96.96,468.15
24.14,62.66,1007.33,73.27,439.93
26.63,74.22,1007.44,78.5,434.25
26.8,49.3,1003.86,62.75,438.56
8.09,43.02,1014.79,81.06,484.35
7.2,40.02,1031.71,69.89,480.53
18.36,51.43,1010.57,90.17,459.8
22.26,44.89,1009.51,78.93,447.07
13.06,41.78,1012.3,55.31,467.67
26.25,61.02,1011.47,71.22,436.44
20.79,50.66,1013.39,77.93,454.78
8.2,41.14,1025.24,96.26,474.04
12.57,39.3,1019.57,72.44,473.67
29.57,67.83,1009.19,55.74,427.62
21.84,58.86,1014.13,69.67,445.16
21.97,65.61,1016.09,73.29,447.05
5.15,40.78,1025.34,95.84,483.03
18.95,46.21,1013.47,81.22,457.58
13.93,42.86,1032.37,71.11,468.88
20.51,45.38,1014.29,69.14,461.87
23.37,63.77,1013.42,76.44,443.86
18.36,62.1,1019.9,79.09,453.5
22.08,45.61,1014.02,75.71,456.71
25.16,57.17,1009.86,75.7,442.03
17.0,45.09,1013.52,88.32,458.94
25.04,51.95,1005.56,66.53,449.45
10.42,44.85,1014.18,88.36,479.03
25.69,64.45,1013.05,42.0,450.94
19.69,56.65,1020.84,72.14,455.07
20.86,67.25,1017.45,81.45,444.5
29.78,74.78,1009.28,55.09,436.39
9.77,44.68,1023.37,91.4,477.56
22.05,48.14,1015.81,69.94,447.37
15.74,43.34,1013.38,81.45,463.24
3.92,41.31,999.22,95.26,487.35
28.15,72.99,1007.62,70.03,431.83
28.85,71.32,1009.09,76.9,435.13
31.39,69.59,1008.28,62.86,435.76
20.34,59.8,1015.18,80.21,453.54
11.57,41.38,1021.71,61.49,473.94
7.69,43.02,1014.51,85.23,486.46
26.63,73.68,1015.15,85.13,428.8
31.24,68.3,1015.89,42.84,435.2
31.98,70.17,999.43,59.42,430.92
9.73,40.22,1011.48,87.88,481.42
21.36,59.54,1007.99,92.62,446.09
13.44,37.85,1009.78,99.13,469.89
29.45,69.13,1009.3,52.97,432.04
9.23,37.36,1015.01,67.38,481.08
8.54,38.08,1019.75,71.24,478.31
7.71,40.71,1021.53,95.48,471.38
21.32,45.01,1012.23,59.94,452.75
29.99,74.9,1003.84,64.43,435.87
21.03,70.02,1010.21,95.69,444.53
28.31,65.71,1014.67,59.29,447.26
19.74,45.38,1015.11,80.67,459.39
31.41,76.09,1007.68,70.49,430.81
21.63,50.16,1005.7,84.84,448.32
18.53,39.72,1001.26,64.08,457.26
21.98,59.39,1015.25,84.52,446.79
14.14,43.34,1017.1,81.77,464.36
25.47,60.75,1007.27,65.91,438.42
8.16,39.64,1011.21,85.56,481.78
17.35,42.86,1014.62,74.16,465.16
27.89,69.88,1007.99,85.62,430.75
12.0,41.17,1019.48,58.71,474.4
13.67,54.3,1015.92,75.42,467.87
34.51,73.03,1013.73,39.42,439.8
11.04,39.96,1025.75,94.44,468.84
24.31,63.86,1019.47,58.54,442.69
19.44,39.53,1006.99,63.18,457.09
9.51,38.38,1022.77,73.82,474.93
23.77,51.43,1006.67,84.09,441.54
14.22,40.83,1009.2,81.32,469.75
15.98,44.68,1018.48,85.94,462.77
6.77,38.18,1017.8,81.13,484.31
22.34,52.84,1004.05,73.96,449.06
27.91,64.79,1017.7,48.29,440.53
8.48,42.49,1010.77,88.68,483.5
11.82,41.26,1020.74,91.14,466.95
32.0,58.9,1003.48,51.38,437.81
21.41,59.43,1010.27,74.54,442.85
12.4,40.35,1011.46,79.49,476.44
8.62,39.54,1011.64,82.86,483.03
9.84,40.22,1009.5,85.38,479.65
14.05,40.35,1011.52,66.21,475.54
26.14,61.02,1010.13,66.71,436.17
14.22,45.01,1014.17,70.14,464.06
25.91,75.6,1018.23,62.65,443.2
15.01,39.52,1017.53,72.0,468.02
24.2,68.67,1006.72,78.08,444.09
16.7,46.18,1011.2,96.84,456.2
13.41,54.3,1016.48,79.28,467.88
26.11,62.44,1010.68,72.59,438.87
27.75,70.4,1006.65,90.21,436.53
27.97,68.31,1010.64,55.91,443.34
17.17,63.09,1020.54,95.98,446.75
24.02,77.54,1008.33,83.92,438.52
