number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,range_atomic_radius,wtd_mean_ThermalConductivity,critical_temp
4.0,74.2815,889.625,139.0,5238.85725,72.675,12.5555,35.506645,3.25,190.0,36.8889851948052,53.0
2.0,82.76819,711.8,161.5,6946.5,104.05,29.3,57.0,4.5,73.0,55.5,6.2
5.0,65.812127856,728.76,159.4,3741.0858,74.546,6.0444,117.605316,2.0,171.0,62.2509028571429,37.0
5.0,89.33718,740.52,181.0,4716.6858,72.09,7.9244,89.605316,2.6,205.0,98.1787776470588,6.3
4.0,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,205.0,110.953690067114,78.3
5.0,75.10025,750.94,158.8,4569.4858,67.87,7.6624,92.805316,2.4,205.0,87.8373892307692,70.0
6.0,43.6154231,807.133333333333,134.333333333333,3726.5715,49.3616666666667,13.277,97.6710966666667,3.16666666666667,146.0,70.3716952,32.0
5.0,57.0655,843.5,141.6,4468.4858,59.566,14.5044,39.005316,3.4,171.0,28.7599675,36.4
6.0,89.0509833333333,708.6,187.333333333333,4368.90483333333,61.1633333333333,7.937,80.50443,2.5,205.0,97.7764261538461,44.0
2.0,114.324175,573.85,180.5,7061.5,40.95,8.195,20.0,3.0,89.0,26.4285714285714,5.0
5.0,95.577694,885.52,138.6,8461.6858,88.24,14.8044,58.405316,3.8,147.0,36.837895,11.85
4.0,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,205.0,96.3989276923077,90.9
3.0,95.4869,781.9,155.0,8616.66666666667,76.7666666666667,55.5,100.666666666667,4.66666666666667,141.0,136.6,12.7
5.0,85.99348,782.78,167.0,5649.2858,69.31,9.0244,101.605316,2.4,205.0,164.389511428571,11.0
5.0,85.176922,747.8,172.4,4668.2858,66.644,9.3324,127.005316,2.2,205.0,110.580176,81.2
4.0,115.4385,745.15,172.5,10356.5,97.2575,19.125,59.25,4.0,94.0,59.4,2.89
1.0,208.9804,702.9,143.0,9780.0,92.7,10.9,8.0,5.0,0.0,8.0,8.3
6.0,92.5180083333333,711.8,186.666666666667,4760.40483333333,64.12,7.79366666666667,107.00443,2.5,205.0,96.6873892307692,64.3
5.0,92.26674,747.78,159.2,5174.2858,60.484,6.8124,132.805316,2.2,205.0,172.802658,114.0
5.0,44.503433856,857.02,134.2,2919.8858,129.334,6.0524,148.029316,2.4,146.0,111.327594285714,18.0
4.0,64.0178125,805.625,156.0,4015.85725,75.0075,8.1805,113.006645,2.25,171.0,94.3006107692308,70.0
6.0,87.7403158333333,773.15,151.666666666667,7103.5715,71.3716666666667,12.9536666666667,120.00443,3.16666666666667,171.0,76.7521211764706,30.0
5.0,79.171174,738.22,167.0,4033.4858,66.244,7.2324,126.205316,2.2,205.0,99.0524750570342,75.2
5.0,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,171.0,98.931645,35.2
3.0,78.4197933333333,667.433333333333,153.0,6599.0,79.5,21.3966666666667,47.6666666666667,4.0,73.0,51.625,7.3
