Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91.0,56.49566344
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56.0,39.14844728
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,100.0,47.8151606
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7.0,17.43684804
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0,63.3973182
284.0,15.0,141.0,179.0,5.46,842.0,801.0,28.0,43.733462679999995
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28.0,33.68779736
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28.0,29.073134492
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14.0,24.986610239999997
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90.0,47.22221124
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14.0,59.76377968
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3.0,11.654902304
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.655112243999994
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56.0,36.63875464
150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28.0,37.43165204
249.1,0.0,98.75,158.11,12.8,987.76,889.01,28.0,30.84715624
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28.0,37.42475728
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28.0,74.4978818
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3.0,17.22311048
233.81,0.0,94.58,197.89,4.567,947.04,852.16,28.0,22.83544512
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90.0,39.48629052
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56.0,51.95891136
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28.0,68.4994406
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,56.0,36.3009114
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.759063216
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28.0,37.43165204
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3.0,6.883728383999999
140.0,164.0,128.0,237.0,6.0,869.0,656.0,28.0,35.225328839999996
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91.0,74.19451236
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14.0,20.77391188
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28.0,29.89223198
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100.0,47.73931824
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56.0,66.78067543054136
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100.0,45.3675208
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90.0,33.192064116000005
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180.0,36.44570136
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.029847436
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56.0,47.13257936
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28.0,41.053469468
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,3.0,13.33446584
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,3.0,12.47262084
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28.0,29.72331036
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3.0,9.86640156
249.1,0.0,98.75,158.11,12.8,987.76,889.01,14.0,28.6822016
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28.0,37.91428524
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90.0,54.315540328
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,14.0,38.76923548
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28.0,52.446370892
222.36,0.0,96.67,189.29,4.46,967.08,870.32,100.0,40.7135578
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28.0,18.746162964
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.185149411999994
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28.0,53.38612668
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.721921436
250.0,0.0,95.69,187.42,5.53,956.86,861.17,14.0,24.91766264
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,100.0,45.83636448
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3.0,13.52062436
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.931941843999994
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90.0,43.25082948
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28.0,31.44700036
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,100.0,56.7438748
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90.0,32.53292506
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7.0,18.12632404
446.0,24.0,79.0,162.0,11.64,967.0,712.0,28.0,51.021224
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91.0,75.49762199999999
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28.0,17.596806471999997
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28.0,26.22766704
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100.0,56.63355864
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.258003984
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,3.0,14.39625888
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28.0,8.53571288
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14.0,20.91870184
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28.0,25.10382116
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56.0,59.89478012
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28.0,36.349864196
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7.0,52.61391356
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3.0,14.69962832
277.05,0.0,97.39,160.6,11.83,973.9,875.61,28.0,48.28400428
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256000005
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28.0,27.3377234
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28.0,28.629801423999997
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7.0,39.300132
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180.0,51.04190828
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28.0,43.942373908
203.5,305.3,0.0,203.5,0.0,963.4,630.0,3.0,9.561653168
480.0,0.0,0.0,192.0,0.0,936.0,721.0,90.0,54.27555072
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28.0,27.681082448
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,14.0,42.21661548
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14.0,21.60128308
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.296075096
359.0,19.0,141.0,154.0,10.91,942.0,801.0,7.0,35.75425543054136
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100.0,63.528318639999995
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28.0,32.720462532
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7.0,25.447869684
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28.0,37.404073
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28.0,33.71882378
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0,19.69143456
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28.0,40.0585556
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28.0,36.93522932
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28.0,13.293786756
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180.0,71.62276688
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,14.0,25.48303296
385.0,0.0,0.0,186.0,0.0,966.0,763.0,7.0,23.221551679999997
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56.0,66.82401392
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3.0,37.79707432
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.20178676
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28.0,32.83974188
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,11.46598588
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28.0,29.870858223999996
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56.0,64.90037588
143.6,0.0,174.9,158.4,17.9,942.7,844.5,28.0,15.42357812
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7.0,34.569637164
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7.0,19.35014394
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3.0,24.40055564
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120.0,38.70028788
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3.0,18.01600788
166.0,259.7,0.0,183.2,12.7,858.8,826.8,28.0,37.917043144
