AT,V,AP,RH,PE
10.47,41.06,1022.24,81.16,477.47
7.38,41.22,1016.47,96.29,485.73
28.07,64.09,1005.41,64.09,436.61
15.06,39.3,1019.63,63.32,464.15
30.71,68.27,1007.76,68.04,428.27
10.82,39.96,1025.53,95.89,468.57
26.54,69.48,1010.7,66.09,432.56
14.16,44.58,1020.75,77.42,473.22
6.67,39.33,1011.07,91.96,490.03
24.95,64.33,1011.34,81.05,440.97
16.55,46.18,1009.97,96.54,455.8
11.71,41.44,1015.37,79.95,474.22
23.76,70.32,1012.13,78.84,434.64
15.95,42.24,1017.71,69.32,465.35
27.19,64.96,1006.71,73.99,428.79
18.71,39.39,1014.09,62.82,465.57
9.95,41.82,1033.09,69.44,477.52
11.21,39.85,1013.01,75.55,480.61
24.2,60.77,1016.92,71.65,439.13
5.5,39.04,1021.46,78.91,478.65
14.38,45.09,1012.95,86.1,464.27
18.56,67.71,1004.77,85.28,444.9
27.88,63.87,1017.79,40.0,443.24
5.21,41.31,1003.51,91.23,486.46
30.66,66.25,1007.67,63.03,439.55
16.55,39.64,1009.07,77.8,465.29
13.85,48.92,1011.68,79.24,462.38
31.35,68.67,1005.26,66.85,433.73
6.4,39.9,1007.75,86.55,486.03
25.42,69.71,1009.29,82.5,435.59
14.38,45.09,1012.95,86.1,464.27
12.06,52.72,1024.53,80.05,467.21
19.94,44.63,1004.73,78.48,455.58
14.07,40.78,1024.67,72.66,456.71
21.96,71.85,1009.38,75.98,441.52
13.9,39.59,1011.84,94.74,465.0
27.11,66.49,1013.71,39.28,435.79
24.82,72.99,1007.81,84.72,435.68
18.75,44.9,1007.99,75.76,452.77
30.99,69.82,1009.41,50.84,437.46
18.59,39.54,1008.56,68.61,462.56
14.08,43.41,1015.59,54.15,466.99
13.95,38.73,1003.87,83.94,468.21
25.43,69.13,1002.2,86.44,431.53
11.88,41.58,1016.56,90.18,465.47
22.25,60.77,1017.8,82.19,444.05
4.32,35.47,1017.8,88.51,488.03
15.03,35.71,1015.26,56.55,467.61
10.12,41.55,1005.78,62.34,475.46
26.96,73.68,1013.81,84.77,429.48
22.54,63.91,1012.15,84.91,446.64
16.22,46.36,1020.04,91.73,460.73
7.6,41.04,1021.82,88.97,475.32
29.01,65.71,1013.61,48.07,446.22
28.18,66.56,1005.69,65.67,426.79
7.57,41.14,1028.23,87.97,477.8
16.21,41.23,995.88,80.0,463.09
21.48,66.91,1008.58,84.49,447.42
24.12,51.43,1006.55,83.77,441.49
11.58,41.74,1020.41,74.09,478.06
24.2,60.95,1014.82,59.42,448.43
31.35,68.67,1005.26,66.85,433.73
27.19,71.58,1010.85,76.1,436.77
5.49,40.81,1014.43,90.41,487.36
19.94,44.9,1008.52,74.69,459.47
25.3,70.98,1007.22,95.1,440.86
25.25,58.46,1015.54,70.76,444.05
19.73,69.51,1013.14,61.84,450.99
24.14,62.66,1007.33,73.27,439.93
29.24,69.05,1003.12,43.18,432.56
26.64,73.56,1004.98,93.31,432.93
14.16,44.58,1020.75,77.42,473.22
17.02,44.85,1014.38,62.66,459.98
26.48,66.54,1011.61,51.9,438.87
18.48,50.16,1011.45,99.92,452.06
10.23,41.46,1018.89,83.06,479.48
22.54,63.91,1012.15,84.91,446.64
23.24,68.31,1009.71,80.8,440.78
18.13,49.39,1021.29,82.52,458.53
27.59,54.2,1013.1,51.61,439.31
10.52,41.01,1020.35,93.58,466.75
15.37,43.34,1014.84,80.37,460.02
29.05,65.74,1013.29,60.02,440.74
12.65,44.0,1023.03,88.73,471.46
28.61,70.36,1006.95,73.06,440.16
12.39,44.58,1016.38,84.95,475.37
25.3,70.98,1007.22,95.1,440.86
12.72,44.9,1007.6,71.8,463.49
21.1,49.16,1006.76,86.08,442.78
23.06,56.85,1012.5,64.03,440.03
19.78,54.42,1011.74,89.34,456.84
22.84,71.25,1001.9,96.45,433.85
10.28,41.46,1018.44,85.23,479.66
13.33,54.3,1016.77,80.32,468.1
10.57,41.55,1003.62,67.89,475.6
22.84,71.25,1001.9,96.45,433.85
13.93,44.9,1022.15,85.93,470.59
7.38,41.22,1016.47,96.29,485.73
24.19,46.93,1013.4,49.39,446.3
29.27,64.69,1006.85,55.79,438.23
29.05,65.74,1013.29,60.02,440.74
4.32,35.47,1017.8,88.51,488.03
18.99,59.27,1012.15,89.39,453.4
7.51,43.02,1014.35,86.46,485.38
13.44,39.39,1012.93,84.29,469.67
27.5,65.34,1014.93,47.46,439.59
29.25,78.87,1012.05,84.28,430.49
12.04,40.1,1014.42,89.65,474.28
24.93,73.5,1011.28,83.09,437.35
25.17,68.08,1012.83,60.87,437.01
25.3,71.29,1007.86,62.98,437.17
13.46,41.4,1019.46,71.73,467.4
6.67,39.33,1011.07,91.96,490.03
6.1,39.33,1010.4,95.34,491.37
18.71,39.39,1014.09,62.82,465.57
17.03,58.49,1011.91,92.16,460.48
20.74,58.2,1017.54,70.66,450.4
22.86,62.52,1016.23,70.67,447.96
27.88,63.87,1017.79,40.0,443.24
16.15,44.21,1020.76,85.41,462.02
