Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3.0,19.93275116
238.05,0.0,94.11,186.66,7.0,949.91,847.01,28.0,30.2335226
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3.0,23.80071152
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,3.0,19.41564416
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28.0,69.83702404
310.0,0.0,0.0,192.0,0.0,970.0,850.0,360.0,38.11423328
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56.0,48.587373719999995
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.887365759999994
446.0,24.0,79.0,162.0,11.61,967.0,712.0,3.0,35.36322404
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.69990824
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28.0,39.05192064
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90.0,47.22221124
325.6,166.4,0.0,174.0,8.9,881.6,790.0,28.0,61.23581094
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100.0,63.528318639999995
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28.0,39.84481804
290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0,45.08483564
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7.0,7.83934212
250.2,166.8,0.0,203.5,0.0,977.6,694.1,28.0,36.964187312
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56.0,29.97841648
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360.0,33.70158688
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28.0,55.50971276
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.407950056
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7.0,17.236210524
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28.0,15.41668336
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69225402399999
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958
