frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
1000.0,8.9,0.1016,39.6,0.0124596,129.58
5000.0,3.3,0.1016,39.6,0.00245138,122.371
2000.0,4.0,0.3048,39.6,0.00579636,120.963
1000.0,3.0,0.3048,55.5,0.00452492,129.329
2500.0,0.0,0.1016,31.7,0.00150092,132.003
800.0,0.0,0.1524,39.6,0.00193287,127.903
1600.0,4.0,0.2286,39.6,0.00473801,125.319
630.0,5.4,0.1524,39.6,0.00485029,132.357
630.0,1.5,0.3048,39.6,0.00392107,128.311
1000.0,8.9,0.1016,71.3,0.0103088,135.433
1250.0,15.4,0.0508,39.6,0.0282593,126.743
10000.0,12.7,0.0254,39.6,0.0130253,116.017
5000.0,8.4,0.0508,55.5,0.00544854,115.812
2500.0,0.0,0.1016,55.5,0.00131983,133.04
3150.0,0.0,0.1016,39.6,0.00146332,130.961
200.0,11.2,0.0508,71.3,0.014072,125.941
10000.0,0.0,0.0254,31.7,0.000439472,134.227
800.0,5.4,0.1524,71.3,0.00401199,131.281
2000.0,0.0,0.1524,39.6,0.00193287,129.633
12500.0,0.0,0.0254,39.6,0.000428464,129.116
400.0,12.3,0.1016,71.3,0.0337792,139.428
1250.0,6.7,0.1016,31.7,0.00592927,129.256
250.0,7.3,0.2286,55.5,0.0111706,136.384
800.0,0.0,0.1016,71.3,0.00121072,126.805
2000.0,2.0,0.2286,39.6,0.00346574,122.797
6300.0,0.0,0.3048,71.3,0.00266337,119.541
500.0,2.0,0.2286,71.3,0.00293031,126.486
6300.0,3.0,0.3048,55.5,0.00452492,115.679
400.0,8.4,0.0508,31.7,0.00580776,120.076
5000.0,7.3,0.2286,71.3,0.0104404,115.298
4000.0,8.4,0.0508,71.3,0.00529514,126.926
3150.0,2.0,0.2286,39.6,0.00346574,121.627
5000.0,3.3,0.1016,31.7,0.00251435,122.082
2000.0,4.0,0.2286,31.7,0.00509068,122.089
4000.0,4.2,0.0508,39.6,0.00152689,131.807
2000.0,0.0,0.0254,31.7,0.000439472,130.697
5000.0,4.8,0.0254,31.7,0.000930789,135.248
10000.0,0.0,0.0508,39.6,0.000791822,125.998
2000.0,1.5,0.3048,71.3,0.00336729,126.642
630.0,5.3,0.2286,39.6,0.00614329,132.011
315.0,9.9,0.1524,55.5,0.0208438,132.355
2500.0,12.7,0.0254,71.3,0.0121808,134.058
315.0,0.0,0.3048,31.7,0.00331266,122.765
6300.0,3.3,0.1016,55.5,0.002211,123.839
4000.0,9.9,0.1524,55.5,0.0208438,112.945
1600.0,9.9,0.1524,55.5,0.0208438,119.875
6300.0,1.5,0.3048,71.3,0.00336729,118.122
4000.0,15.4,0.0508,39.6,0.0282593,118.113
1000.0,0.0,0.3048,71.3,0.00266337,125.201
315.0,3.0,0.3048,39.6,0.00495741,123.312
1000.0,0.0,0.0508,39.6,0.000791822,127.638
630.0,2.7,0.1524,39.6,0.00294804,125.809
1250.0,0.0,0.2286,31.7,0.0027238,128.805
315.0,15.4,0.0508,55.5,0.0271925,125.39
4000.0,12.3,0.1016,55.5,0.0368233,114.404
1250.0,3.3,0.1016,55.5,0.002211,132.769
2000.0,17.4,0.0254,31.7,0.0176631,124.356
5000.0,0.0,0.1524,71.3,0.0015988,126.457
1600.0,2.0,0.2286,31.7,0.00372371,125.797
630.0,9.5,0.0254,71.3,0.00420654,125.726
400.0,2.0,0.2286,71.3,0.00293031,125.116
