AT,V,AP,RH,PE
22.7,63.56,1014.32,71.76,472.49
31.19,68.3,1014.86,39.1,480.49
24.31,44.05,1006.16,73.3,442.69
12.15,38.78,1013.34,95.05,474.15
27.44,59.74,1010.99,56.42,452.0
22.84,50.05,1005.59,79.49,489.44
25.31,65.48,1018.31,55.57,439.72
27.11,70.04,1009.76,71.25,431.96
24.9,67.25,1017.77,66.17,446.33
4.08,35.19,1018.87,97.07,478.34
30.83,71.58,1009.92,48.8,432.11
29.22,72.39,1000.87,77.39,430.24
26.05,44.89,1009.83,56.36,443.18
15.97,45.01,1016.58,83.24,456.91
7.19,38.91,1016.53,88.61,486.05
22.0,59.54,1004.55,95.25,436.36
20.47,63.07,1012.79,88.67,451.71
12.33,38.91,1017.24,79.84,454.87
19.5,65.12,1015.53,73.87,453.99
20.4,54.9,1016.68,64.26,452.56
14.46,44.78,1007.64,67.03,459.31
33.72,74.33,1011.4,37.51,427.3
19.69,56.65,1020.86,70.02,468.85
24.81,60.95,1014.72,54.71,456.68
9.29,35.77,1015.34,63.29,475.88
17.48,46.21,1014.02,80.78,455.35
29.59,74.78,1009.45,55.75,436.77
18.16,43.72,1008.64,75.22,454.98
20.61,44.63,1008.54,77.54,442.85
5.95,39.48,1005.16,63.6,492.22
18.37,58.96,1015.5,67.79,460.25
14.43,41.76,1024.02,83.57,467.33
13.5,44.92,1023.87,87.17,464.27
7.72,41.14,1025.11,96.75,472.45
16.62,39.99,1007.07,77.14,463.74
30.33,70.36,1006.72,70.31,438.47
8.03,40.67,1020.13,70.87,492.26
21.94,57.5,1014.64,78.52,451.1
23.89,64.27,1013.37,75.22,450.82
25.74,63.73,1010.88,70.87,441.9
21.81,65.06,1014.6,66.41,447.13
22.23,46.93,1013.09,58.02,448.27
9.18,42.44,1014.52,98.04,464.27
13.76,45.08,1023.77,80.48,469.74
31.33,76.86,997.85,64.43,431.44
22.88,71.73,1010.11,86.96,463.49
26.88,74.78,1010.42,64.81,440.84
20.0,69.48,1011.05,85.51,448.79
26.3,71.94,1006.64,85.12,428.83
9.25,41.26,1020.51,91.21,473.87
6.29,43.65,1020.68,70.14,430.48
31.42,70.17,999.3,61.22,430.78
25.25,62.91,1012.51,62.64,443.14
26.65,66.48,1005.7,65.09,436.65
27.44,66.56,1005.51,69.28,428.0
7.5,40.02,1031.39,82.53,476.01
11.41,40.1,1014.27,91.17,476.81
16.72,44.34,1019.26,63.77,465.89
26.9,59.14,1016.18,70.88,439.37
14.38,45.09,1012.95,86.1,444.01
17.51,44.9,1009.05,74.91,455.01
14.12,42.86,1011.84,88.29,471.86
9.44,39.82,1013.26,91.55,483.18
9.74,41.01,1019.12,98.39,465.8
22.07,70.72,1010.52,82.96,442.88
26.6,63.07,1011.97,61.3,442.25
14.22,40.83,1009.2,81.32,469.75
23.62,56.85,1011.11,64.44,432.46
13.83,38.73,999.62,91.95,469.81
26.82,69.23,1013.28,50.86,436.36
6.33,39.33,1012.06,93.16,445.0
11.57,41.54,1020.13,69.14,428.96
30.52,71.77,1006.22,56.4,426.14
19.26,65.61,1015.03,85.74,451.85
25.15,57.32,1012.41,41.84,440.1
30.9,70.8,1008.48,67.48,435.27
27.56,68.08,1010.8,59.18,433.95
24.32,59.14,1017.46,80.14,438.08
8.36,40.67,1014.99,73.65,489.1
29.09,72.43,1006.86,65.47,442.96
28.53,69.84,1004.46,68.03,427.72
9.68,41.48,1018.24,71.04,473.31
29.01,70.04,1010.02,57.35,430.26
14.64,42.77,1017.59,79.6,476.89
26.65,73.18,1012.27,83.12,437.7
23.95,66.48,1003.55,73.68,437.16
26.31,44.57,1007.51,52.6,452.73
13.32,41.7,1020.22,88.3,451.93
15.71,40.12,1012.81,97.46,446.48
22.02,46.93,1014.32,55.92,451.92
4.16,35.47,1017.72,88.49,486.7
20.71,45.61,1013.64,82.39,457.4
13.0,48.79,1017.14,85.23,464.12
10.23,42.32,1017.53,89.93,473.59
12.0,39.35,1015.48,82.51,476.64
27.5,49.3,1004.02,59.23,439.77
12.1,40.27,1005.53,68.37,477.61
9.23,39.66,1019.44,76.11,433.71
8.87,41.16,1023.17,94.13,436.16
9.51,40.46,1018.84,70.12,471.32
18.28,60.1,1009.72,85.79,452.93
29.12,67.83,1008.05,46.86,486.07
16.46,61.27,1020.02,74.54,456.64
11.02,41.17,1018.18,86.86,477.62
24.47,58.05,1011.27,71.7,446.93
20.86,57.32,1010.24,76.64,485.8
24.82,59.27,1012.76,72.34,444.81
14.66,42.07,1018.14,84.68,462.77
21.89,45.38,1014.42,68.95,459.45
13.86,40.66,1017.15,83.82,462.6
26.03,59.07,1007.3,82.52,440.6
22.07,48.41,1008.71,81.29,431.87
24.96,65.18,1012.68,76.19,436.24
29.05,70.32,1011.33,72.5,481.77
23.74,72.43,1007.99,91.36,437.55
22.32,47.93,1004.07,86.95,440.21
6.18,41.38,1020.23,81.38,490.81
13.78,38.28,1014.8,81.19,467.43
28.42,75.23,1010.25,56.8,435.64
21.04,50.32,1008.41,90.19,446.09
