Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
148.0,0.0,182.0,839.0,15.0,181.0,884.0,28.0,15.52010476
212.0,141.3,0.0,973.4,0.0,203.5,750.0,28.0,33.003837168
381.4,0.0,0.0,1104.6,0.0,185.7,784.3,28.0,22.489328168
310.0,0.0,0.0,970.0,0.0,192.0,850.0,360.0,38.11423328
233.81,0.0,94.58,947.04,4.567,197.89,852.16,56.0,27.66177712
359.0,19.0,141.0,942.0,10.91,154.0,801.0,3.0,23.63917714581204
212.0,0.0,124.78,1085.4,7.84,159.0,799.54,100.0,47.8151606
190.34,0.0,125.18,1079.0,9.88,166.61,798.9,28.0,24.84871504
322.0,0.0,116.0,818.0,10.0,196.0,813.0,28.0,31.17810472
203.5,305.3,0.0,963.4,0.0,203.5,630.0,7.0,19.539060364
181.38,0.0,167.01,1055.6,7.56,169.59,777.8,3.0,13.62404576
249.1,0.0,98.75,987.76,12.8,158.11,889.01,28.0,30.84715624
333.0,0.0,0.0,931.2,0.0,192.0,842.6,28.0,31.966865263999996
148.1,0.0,182.1,838.9,15.0,181.4,884.3,28.0,15.526310044
237.5,237.5,0.0,932.0,0.0,228.0,594.0,365.0,38.995383608
401.8,94.7,0.0,946.8,11.4,147.4,852.1,56.0,73.69808963999999
229.68,0.0,118.16,1028.1,6.13,195.23,757.63,100.0,40.85834776
214.9,53.8,121.89,1014.3,9.61,155.63,780.58,28.0,52.20022796
277.0,0.0,0.0,968.0,0.0,191.0,856.0,28.0,25.96566616
374.0,189.2,0.0,926.1,10.1,170.1,756.7,3.0,34.39795764
212.52,0.0,100.37,1007.8,8.71,159.32,903.59,28.0,31.64005364
255.0,0.0,0.0,889.8,0.0,192.0,945.0,28.0,18.746162964
295.8,0.0,0.0,1091.4,0.0,185.7,769.3,28.0,25.216895224
289.0,0.0,0.0,913.2,0.0,192.0,895.3,7.0,14.596896395999998
212.57,0.0,100.39,1003.8,10.37,159.35,903.79,14.0,25.3727168
525.0,0.0,0.0,1125.0,0.0,189.0,613.0,7.0,42.42345828
144.0,0.0,175.0,943.0,18.0,158.0,844.0,28.0,15.41668336
251.37,0.0,118.27,1028.4,6.35,188.45,757.73,56.0,36.63875464
183.9,122.6,0.0,959.2,0.0,203.5,800.0,7.0,10.787541496
313.0,0.0,0.0,1000.0,8.0,178.0,822.0,28.0,25.0969264
387.0,20.0,94.0,938.0,13.93,157.0,845.0,3.0,25.510612
210.7,316.1,0.0,977.0,0.0,185.7,689.3,7.0,21.819846971999997
200.0,133.0,0.0,965.4,0.0,192.0,806.2,3.0,11.41427518
153.0,145.0,113.0,867.0,8.0,178.0,824.0,28.0,26.22766704
480.0,0.0,0.0,936.2,0.0,192.0,712.2,3.0,24.404692496
167.0,75.4,167.0,1007.3,7.91,164.03,770.1,3.0,15.52010476
173.81,93.37,159.9,1007.2,9.73,172.34,746.6,100.0,50.93848688
236.0,0.0,0.0,968.0,0.0,193.0,885.0,365.0,25.08313688
108.3,162.4,0.0,938.2,0.0,203.5,849.0,3.0,2.331807832
164.6,0.0,150.4,1023.3,11.7,181.6,728.9,28.0,18.033934256
203.5,135.7,0.0,1076.2,0.0,185.7,759.3,7.0,11.957582268
254.0,0.0,0.0,968.0,0.0,198.0,863.0,180.0,27.62730332
356.0,0.0,142.0,801.0,11.0,193.0,778.0,28.0,40.865242519999995
167.0,75.4,167.0,1007.3,7.91,164.03,770.1,56.0,53.46196904
173.0,116.0,0.0,946.8,0.0,192.0,856.8,3.0,6.940954892
250.2,166.8,0.0,977.6,0.0,203.5,694.1,28.0,36.964187312
156.0,178.0,187.0,854.0,7.0,221.0,614.0,28.0,29.41304616
387.0,20.0,94.0,938.0,13.93,157.0,845.0,28.0,46.68441996
540.0,0.0,0.0,1055.0,2.5,162.0,676.0,28.0,61.887365759999994
375.0,93.8,0.0,852.1,23.4,126.6,992.6,91.0,62.5009994
212.57,0.0,100.39,1003.8,10.37,159.35,903.79,28.0,37.404073
202.0,11.0,141.0,942.0,1.72,206.0,801.0,56.0,23.24519085418796
154.8,0.0,142.8,877.2,9.1,193.3,867.7,28.0,9.738159024
516.0,0.0,0.0,801.0,8.26,162.0,802.0,28.0,41.36856
166.09,0.0,163.27,1058.6,4.49,176.46,780.09,3.0,10.76272036
516.0,0.0,0.0,801.0,8.2,162.0,802.0,28.0,41.36856
290.35,0.0,96.18,961.18,9.41,168.08,865.0,28.0,34.73580088
182.04,45.21,121.97,1059.4,8.19,170.21,780.65,56.0,43.49904084
