Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
356.0,119.0,0.0,160.0,9.03,1061.0,657.0,28.0,59.0
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14.0,36.0
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56.0,43.0
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28.0,45.0
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28.0,42.0
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28.0,42.0
222.36,0.0,96.67,189.29,4.46,967.08,870.32,28.0,25.0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.0
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3.0,5.0
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14.0,32.0
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28.0,39.0
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180.0,72.0
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,14.0,33.0
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3.0,39.0
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28.0,28.0
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28.0,37.0
393.0,0.0,0.0,192.0,0.0,940.6,785.6,3.0,19.0
233.81,0.0,94.58,197.89,4.567,947.04,852.16,3.0,10.0
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90.0,55.0
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14.0,24.0
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100.0,56.0
359.0,19.0,141.0,154.0,10.91,942.0,801.0,7.0,39.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,41.0
