frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
6300.0,7.3,0.2286,71.3,0.0104404,115.818
1250.0,4.8,0.0254,39.6,0.000907475,125.026
400.0,9.5,0.0254,39.6,0.00449821,121.154
1600.0,22.2,0.0254,71.3,0.0214178,131.817
3150.0,2.0,0.2286,55.5,0.00313525,123.742
2500.0,9.9,0.1524,55.5,0.0208438,118.365
1000.0,8.4,0.0508,55.5,0.00544854,130.722
1000.0,0.0,0.3048,55.5,0.00283081,126.966
800.0,0.0,0.2286,55.5,0.00229336,127.53
1250.0,11.2,0.0508,71.3,0.014072,136.191
12500.0,1.5,0.3048,39.6,0.00392107,106.111
2500.0,1.5,0.3048,39.6,0.00392107,120.981
2500.0,12.6,0.1524,71.3,0.0483159,115.234
400.0,15.4,0.0508,71.3,0.0264269,126.805
1250.0,9.9,0.1524,71.3,0.0193001,122.679
630.0,2.7,0.1524,39.6,0.00294804,125.809
2500.0,7.2,0.1524,71.3,0.00752039,124.353
400.0,3.0,0.3048,55.5,0.00452492,126.159
6300.0,15.4,0.0508,55.5,0.0271925,112.93
2000.0,4.8,0.0254,71.3,0.000848633,128.398
500.0,12.3,0.1016,55.5,0.0368233,133.774
1250.0,0.0,0.2286,31.7,0.0027238,128.805
500.0,17.4,0.0254,31.7,0.0176631,127.676
3150.0,3.3,0.1016,55.5,0.002211,130.629
12500.0,0.0,0.0508,31.7,0.000812164,119.07
1250.0,12.3,0.1016,39.6,0.0408268,121.165
800.0,15.4,0.0508,39.6,0.0282593,128.423
4000.0,22.2,0.0254,71.3,0.0214178,123.917
3150.0,4.0,0.3048,39.6,0.00579636,118.743
630.0,19.7,0.0508,71.3,0.0341183,128.365
12500.0,0.0,0.0254,71.3,0.000400682,133.207
2500.0,4.0,0.3048,71.3,0.00497773,123.775
2000.0,0.0,0.3048,31.7,0.00331266,122.375
800.0,7.3,0.2286,31.7,0.0132672,123.209
400.0,12.7,0.0254,71.3,0.0121808,125.048
630.0,4.8,0.0254,31.7,0.000930789,120.078
3150.0,3.0,0.3048,55.5,0.00452492,120.189
2500.0,17.4,0.0254,55.5,0.0165706,124.931
2000.0,5.4,0.1524,71.3,0.00401199,131.111
1000.0,4.0,0.2286,71.3,0.00400603,131.708
2000.0,9.9,0.1524,31.7,0.0252785,116.859
3150.0,0.0,0.3048,71.3,0.00266337,125.201
2500.0,0.0,0.1016,39.6,0.00146332,132.611
16000.0,0.0,0.1524,55.5,0.00172668,112.803
800.0,9.9,0.1524,55.5,0.0208438,126.565
2000.0,12.3,0.1016,39.6,0.0408268,114.085
630.0,3.3,0.1016,39.6,0.00245138,127.251
800.0,0.0,0.1016,55.5,0.00131983,127.92
6300.0,7.2,0.1524,71.3,0.00752039,116.603
800.0,1.5,0.3048,39.6,0.00392107,128.831
400.0,11.2,0.0508,71.3,0.014072,129.281
500.0,4.0,0.2286,55.5,0.0042862,127.314
2500.0,15.4,0.0508,55.5,0.0271925,125.63
4000.0,8.4,0.0508,71.3,0.00529514,126.926
3150.0,0.0,0.0254,55.5,0.00041229,130.503
800.0,7.2,0.1524,39.6,0.00909175,132.358
2000.0,0.0,0.1016,31.7,0.00150092,133.153
2000.0,4.8,0.0254,31.7,0.000930789,130.148
800.0,2.7,0.1524,71.3,0.00243851,127.394
400.0,0.0,0.3048,39.6,0.00310138,124.809
4000.0,4.0,0.2286,31.7,0.00509068,118.859
5000.0,9.9,0.1524,39.6,0.0233328,111.135
400.0,9.5,0.0254,31.7,0.00461377,124.756
400.0,15.4,0.0508,31.7,0.0289853,123.705
6300.0,9.9,0.1524,71.3,0.0193001,112.039
6300.0,2.7,0.1524,71.3,0.00243851,121.944
2000.0,0.0,0.1524,55.5,0.00172668,129.673
2000.0,4.0,0.2286,39.6,0.00473801,121.659
2500.0,0.0,0.0254,71.3,0.000400682,133.707
250.0,11.2,0.0508,39.6,0.0150478,126.43
2000.0,0.0,0.1016,55.5,0.00131983,132.54
1250.0,5.4,0.1524,39.6,0.00485029,127.117
1600.0,5.3,0.2286,71.3,0.0051942,130.46
4000.0,15.4,0.0508,39.6,0.0282593,118.113
200.0,9.9,0.1524,71.3,0.0193001,134.319
1000.0,15.6,0.1016,71.3,0.0437259,124.438
1000.0,0.0,0.0508,31.7,0.000812164,126.78
1600.0,6.7,0.1016,39.6,0.00578076,127.375
1600.0,4.8,0.0254,55.5,0.000873218,121.474
1000.0,2.0,0.2286,39.6,0.00346574,129.147
1250.0,6.7,0.1016,39.6,0.00578076,132.395
2500.0,2.7,0.1524,39.6,0.00294804,125.589
1600.0,0.0,0.0254,39.6,0.000428464,124.156
250.0,4.0,0.2286,31.7,0.00509068,120.189
2000.0,6.7,0.1016,71.3,0.00478288,134.568
1250.0,15.4,0.0508,55.5,0.0271925,130.0
2000.0,4.2,0.0508,39.6,0.00152689,132.587
250.0,12.6,0.1524,39.6,0.0584113,115.89
800.0,4.0,0.2286,39.6,0.00473801,130.469
4000.0,0.0,0.2286,39.6,0.00253511,123.465
1600.0,5.4,0.1524,55.5,0.00433288,130.567
800.0,7.3,0.2286,55.5,0.0111706,128.444
1000.0,19.7,0.0508,39.6,0.036484,118.904
2000.0,17.4,0.0254,39.6,0.0172206,126.644
4000.0,0.0,0.1016,71.3,0.00121072,130.935
4000.0,0.0,0.2286,71.3,0.00214345,125.824
10000.0,1.5,0.3048,39.6,0.00392107,108.991
1000.0,5.4,0.1524,55.5,0.00433288,132.127
800.0,17.4,0.0254,31.7,0.0176631,139.226
2500.0,0.0,0.0254,55.5,0.00041229,130.073
400.0,17.4,0.0254,55.5,0.0165706,115.461
630.0,9.5,0.0254,55.5,0.0043284,125.452
1000.0,9.5,0.0254,55.5,0.0043284,130.332
800.0,6.7,0.1016,31.7,0.00592927,132.886
4000.0,0.0,0.1016,55.5,0.00131983,129.5
800.0,12.6,0.1524,39.6,0.0584113,116.56
16000.0,0.0,0.2286,71.3,0.00214345,114.984
1250.0,0.0,0.2286,71.3,0.00214345,128.144
2000.0,12.7,0.0254,71.3,0.0121808,134.228
800.0,0.0,0.3048,39.6,0.00310138,129.099
400.0,2.0,0.2286,55.5,0.00313525,122.292
4000.0,0.0,0.1016,31.7,0.00150092,126.933
1250.0,15.4,0.0508,39.6,0.0282593,126.743
1000.0,6.7,0.1016,55.5,0.0052139,137.233
2000.0,2.0,0.2286,71.3,0.00293031,126.896
4000.0,17.4,0.0254,39.6,0.0172206,122.724
400.0,7.2,0.1524,71.3,0.00752039,130.123
1600.0,7.3,0.2286,31.7,0.0132672,119.039
5000.0,0.0,0.1524,31.7,0.00209405,122.397
3150.0,0.0,0.1524,71.3,0.0015988,129.377
