Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7.0,21.179323768
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.69717028
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.79825348
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243671999994
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180.0,27.62730332
147.0,115.0,89.0,202.0,9.0,860.0,829.0,28.0,19.98790924
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56.0,42.54756396
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28.0,42.14008364399999
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7.0,59.09498796
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28.0,27.874825204
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28.0,55.49592324
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28.0,29.89223198
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28.0,33.306517131999996
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28.0,26.147687824
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28.0,32.72253096
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7.0,21.16001844
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1.0,6.26733684
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3.0,9.4458212
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56.0,53.95839176
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14.0,35.9561734
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28.0,41.05140104
222.36,0.0,96.67,189.29,4.46,967.08,870.32,14.0,24.44881896
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14.0,48.4012152
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360.0,42.1269836
295.71,0.0,95.64,171.54,8.87,955.14,859.2,100.0,52.04164848
277.05,0.0,97.39,160.6,11.83,973.9,875.61,28.0,48.28400428
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28.0,18.287661424
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28.0,31.178794196
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360.0,44.698039603999995
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91.0,74.19451236
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28.0,26.200088
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28.0,25.55887532
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.823194456
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.141962252
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14.0,21.50475644
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,23.51802636
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56.0,72.99482412
491.0,26.0,123.0,201.0,3.93,822.0,699.0,56.0,61.85584685418796
173.0,116.0,0.0,192.0,0.0,946.8,856.8,28.0,24.281965768
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28.0,36.34917472
359.0,19.0,141.0,154.0,10.91,942.0,801.0,28.0,59.494884039999995
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7.0,15.748321315999998
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0,44.0919902
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3.0,10.0318758
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,3.0,16.27852836
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7.0,10.089791784
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28.0,31.38150014
424.0,22.0,132.0,178.0,8.48,822.0,750.0,28.0,62.05284
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,14.0,17.83674412
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180.0,34.48758952
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,14.0,25.62092816
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100.0,49.99390476
277.05,0.0,97.39,160.6,11.83,973.9,875.61,100.0,55.6407132
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100.0,56.63355864
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100.0,48.67011084
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56.0,32.8535314
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,13.71367764
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100.0,56.06129356
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56.0,35.852751999999995
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28.0,20.87043852
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90.0,54.598914963999995
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28.0,23.835874796
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28.0,33.082437432
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28.0,23.84897484
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7.0,17.24379476
317.9,0.0,126.5,209.7,5.7,860.5,736.6,28.0,40.062002979999995
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28.0,32.96384756
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0,63.3973182
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28.0,33.301690799999996
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3.0,41.2996124
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,3.0,17.36790044
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3.0,13.52062436
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.260122448
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,28.0,41.40992856
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3.0,13.5654403
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180.0,29.58541516
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3.0,23.07676172
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,14.0,42.21661548
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.3991368
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90.0,34.6806428
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28.0,22.347985588
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3.0,28.296095039999997
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.908319811999995
140.0,133.0,103.0,200.0,7.0,916.0,753.0,28.0,36.4388066
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28.0,24.49708228
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3.0,7.74971024
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56.0,64.90037588
222.36,0.0,96.67,189.29,4.46,967.08,870.32,100.0,40.7135578
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56.0,51.03501352
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,56.0,46.6430514
250.0,180.0,95.0,159.0,9.45,860.0,800.0,28.0,67.86512268
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91.0,59.19840936
222.36,0.0,96.67,189.29,4.46,967.08,870.32,56.0,29.447519959999997
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56.0,80.19984832
387.0,20.0,94.0,157.0,14.32,938.0,845.0,28.0,50.23522136
355.9,0.0,141.6,193.3,11.0,801.4,778.4,28.0,40.8686899
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3.0,17.22311048
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28.0,39.58281716
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14.0,33.08795324
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28.0,49.77327244
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,31.25394708
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,25.02108404
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100.0,63.528318639999995
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28.0,55.94408264
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7.0,21.48062478
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28.0,17.275510655999998
202.0,11.0,141.0,206.0,1.72,942.0,801.0,3.0,9.84965714581204
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14.0,31.35047372
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360.0,41.24445432
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28.0,32.768036376000005
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871315999999
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,28.0,38.500339839999995
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28.0,33.7153764
250.0,0.0,95.69,191.84,5.33,948.9,857.2,3.0,8.48744956
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7.0,9.617500724
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3.0,14.306627
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,3.0,15.52010476
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90.0,54.315540328
