AT,V,AP,RH,PE
30.02,68.24,65.73,1009.8,429.5
26.09,70.4,85.37,1007.41,432.52
32.25,77.54,54.57,1010.46,430.86
19.82,63.9,78.96,1013.19,449.61
12.24,49.83,94.28,1007.9,466.83
11.92,41.2,81.24,1016.99,476.0
12.58,43.67,94.01,1012.86,472.65
24.66,63.73,74.52,1011.4,444.37
12.24,34.03,69.27,1018.44,474.18
24.69,71.73,70.54,1010.13,436.78
29.86,69.34,54.12,1007.76,433.57
13.68,45.08,85.26,1024.91,467.02
7.99,41.38,78.77,1021.95,487.57
6.03,41.17,84.2,1019.81,488.57
30.24,68.24,64.67,1009.68,426.25
30.15,69.88,73.67,1007.2,434.75
24.37,73.42,76.01,1010.19,440.29
12.07,43.71,85.62,1025.53,472.32
13.51,43.41,75.22,1015.94,463.86
32.2,72.29,69.94,1008.61,432.52
24.27,60.37,77.16,1005.13,437.78
15.92,37.64,83.73,1014.93,464.14
26.31,72.39,88.43,1001.16,434.53
22.79,44.57,69.36,1007.31,448.91
9.83,41.17,72.29,1019.34,478.21
20.65,41.67,45.27,1012.76,455.5
13.01,41.17,76.2,1017.26,469.48
24.59,71.94,88.52,1006.89,430.28
29.47,71.32,67.0,1008.07,437.14
28.55,74.33,73.34,1011.77,426.48
18.32,47.83,87.21,1005.06,454.11
29.98,47.93,42.73,1002.46,438.79
8.57,41.17,72.47,1020.18,484.2
28.41,61.47,56.56,1008.94,442.54
24.03,45.87,52.48,1007.55,445.84
25.85,67.69,70.14,1007.7,434.0
15.92,41.79,79.42,1006.24,458.68
27.35,77.95,74.14,1012.14,431.72
7.0,38.08,77.67,1020.27,482.38
28.12,44.89,47.14,1009.18,441.13
26.01,74.33,81.22,1015.69,435.82
18.23,62.26,91.35,1011.48,448.64
11.26,40.43,74.67,1025.68,489.66
23.47,51.3,74.1,1011.89,448.65
26.95,70.8,82.95,1009.73,436.8
26.28,75.23,68.35,1011.44,435.28
10.4,45.01,93.48,1018.58,470.79
9.68,39.61,74.5,1015.63,475.02
23.42,73.17,88.39,1012.07,438.22
13.24,39.85,59.99,1012.64,477.22
25.88,74.67,81.09,1016.66,434.81
14.85,45.87,84.65,1009.37,462.67
26.44,71.64,85.53,1004.55,435.61
16.44,53.16,75.29,1014.82,458.49
25.85,75.08,57.73,1006.24,444.63
8.66,36.25,86.96,1028.22,479.66
29.79,77.17,64.0,1009.68,432.84
26.37,70.79,77.3,1005.31,428.5
28.68,61.86,62.67,1011.78,440.57
6.45,35.77,67.84,1018.86,483.12
10.1,41.79,78.07,1019.36,474.09
14.96,43.02,42.93,1012.77,467.16
25.04,70.47,84.75,1006.82,433.1
10.79,39.82,88.25,1012.89,479.92
3.68,39.64,84.05,1011.31,490.02
26.02,70.79,79.12,1004.21,428.72
25.34,59.39,73.58,1014.02,439.8
14.64,44.92,91.12,1025.54,462.64
30.61,69.13,55.17,1009.32,429.1
11.02,40.0,74.83,1015.75,468.09
10.5,40.8,76.05,1024.06,482.85
24.85,67.9,64.55,1005.9,445.18
20.38,66.54,77.8,1013.95,448.93
15.55,43.02,44.66,1011.97,466.2
5.89,39.48,59.83,1005.11,484.91
27.85,66.44,77.15,1008.48,429.0
31.04,74.67,43.32,1015.85,435.17
31.32,71.29,50.07,1008.37,430.46
29.36,78.05,64.17,1011.12,434.29
26.13,71.25,88.47,999.8,430.6
27.04,73.67,77.45,1006.82,431.1
16.87,52.05,71.63,1012.7,460.31
23.48,60.23,79.48,1011.91,437.44
22.79,71.77,90.91,1005.75,435.53
6.77,38.18,81.13,1017.8,484.31
24.56,51.86,68.85,1014.43,447.57
12.0,41.17,58.71,1019.48,474.4
14.69,35.71,57.34,1015.78,467.39
21.18,44.57,73.67,1007.27,449.93
27.45,64.34,65.87,1007.12,440.0
20.77,56.85,83.63,1012.4,442.85
26.18,69.84,72.89,1005.13,431.69
27.15,73.9,74.42,1007.57,433.09
21.42,56.89,84.05,1014.39,444.86
11.3,43.14,99.83,1019.56,469.73
21.83,63.07,87.02,1011.57,443.1
21.44,48.98,54.22,1014.4,454.5
23.68,59.27,83.82,1010.75,440.44
19.82,41.67,51.92,1012.92,456.87
27.5,68.24,73.44,1010.38,430.9
22.46,58.33,68.68,1013.21,445.9
10.03,40.96,91.1,1024.57,478.79
24.57,49.82,65.25,1016.82,452.3
7.54,40.72,85.15,1023.82,485.92
24.69,59.92,80.58,1010.12,436.33
32.42,75.08,41.62,1004.82,436.26
18.75,41.1,59.6,1001.97,458.31
21.31,58.05,88.39,1012.94,446.76
27.31,64.44,57.27,1014.65,442.77
19.8,58.79,87.71,1017.04,449.66
14.4,42.18,77.7,1015.47,464.81
17.18,63.09,93.58,1020.67,451.37
22.44,63.86,64.83,1020.0,447.3
18.93,48.6,84.92,1005.72,449.74
7.84,40.07,47.63,1016.68,488.7
17.36,41.23,63.46,998.08,459.1
9.0,40.78,99.22,1025.39,468.5
13.52,41.48,67.12,1014.46,460.76
18.28,44.2,52.88,1018.83,458.59
27.29,62.66,58.02,1007.63,439.58
