frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
6300.0,0.0,0.0254,31.7,0.000439472,138.537
4000.0,0.0,0.2286,55.5,0.00229336,123.41
2500.0,12.3,0.1016,55.5,0.0368233,117.054
400.0,4.0,0.2286,55.5,0.0042862,123.274
2500.0,17.4,0.0254,71.3,0.016104,126.746
4000.0,0.0,0.3048,55.5,0.00283081,121.106
400.0,19.7,0.0508,39.6,0.036484,130.614
400.0,15.6,0.1016,39.6,0.0528487,120.484
800.0,15.4,0.0508,39.6,0.0282593,128.423
500.0,0.0,0.2286,55.5,0.00229336,123.78
315.0,7.3,0.2286,31.7,0.0132672,130.239
1250.0,7.2,0.1524,39.6,0.00909175,122.428
630.0,3.0,0.3048,55.5,0.00452492,129.569
630.0,12.7,0.0254,71.3,0.0121808,128.878
1600.0,4.8,0.0254,39.6,0.000907475,125.966
4000.0,22.2,0.0254,39.6,0.0229028,119.646
1250.0,2.7,0.1524,39.6,0.00294804,130.829
4000.0,12.3,0.1016,55.5,0.0368233,114.404
250.0,7.2,0.1524,39.6,0.00909175,127.488
2000.0,19.7,0.0508,71.3,0.0341183,120.055
250.0,8.9,0.1016,71.3,0.0103088,134.533
8000.0,3.0,0.3048,39.6,0.00495741,110.652
2000.0,12.3,0.1016,31.7,0.0418756,110.447
3150.0,2.0,0.2286,31.7,0.00372371,121.527
500.0,4.8,0.0254,39.6,0.000907475,116.366
4000.0,3.3,0.1016,71.3,0.00202822,128.704
1600.0,4.8,0.0254,39.6,0.000907475,125.966
630.0,17.4,0.0254,39.6,0.0172206,124.514
1250.0,15.4,0.0508,31.7,0.0289853,123.255
1250.0,0.0,0.0508,71.3,0.000740478,128.56
2500.0,19.7,0.0508,39.6,0.036484,116.184
8000.0,0.0,0.1524,55.5,0.00172668,121.903
2500.0,4.0,0.2286,71.3,0.00400603,124.338
250.0,17.4,0.0254,39.6,0.0172206,114.714
1000.0,8.9,0.1016,71.3,0.0103088,135.433
400.0,0.0,0.2286,31.7,0.0027238,123.635
4000.0,0.0,0.2286,55.5,0.00229336,123.41
2500.0,3.3,0.1016,55.5,0.002211,132.889
1000.0,0.0,0.2286,55.5,0.00229336,128.29
6300.0,0.0,0.3048,71.3,0.00266337,119.541
500.0,4.0,0.2286,55.5,0.0042862,127.314
6300.0,4.0,0.2286,71.3,0.00400603,118.618
800.0,0.0,0.1524,39.6,0.00193287,127.903
800.0,0.0,0.3048,31.7,0.00331266,129.235
1600.0,5.4,0.1524,31.7,0.00525474,123.761
630.0,8.4,0.0508,55.5,0.00544854,126.152
3150.0,7.3,0.2286,31.7,0.0132672,113.229
1000.0,0.0,0.1016,55.5,0.00131983,129.8
6300.0,4.0,0.2286,55.5,0.0042862,117.154
2500.0,4.0,0.2286,55.5,0.0042862,122.384
1250.0,15.4,0.0508,39.6,0.0282593,126.743
1250.0,6.7,0.1016,39.6,0.00578076,132.395
1600.0,8.9,0.1016,39.6,0.0124596,123.82
800.0,3.3,0.1016,39.6,0.00245138,129.991
6300.0,4.0,0.2286,71.3,0.00400603,118.618
1000.0,7.2,0.1524,39.6,0.00909175,128.338
2000.0,7.3,0.2286,39.6,0.0123481,117.809
1000.0,9.5,0.0254,55.5,0.0043284,130.332
4000.0,0.0,0.2286,55.5,0.00229336,123.41
10000.0,12.7,0.0254,39.6,0.0130253,116.017
200.0,11.2,0.0508,39.6,0.0150478,125.01
500.0,9.9,0.1524,31.7,0.0252785,127.179
6300.0,12.6,0.1524,39.6,0.0584113,103.38
2000.0,12.7,0.0254,39.6,0.0130253,129.567
1250.0,1.5,0.3048,71.3,0.00336729,125.872
250.0,17.4,0.0254,39.6,0.0172206,114.714
6300.0,4.2,0.0508,39.6,0.00152689,125.717
2000.0,4.2,0.0508,71.3,0.00142788,129.848
4000.0,0.0,0.3048,71.3,0.00266337,123.061
500.0,11.2,0.0508,71.3,0.014072,130.311
630.0,7.3,0.2286,39.6,0.0123481,128.929
6300.0,5.4,0.1524,71.3,0.00401199,116.411
12500.0,0.0,0.1524,71.3,0.0015988,117.087
1600.0,0.0,0.3048,55.5,0.00283081,126.986
500.0,17.4,0.0254,71.3,0.016104,119.806
4000.0,0.0,0.2286,71.3,0.00214345,125.824
3150.0,2.0,0.2286,39.6,0.00346574,121.627
630.0,9.5,0.0254,55.5,0.0043284,125.452
1250.0,9.9,0.1524,31.7,0.0252785,118.619
630.0,3.0,0.3048,55.5,0.00452492,129.569
1000.0,0.0,0.1016,71.3,0.00121072,128.825
800.0,15.4,0.0508,71.3,0.0264269,131.515
1000.0,0.0,0.1524,71.3,0.0015988,127.307
500.0,11.2,0.0508,71.3,0.014072,130.311
12500.0,4.2,0.0508,71.3,0.00142788,117.328
1000.0,3.0,0.3048,31.7,0.00529514,126.838
2000.0,0.0,0.1524,31.7,0.00209405,128.907
500.0,9.5,0.0254,31.7,0.00461377,126.886
3150.0,12.6,0.1524,39.6,0.0584113,106.26
400.0,6.7,0.1016,31.7,0.00592927,128.296
2000.0,5.4,0.1524,31.7,0.00525474,122.771
8000.0,4.8,0.0254,39.6,0.000907475,131.346
2500.0,0.0,0.1016,39.6,0.00146332,132.611
8000.0,12.7,0.0254,39.6,0.0130253,120.607
6300.0,0.0,0.2286,39.6,0.00253511,117.465
3150.0,4.0,0.3048,71.3,0.00497773,121.775
2000.0,9.9,0.1524,71.3,0.0193001,120.779
4000.0,4.2,0.0508,71.3,0.00142788,133.598
250.0,12.6,0.1524,39.6,0.0584113,115.89
630.0,0.0,0.1016,55.5,0.00131983,126.17
1250.0,6.7,0.1016,31.7,0.00592927,129.256
2000.0,9.9,0.1524,71.3,0.0193001,120.779
1250.0,4.0,0.2286,55.5,0.0042862,131.264
2500.0,2.0,0.2286,31.7,0.00372371,121.407
400.0,0.0,0.2286,39.6,0.00253511,123.565
5000.0,9.5,0.0254,39.6,0.00449821,125.044
2000.0,4.0,0.3048,39.6,0.00579636,120.963
10000.0,0.0,0.2286,71.3,0.00214345,118.134
800.0,7.3,0.2286,55.5,0.0111706,128.444
200.0,11.2,0.0508,39.6,0.0150478,125.01
10000.0,7.2,0.1524,71.3,0.00752039,110.313
1000.0,3.0,0.3048,31.7,0.00529514,126.838
5000.0,5.4,0.1524,31.7,0.00525474,115.691
1250.0,6.7,0.1016,39.6,0.00578076,132.395
630.0,3.0,0.3048,55.5,0.00452492,129.569
1250.0,5.4,0.1524,39.6,0.00485029,127.117
1250.0,4.0,0.3048,39.6,0.00579636,126.343
500.0,5.4,0.1524,55.5,0.00433288,129.367
6300.0,3.0,0.3048,71.3,0.00425727,116.134
200.0,8.9,0.1016,39.6,0.0124596,133.42
