Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180.0,51.04190828
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28.0,26.14492992
355.9,0.0,141.6,193.3,11.0,801.4,778.4,28.0,40.8686899
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28.0,33.60506024
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3.0,41.2996124
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,11.46598588
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28.0,21.7529678
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28.0,44.6090972
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28.0,32.401235144
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7.0,30.9574724
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28.0,38.630650804
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180.0,32.32952964
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,56.0,31.715896
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,56.0,46.6430514
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.116911232
228.0,342.1,0.0,185.7,0.0,955.8,674.3,28.0,39.699338604
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256000005
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3.0,28.99936056
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7.0,23.523542168
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7.0,9.617500724
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28.0,52.20022796
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28.0,28.629801423999997
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.721921436
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28.0,20.593958644
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7.0,17.54026944
424.0,22.0,132.0,168.0,8.92,822.0,750.0,7.0,40.28509771527068
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.09966436
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100.0,39.2311844
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28.0,29.72331036
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,100.0,40.14818748
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28.0,32.39847724
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,14.0,33.70158688
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28.0,33.71882378
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28.0,38.804398756000005
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3.0,4.565020596
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28.0,37.437857324
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0,11.1695112
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28.0,39.321505756
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28.0,46.24315532
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3.0,13.62404576
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28.0,15.526310044
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,56.0,44.395359639999995
290.35,0.0,96.18,168.08,9.41,961.18,865.0,100.0,48.97348028
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28.0,22.347985588
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.20178676
238.05,0.0,94.11,186.66,7.0,949.91,847.01,14.0,25.68987576
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91.0,62.5009994
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28.0,19.765208492
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28.0,40.0585556
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3.0,27.42046052
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28.0,37.265488324
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.516697443999995
264.5,111.0,86.5,195.5,5.9,832.6,790.4,28.0,41.542307951999994
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56.0,39.14844728
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180.0,24.104080959999997
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56.0,72.99482412
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91.0,82.5992248
