AT,V,AP,RH,PE
15.34,36.99,1007.87,94.59,464.58
9.94,40.46,1018.9,68.51,473.74
5.68,40.77,1022.49,90.6,487.58
23.09,69.71,1009.75,91.35,437.7
27.92,74.99,1005.47,75.13,431.76
26.06,67.83,1009.26,66.37,432.28
23.86,74.93,1016.88,71.44,444.38
12.58,43.67,1012.86,94.01,472.65
22.75,59.39,1015.4,81.41,440.26
16.5,44.63,1020.58,64.11,458.78
6.9,40.71,1021.78,94.8,471.43
12.58,43.67,1012.86,94.01,472.65
22.35,65.61,1016.27,73.93,448.41
24.81,63.73,1009.34,83.61,440.43
27.47,69.98,1008.53,58.72,431.11
27.01,71.25,1000.46,87.95,431.38
28.31,50.05,1005.75,50.17,436.75
13.64,44.88,1019.85,56.86,466.66
19.77,56.65,1020.67,66.33,457.09
25.62,58.82,1010.02,70.31,444.14
28.99,68.24,1008.75,66.57,428.28
25.54,48.41,1010.51,55.34,437.58
22.05,48.14,1015.81,69.94,447.37
20.13,60.07,1014.79,63.57,453.49
22.68,70.47,1010.86,82.8,441.47
24.2,68.67,1006.72,78.08,444.09
24.91,69.89,1015.25,82.39,438.29
32.27,71.85,1008.06,59.28,429.72
13.7,43.22,1012.01,71.57,463.99
28.44,69.4,1003.98,73.51,433.44
22.77,69.84,1005.75,84.26,436.75
15.89,41.7,1018.93,82.68,463.33
23.26,64.05,1012.96,88.31,442.75
24.8,72.24,1011.58,83.61,435.25
30.22,68.3,1014.91,34.9,434.3
29.19,65.71,1013.85,50.5,444.49
7.91,37.8,1020.59,61.0,483.49
27.92,74.99,1005.47,75.13,431.76
5.11,42.07,1004.28,81.8,486.41
27.92,74.99,1005.47,75.13,431.76
6.06,43.65,1014.36,83.94,480.74
24.05,61.87,1009.64,54.54,442.16
25.91,75.6,1018.23,62.65,443.2
25.54,48.41,1010.51,55.34,437.58
15.43,38.58,1016.58,81.17,463.44
6.9,40.71,1021.78,94.8,471.43
20.97,44.63,1007.64,73.69,453.26
23.66,72.43,1008.0,89.49,439.02
10.8,41.74,1020.24,78.62,479.32
11.11,37.5,1013.68,73.67,473.32
24.57,66.54,1004.44,83.15,432.41
5.11,42.07,1004.28,81.8,486.41
23.59,43.77,1010.85,55.98,448.42
9.31,43.56,1015.09,79.96,482.55
20.99,50.78,1008.55,75.14,449.07
12.75,39.58,1010.8,77.31,473.46
15.3,43.34,1013.23,82.73,463.7
16.31,52.75,1024.4,55.69,456.58
24.3,69.23,1013.17,59.91,440.56
27.54,51.43,1012.3,54.82,439.8
24.8,50.23,1016.62,63.13,453.56
30.22,68.3,1014.91,34.9,434.3
19.08,44.63,1020.14,43.36,459.81
19.51,50.16,1010.33,94.37,448.28
32.98,71.32,1003.67,49.78,433.56
32.31,66.44,1009.6,63.92,428.44
21.29,59.04,1012.49,84.23,445.37
21.96,69.94,1011.09,80.27,441.15
14.51,42.77,1017.47,81.95,463.37
6.06,43.65,1014.36,83.94,480.74
19.17,52.9,1016.56,65.23,458.59
26.02,68.67,1006.73,75.19,440.12
11.67,37.73,1021.2,68.88,473.54
7.44,38.5,1012.81,70.27,488.12
12.23,41.58,1018.76,87.66,464.45
24.51,62.08,1022.58,57.44,447.04
23.54,70.32,1010.89,80.76,434.45
7.95,40.72,1023.7,84.19,486.14
18.21,41.85,1014.67,56.86,468.4
13.04,40.69,1015.96,82.37,473.49
11.51,41.06,1021.3,78.11,476.91
9.86,42.49,1009.16,81.41,477.78
29.68,64.33,1011.2,57.73,441.79
4.73,41.31,999.77,93.44,486.6
25.41,69.14,1006.4,87.4,436.59
13.46,41.4,1019.46,71.73,467.4
23.19,60.75,1008.33,82.0,439.43
9.86,38.38,1018.22,85.35,479.56
10.8,39.28,1010.7,82.62,478.8
6.9,40.71,1021.78,94.8,471.43
14.19,43.71,1024.38,83.03,467.8
20.56,43.79,1015.85,45.7,462.11
12.91,41.66,1013.37,71.52,469.71
9.48,40.11,1025.49,73.81,472.16
13.35,41.16,1011.32,89.12,474.57
25.42,68.08,1011.2,76.58,433.82
10.2,40.67,1016.15,73.2,482.26
15.75,39.99,1007.02,77.44,464.95
26.2,71.73,1010.14,76.14,430.89
30.65,71.06,1008.61,76.76,432.08
19.35,64.15,1021.37,68.53,457.74
30.68,71.8,1010.81,61.4,435.4
17.76,42.42,1009.09,66.26,468.27
14.87,42.77,1017.94,75.06,462.03
25.62,58.82,1010.02,70.31,444.14
18.63,61.27,1019.69,73.67,454.03
17.2,58.49,1012.06,92.01,458.5
26.93,59.54,1004.02,75.5,437.58
10.61,40.77,1022.09,83.62,471.26
26.94,71.14,1011.63,62.74,434.03
20.97,44.63,1007.64,73.69,453.26
22.77,69.84,1005.75,84.26,436.75
5.66,40.62,1015.87,84.97,485.18
15.62,35.4,1016.19,53.95,467.95
31.18,69.04,1008.19,49.72,441.26
15.85,49.69,1015.48,88.65,464.72
9.64,39.85,1012.9,83.82,478.37
18.59,65.06,1015.75,80.72,450.4
23.09,63.91,1012.23,83.25,447.9
13.45,43.14,1015.5,74.33,474.1
