number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,range_atomic_radius,wtd_mean_ThermalConductivity,critical_temp
3.0,39.64126,1050.26666666667,107.0,3610.417,83.8333333333333,44.0533333333333,64.6752766666667,4.0,142.0,64.5889836458333,17.0
6.0,86.2707333333333,717.0,180.166666666667,3870.23816666667,56.625,7.59366666666667,115.337763333333,2.16666666666667,205.0,104.090783442879,24.4
2.0,141.0835,721.95,189.0,15650.0,44.7,34.5,93.5,6.5,2.0,116.25,9.8
5.0,82.32534,757.08,152.4,4998.2858,58.7,6.8124,136.205316,2.2,171.0,88.5151224266455,52.0
5.0,79.171174,738.22,167.0,4033.4858,66.244,7.2324,126.205316,2.2,205.0,100.340970280942,70.0
2.0,163.8452,705.55,144.0,8545.0,100.75,8.95,37.5,4.5,2.0,22.75,3.77
5.0,62.95894,978.7,120.8,3393.893,149.54,7.572,21.630946,3.6,152.0,27.01562625,23.6
4.0,85.41594875,752.575,163.25,6936.25,53.35,16.75,60.75,3.75,117.0,55.597,21.0
7.0,108.2763,712.971428571429,165.428571428571,5468.77557142857,57.3785714285714,7.566,101.003797142857,2.57142857142857,205.0,100.063483529412,108.0
2.0,67.4025,849.75,129.5,6346.5,106.85,9.6,39.76,4.5,53.0,39.9571859296482,6.99
6.0,98.5317666666667,735.4,161.0,5460.40483333333,69.5,10.4603333333333,109.837763333333,2.66666666666667,171.0,69.9608426666667,89.5
3.0,39.64126,1050.26666666667,107.0,3610.417,83.8333333333333,44.0533333333333,64.6752766666667,4.0,142.0,64.6752766666667,15.75
6.0,102.741978333333,708.95,180.333333333333,4636.23816666667,64.23,7.22033333333333,84.1710966666667,2.33333333333333,205.0,117.371645,79.3
2.0,120.235,770.75,139.0,7003.5,106.75,13.35,45.5,4.5,12.0,65.28,3.76
5.0,103.010254,770.22,150.0,5503.4858,82.226,7.7044,91.205316,2.8,171.0,43.0563163636364,28.5
5.0,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,205.0,174.718082857143,70.0
2.0,96.24835,988.35,132.0,6655.6255,5.0,12.93,11.512915,3.5,152.0,11.5764433735546,6.6
3.0,64.1726395333333,666.933333333333,147.0,5531.0,84.0333333333333,23.1,116.333333333333,4.0,80.0,90.5,15.0
2.0,141.0835,721.95,189.0,15650.0,44.7,34.5,93.5,6.5,2.0,99.87,10.0
2.0,34.08175,687.7,152.5,1940.0,69.485,29.37,175.0,3.0,83.0,167.241379310345,1.35
3.0,94.7487933333333,710.6,156.0,7067.66666666667,105.633333333333,21.8666666666667,60.3333333333333,4.33333333333333,73.0,56.375,11.3
5.0,89.33718,740.52,181.0,4716.6858,72.09,7.9244,89.605316,2.6,205.0,98.9704946245059,46.0
2.0,70.38669,660.7,187.0,6538.5,48.35,22.75,38.0,4.5,22.0,28.9019607843137,7.8
4.0,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,171.0,61.1761739376608,20.3
3.0,20.6991795333333,704.9,116.666666666667,2299.33333333333,24.5666666666667,23.1333333333333,140.666666666667,2.66666666666667,58.0,71.8833333333333,34.7
6.0,103.903966666667,769.1,150.5,5710.23816666667,67.0166666666667,7.58866666666667,113.00443,2.83333333333333,171.0,175.440928070175,105.0
2.0,120.58575,734.95,178.0,14350.0,79.85,26.9,59.0,5.5,14.0,59.0,5.15
6.0,94.186175,709.6,185.5,4954.5715,64.12,9.44366666666667,107.671096666667,2.5,205.0,99.0758507692308,73.0
5.0,103.010254,770.22,150.0,5503.4858,82.226,7.7044,91.205316,2.8,171.0,43.6308618181818,7.5
5.0,89.90228,809.48,162.8,5735.4858,66.17,9.7144,110.605316,2.2,205.0,90.760679533437,32.0
5.0,85.99348,782.78,167.0,5649.2858,69.31,9.0244,101.605316,2.4,205.0,174.936654285714,86.9
5.0,80.0063,855.6,145.8,6681.0858,80.38,14.3844,58.405316,3.8,190.0,37.281645,9.6
5.0,89.33718,740.52,181.0,4716.6858,72.09,7.9244,89.605316,2.6,205.0,96.38662,92.0
6.0,92.1843116666667,714.216666666667,178.0,4678.0715,63.7866666666667,7.69366666666667,107.00443,2.33333333333333,205.0,102.450306549455,80.0
4.0,134.35253,710.4,191.0,10621.5,63.75,11.6375,74.0,3.75,105.0,117.95652173913,0.07
6.0,84.188275,752.466666666667,160.166666666667,4565.5715,66.1,8.69366666666667,110.00443,2.66666666666667,171.0,67.778176,72.4
6.0,107.291233333333,819.183333333333,166.5,8095.90483333333,49.87,10.8586666666667,112.387763333333,2.83333333333333,205.0,103.27829,133.12
4.0,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,205.0,60.9616171428571,6.0
3.0,59.8658983333333,662.3,153.0,6971.33333333333,49.2333333333333,14.8633333333333,53.3333333333333,4.0,35.0,35.5508,5.03
4.0,105.313925,787.375,150.5,6080.35725,74.6375,6.3805,116.006645,2.25,205.0,48.2468321238696,50.0
6.0,110.790066666667,811.866666666667,160.833333333333,6482.5715,53.3033333333333,6.15366666666667,110.221096666667,2.33333333333333,205.0,97.7450913705584,131.5
4.0,105.313925,787.375,150.5,6080.35725,74.6375,6.3805,116.006645,2.25,205.0,48.0144981818182,50.0
3.0,82.245,797.333333333333,140.666666666667,6516.66666666667,127.9,14.91,68.735,5.33333333333333,103.0,60.2657894736842,13.05
3.0,76.8131466666667,845.533333333333,144.0,6473.3633,42.6333333333333,16.286,18.0601666666667,3.33333333333333,155.0,25.0212352941176,8.42
4.0,138.4919125,722.5,185.75,12074.25,91.65,20.825,61.0,5.25,114.0,39.3411764705882,1.53
5.0,82.589862,755.62,150.6,6299.8,80.02,40.02,57.2,3.0,161.0,64.65,2.3
2.0,59.9439593,620.4,158.0,5635.0,65.8,18.75,144.5,4.0,80.0,99.25,18.2
2.0,98.799435,638.65,172.0,7527.0,81.5,11.75,52.0,2.5,46.0,32.5,6.2
4.0,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,205.0,179.003797142857,91.5
2.0,22.03785,1042.35,77.0,2110.0,178.45,53.365,70.1025,5.0,20.0,70.1025,9.0
6.0,92.521545,740.083333333333,157.333333333333,4844.5715,69.1666666666667,7.84366666666667,109.337763333333,2.66666666666667,171.0,69.2975093333333,17.4
2.0,208.0902,709.05,148.5,10560.0,64.65,7.835,21.5,4.5,11.0,18.125,8.05
2.0,67.4025,849.75,129.5,6346.5,106.85,9.6,39.76,4.5,53.0,39.76,9.4
4.0,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,205.0,179.003797142857,83.0
3.0,135.929933333333,659.733333333333,159.0,8459.0,85.9,11.2,36.6666666666667,3.66666666666667,42.0,26.2631578947368,4.1
2.0,92.06519,661.65,202.0,7540.5,65.1,23.9,38.5,4.5,8.0,27.03,6.42
2.0,23.5095,554.65,180.5,1042.5,32.485,5.77,142.5,1.5,27.0,123.333333333333,13.0
5.0,93.501854,778.3,145.0,5287.4858,81.694,7.8124,124.205316,2.8,147.0,160.36094,39.6
2.0,105.80819,685.9,171.5,7940.0,98.2,16.9,60.5,4.5,53.0,57.25,17.832
2.0,38.9615193,613.65,144.5,4405.0,48.05,16.75,133.0,4.0,53.0,53.032,1.82
2.0,82.9435043,559.15,156.5,4423.0,46.75,8.5,124.0,3.0,77.0,68.5,6.0
7.0,64.0733954571429,938.814285714286,132.571428571429,4527.44642857143,92.9714285714286,10.4117142857143,23.82204,3.0,170.0,35.6175508,26.6
2.0,85.93319,802.0,150.5,6694.5,142.05,16.1,27.26,5.5,95.0,18.3466666666667,5.15
4.0,126.5792425,681.675,172.25,9234.0,110.725,20.9,62.75,4.0,95.0,78.0266666666667,3.42
5.0,89.89498,748.04,167.4,5352.4858,79.3,7.4244,88.205316,3.0,199.0,60.8823314285714,14.5
4.0,84.0249025,799.025,158.5,5227.85725,80.1075,9.5305,113.006645,2.25,174.0,95.4895265875371,55.0
