AT,V,AP,RH,PE
13.74,45.08,1024.97,84.79,466.79
22.49,62.96,1020.21,78.99,447.48
4.61,40.27,1012.32,77.28,492.85
31.01,69.04,1009.14,52.81,442.07
5.19,40.78,1025.24,95.07,482.46
27.13,59.54,1004.33,73.27,438.32
27.58,65.27,1013.51,50.43,441.3
25.37,66.75,1017.94,79.26,434.16
12.51,43.67,1013.24,91.55,471.96
32.72,69.75,1009.6,49.35,437.99
31.9,73.42,1010.82,60.58,432.27
13.52,41.44,1015.81,65.97,472.11
13.66,40.55,1005.46,96.02,467.7
13.46,41.4,1019.46,71.73,467.4
7.69,43.02,1014.51,85.23,486.46
11.38,52.75,1026.19,72.71,469.9
23.21,62.44,1011.78,76.66,442.47
10.94,39.69,1004.5,86.29,459.69
15.6,44.68,1018.35,85.91,463.82
22.42,59.43,1007.12,90.56,440.99
8.97,39.66,1021.63,78.94,482.62
18.34,45.64,1019.05,82.53,460.58
19.64,56.65,1020.79,73.88,456.03
30.97,67.9,1005.98,55.6,428.26
19.55,42.04,1009.99,67.87,466.4
17.67,53.16,1013.59,83.31,457.99
23.09,69.13,1010.93,90.07,436.67
22.72,63.73,1012.63,82.14,448.56
18.68,53.29,1018.16,75.01,459.89
30.71,68.27,1007.76,68.04,428.27
21.38,44.05,1005.69,81.66,445.71
13.79,45.08,1025.02,84.36,469.55
26.77,74.22,1008.87,74.68,434.35
23.91,67.69,1008.28,66.71,439.84
33.08,69.75,1009.03,43.69,434.98
31.67,69.89,1013.88,39.33,426.35
28.04,69.14,1007.16,80.38,436.37
18.98,38.52,1018.85,63.16,454.6
22.75,58.86,1016.0,67.34,448.32
7.24,38.06,1020.6,85.36,481.83
7.73,39.04,1018.61,68.23,482.39
6.99,35.19,1019.32,68.95,480.05
16.36,53.82,1015.05,71.95,461.62
11.83,43.14,1010.06,88.14,471.98
29.33,64.84,1010.76,53.32,443.15
14.85,45.01,1013.12,85.53,460.19
29.19,65.71,1013.85,50.5,444.49
27.76,69.4,1004.27,72.25,430.68
22.12,49.39,1019.8,72.83,451.0
11.67,40.23,1017.65,82.48,475.07
21.36,68.28,1007.6,72.37,445.91
20.76,57.25,1011.01,90.31,444.85
8.5,39.16,1014.1,86.64,485.76
16.0,39.16,1016.37,77.63,468.49
16.74,39.16,1005.68,71.17,460.47
19.75,54.2,1011.43,83.5,448.89
25.18,62.96,1020.04,59.08,444.37
7.87,41.17,1020.33,77.77,486.2
26.33,61.41,1011.9,52.1,452.79
17.14,58.16,1018.59,77.22,458.61
11.26,39.35,1015.47,99.28,471.83
25.15,73.67,1007.42,85.48,435.9
21.1,62.66,1011.19,83.49,448.8
20.1,59.87,1018.97,87.23,444.71
26.29,56.85,1012.68,60.33,439.86
10.96,41.93,1019.28,87.38,473.28
20.7,58.16,1016.73,68.19,453.22
17.34,44.06,1015.84,74.88,458.5
15.43,39.64,1008.58,87.99,464.05
6.22,39.33,1012.31,93.23,491.77
27.01,43.77,1011.18,46.58,440.64
29.83,71.43,1011.93,55.8,439.34
17.82,49.15,1020.73,70.25,457.35
15.62,41.23,992.89,83.99,463.21
21.01,58.96,1014.33,61.8,453.88
8.7,36.24,1013.34,89.5,478.69
14.41,43.13,1016.32,59.55,467.46
11.8,41.2,1017.18,82.71,475.19
16.18,41.66,1010.01,65.62,465.82
32.88,72.29,1008.5,62.74,431.74
24.27,74.93,1012.73,73.81,443.06
29.65,71.25,1001.07,73.97,430.88
10.86,44.85,1014.15,88.36,476.87
22.59,60.32,1016.84,78.58,447.17
18.07,44.92,1024.72,69.15,457.53
25.34,65.61,1014.61,57.51,442.82
14.56,40.69,1015.48,73.73,469.31
16.44,44.0,1024.48,76.51,460.33
15.4,40.69,1015.1,70.25,471.66
22.79,44.57,1007.31,69.36,448.91
15.08,42.77,1018.43,73.19,461.68
29.39,69.89,1013.92,47.36,434.27
17.37,48.92,1011.91,58.4,455.53
19.07,44.63,1020.23,44.93,456.37
28.73,73.91,1004.91,70.17,436.12
21.04,65.46,1017.22,63.02,452.12
19.88,47.03,1012.27,91.99,456.44
12.93,41.39,1018.5,80.28,472.57
10.2,41.17,1019.56,82.46,479.7
23.21,58.49,1010.97,74.34,448.09
11.58,39.69,1005.17,86.55,469.6
14.05,39.59,1011.2,94.54,464.63
15.18,44.2,1019.6,72.45,462.09
14.17,42.99,1007.38,78.88,470.68
16.38,55.5,1019.8,82.44,464.58
15.36,40.89,1007.59,86.08,464.12
18.68,46.0,1002.2,97.17,447.8
15.32,45.01,1013.3,83.72,459.31
5.89,39.48,1005.11,59.83,484.91
31.23,66.75,1017.48,36.55,433.9
20.35,67.71,1005.85,63.97,446.42
7.36,40.07,1017.29,52.55,489.45
9.41,43.5,1021.0,88.74,473.84
25.15,57.32,1012.41,41.84,440.1
32.38,67.17,1006.97,60.04,438.67
16.85,41.35,1006.14,79.21,463.37
17.68,39.08,1002.77,74.24,454.18
16.56,42.99,1007.48,74.45,464.62
10.46,37.5,1013.12,76.74,472.16
28.31,74.33,1011.89,69.77,428.46
