Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28.0,41.053469468
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28.0,21.7529678
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7.0,19.765208492
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28.0,40.0585556
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28.0,23.786922
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28.0,36.93522932
288.0,192.0,0.0,192.0,0.0,932.0,717.8,90.0,50.526869708
356.0,119.0,0.0,160.0,9.03,1061.0,657.0,28.0,58.99846132
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,3.0,16.27852836
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506
284.0,15.0,141.0,179.0,5.46,842.0,801.0,28.0,43.733462679999995
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28.0,55.94408264
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28.0,25.74503384
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180.0,32.32952964
140.0,164.0,128.0,237.0,6.0,869.0,656.0,28.0,35.225328839999996
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100.0,48.67011084
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28.0,52.42086028
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28.0,17.959470848000002
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56.0,73.69808963999999
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100.0,47.73931824
149.0,236.0,0.0,176.0,13.0,847.0,893.0,28.0,32.956952799999996
159.0,149.0,116.0,175.0,15.0,953.0,720.0,28.0,27.67556664
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28.0,38.70028788
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.3991368
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7.0,59.09498796
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100.0,40.85834776
249.1,0.0,98.75,158.11,12.8,987.76,889.01,28.0,30.84715624
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3.0,19.93275116
355.0,19.0,97.0,145.0,13.13,967.0,871.0,28.0,44.02993736
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28.0,33.68779736
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0,63.3973182
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3.0,24.40055564
284.0,15.0,141.0,179.0,5.46,842.0,801.0,3.0,13.39553371527068
