AT,V,AP,RH,PE
9.51,40.46,1018.84,70.12,471.32
14.3,54.3,1015.16,75.29,464.9
30.98,69.82,1009.17,50.63,438.44
9.41,34.69,1027.02,78.91,480.87
12.81,45.51,1015.46,79.97,469.27
27.52,69.68,1011.67,56.94,444.83
23.28,72.24,1011.3,90.5,434.21
27.02,72.58,1009.21,89.13,437.8
11.8,45.09,1013.21,89.68,470.57
8.11,41.92,1029.61,91.92,483.52
23.88,54.2,1012.81,64.52,444.97
21.85,59.8,1016.89,75.28,454.26
13.78,38.47,1015.2,57.8,466.41
14.44,42.32,1015.61,76.85,462.13
30.68,73.67,1005.63,57.05,429.64
11.72,40.55,1021.54,85.13,470.8
8.43,40.69,1020.36,87.28,484.94
31.5,74.16,1011.72,56.42,436.43
27.53,70.32,1007.75,49.31,433.72
8.36,40.67,1014.99,73.65,489.1
22.21,69.71,1009.69,96.85,440.14
15.76,44.89,1010.33,85.06,459.67
27.43,64.96,999.72,67.94,431.21
17.01,44.2,1019.18,61.23,457.26
6.29,43.65,1020.68,70.14,485.8
6.41,40.81,1026.57,93.51,484.49
10.37,37.5,1013.19,79.25,473.1
21.55,44.58,1017.2,46.64,464.44
26.62,71.73,1009.32,80.1,431.93
26.38,44.89,1009.14,51.79,442.13
11.02,43.02,1012.32,66.54,478.81
15.55,43.71,1024.34,79.61,465.14
23.41,74.99,1007.22,84.55,442.51
8.2,41.14,1025.24,96.26,474.04
9.37,42.32,1015.15,82.96,477.57
9.76,41.01,1019.66,97.59,467.6
22.28,58.12,1014.54,83.27,448.97
32.63,74.99,1002.42,40.07,432.79
23.05,48.98,1015.64,49.33,446.05
11.02,44.58,1016.4,83.57,481.85
21.12,63.91,1009.33,96.14,447.64
15.09,39.52,1017.05,72.43,469.8
10.2,41.62,1016.52,98.09,462.87
28.29,47.93,1002.6,53.23,437.13
25.77,69.04,1009.66,65.49,445.35
13.69,43.22,1009.94,74.64,466.72
9.42,41.4,1029.99,88.41,477.01
14.29,46.18,1017.01,87.29,464.73
12.59,39.72,1017.76,61.14,470.18
16.03,65.46,1013.96,87.56,455.17
13.93,42.86,1032.37,71.11,468.88
31.08,59.57,1010.76,60.49,442.88
20.28,68.63,1012.42,70.31,454.36
19.15,44.34,1019.54,48.09,468.8
30.39,71.8,1010.87,64.11,435.82
10.92,40.92,1021.84,83.03,467.05
20.36,65.27,1011.73,70.8,445.67
23.55,61.87,1009.65,54.83,443.54
10.82,37.5,1009.23,96.62,473.9
11.99,38.28,1013.65,91.31,469.23
23.97,68.67,1006.63,76.83,441.53
18.13,66.86,1012.9,78.84,454.85
25.56,74.99,1005.41,85.75,433.63
14.84,44.63,1019.28,57.37,466.0
27.29,62.66,1007.63,58.02,439.58
16.96,52.9,1019.61,81.86,460.2
14.97,43.67,1011.13,87.33,465.54
21.75,50.12,1009.36,94.41,446.64
17.83,66.86,1011.65,77.31,456.56
13.98,44.58,1016.48,77.59,473.01
11.05,40.71,1024.91,76.42,479.59
18.93,48.6,1005.72,84.92,449.74
12.15,43.71,1025.78,93.69,472.59
7.32,39.42,1026.15,76.51,476.12
14.5,41.76,1023.94,84.42,464.23
20.18,43.43,1011.31,65.11,450.09
9.77,34.69,1027.72,74.98,477.51
19.76,48.92,1010.48,46.57,456.69
25.97,68.12,1013.11,61.97,437.11
20.3,44.9,1008.25,64.08,457.6
19.24,56.89,1014.29,72.97,452.64
10.23,41.46,1020.45,84.95,480.87
18.48,50.16,1011.45,99.92,452.06
28.15,74.9,1003.67,76.32,433.63
25.27,69.89,1015.21,79.33,436.33
18.83,48.98,1016.33,74.23,453.28
14.79,41.04,1025.32,75.81,456.97
24.78,50.16,1004.56,70.22,448.51
9.78,40.03,1017.33,92.11,480.59
28.88,63.76,1010.16,56.34,435.54
20.08,62.52,1017.99,75.74,450.98
9.27,39.64,1010.79,79.56,480.29
10.29,41.74,1019.9,80.51,480.62
21.99,57.5,1015.87,80.72,446.96
19.62,52.05,1012.09,50.02,456.81
25.49,47.45,1007.89,57.04,444.52
33.15,68.51,1012.9,51.91,428.89
23.86,45.87,1007.71,48.73,446.67
8.09,43.02,1014.79,81.06,484.35
14.5,53.82,1016.81,62.89,464.27
23.83,64.15,1020.93,63.86,447.95
16.77,45.01,1013.47,81.42,458.22
13.31,42.18,1016.0,83.94,466.56
15.92,39.16,1006.59,71.32,460.45
22.33,70.79,1006.02,93.35,436.74
25.15,68.61,1011.03,53.59,447.91
10.1,41.58,1021.26,94.06,468.19
19.23,41.67,1012.53,48.86,465.66
17.92,50.66,1012.62,93.0,456.84
27.15,73.9,1007.57,74.42,433.09
31.0,71.77,1006.29,48.56,431.07
31.02,69.51,1011.16,47.64,431.15
14.81,40.71,1018.54,73.0,467.66
9.94,40.46,1018.9,68.51,473.74
25.56,58.82,1010.44,70.23,441.0
15.98,39.64,1009.31,81.21,467.22
28.7,71.64,1007.11,69.85,436.58
23.48,72.99,1009.61,88.16,437.1
18.48,58.59,1015.61,85.14,452.52
16.73,43.79,1016.25,73.58,468.87
