AT,V,AP,RH,PE
13.21,44.0,1024.5,86.59,466.39
23.99,68.0,1012.92,70.68,437.14
13.72,45.0,1014.07,77.0,464.59
14.82,44.0,1018.98,72.8,465.73
18.21,45.0,1022.86,48.84,467.54
23.17,62.0,1008.04,89.42,439.29
15.11,43.0,1014.99,46.91,466.74
27.89,71.0,1007.54,49.18,435.21
11.27,41.0,1017.03,61.94,471.26
13.56,44.0,1011.34,94.02,467.09
10.61,44.0,1016.03,76.33,480.28
26.8,73.0,1009.22,89.03,431.18
7.91,38.0,1020.59,61.0,483.49
14.88,42.0,1009.4,67.15,468.55
17.76,41.0,1002.82,73.77,461.8
24.45,66.0,1014.24,58.15,449.22
19.65,42.0,1013.04,75.9,461.16
23.62,74.0,1007.0,90.8,438.33
25.95,63.0,1011.77,66.22,445.5
6.04,41.0,1027.92,87.12,481.37
3.94,40.0,1008.06,97.49,488.81
22.96,71.0,1005.68,93.93,434.47
26.97,64.0,1009.43,53.96,443.75
22.58,52.0,1009.04,78.99,445.6
25.35,65.0,1012.67,70.36,438.17
20.51,42.0,1013.25,71.83,461.78
24.74,59.0,1012.18,74.2,440.36
16.2,39.0,1002.14,75.03,467.89
17.12,59.0,1016.74,90.41,451.67
29.3,70.0,1010.95,61.23,426.25
30.98,70.0,1009.17,50.63,438.44
25.42,59.0,1011.98,68.78,444.51
29.03,68.0,1010.86,54.03,445.03
17.1,62.0,1020.39,93.63,453.4
27.3,65.0,1016.24,44.87,442.78
26.34,59.0,1013.37,58.98,439.22
8.09,38.0,1012.99,67.31,484.81
18.09,49.0,1010.6,52.11,455.07
23.47,51.0,1011.89,74.1,448.65
18.4,44.0,1012.4,77.81,464.63
13.22,45.0,1023.84,87.99,471.43
13.79,42.0,1018.27,88.06,462.25
23.77,51.0,1006.67,84.09,441.54
8.58,38.0,1021.03,84.37,482.26
15.47,39.0,1001.13,77.61,467.96
29.11,75.0,1009.6,56.93,438.75
23.83,71.0,1002.04,64.78,443.29
23.89,65.0,1012.46,78.29,438.97
28.62,70.0,1013.3,68.53,432.11
6.3,39.0,1010.63,94.26,489.95
16.01,44.0,1017.12,62.43,465.89
7.16,39.0,1019.17,70.1,486.12
10.32,39.0,1012.11,81.49,479.17
26.91,72.0,1004.59,83.54,438.73
19.76,59.0,1017.37,89.09,449.76
13.16,54.0,1017.33,82.43,468.4
21.5,62.0,1008.43,78.13,447.83
14.84,41.0,1017.26,63.42,460.3
26.07,71.0,1008.6,79.48,439.25
21.94,65.0,1007.39,77.58,449.36
17.74,51.0,1015.56,89.78,457.71
4.97,41.0,1020.91,94.28,485.43
19.32,53.0,1016.86,68.2,457.66
7.61,38.0,1021.16,83.22,484.14
4.73,41.0,999.77,93.44,486.6
26.44,72.0,1009.52,81.75,430.55
29.03,68.0,1010.67,55.42,444.09
15.6,45.0,1018.35,85.91,463.82
13.98,54.0,1015.58,74.91,466.52
25.52,61.0,1012.84,75.98,435.48
17.29,43.0,1014.38,72.3,464.27
26.48,68.0,1004.83,55.96,432.19
30.49,70.0,1011.34,66.33,434.76
24.39,64.0,1013.3,77.53,443.65
7.54,38.0,1014.58,78.43,481.56
10.28,41.0,1018.44,85.23,479.66
29.84,75.0,1009.64,61.39,435.05
8.23,41.0,1022.89,98.03,474.52
18.59,40.0,1008.56,68.61,462.56
26.02,63.0,1010.94,53.96,446.82
8.06,40.0,1024.23,94.48,476.03
8.32,40.0,1010.93,78.21,479.69
19.78,50.0,1008.62,96.4,449.23
28.5,71.0,1002.54,69.35,435.7
23.74,63.0,1019.65,63.39,449.48
9.68,38.0,1015.54,79.67,475.51
24.26,57.0,1013.86,70.35,442.9
13.07,46.0,1015.22,78.65,460.14
20.6,45.0,1017.67,48.36,466.2
18.87,52.0,1005.25,99.19,449.61
32.33,70.0,1011.95,39.89,439.79
19.94,51.0,1008.78,92.07,449.6
8.87,42.0,1033.3,74.28,477.97
7.55,44.0,1019.09,61.71,481.61
24.39,52.0,1014.92,59.98,447.7
24.17,72.0,1010.16,89.96,436.27
24.07,73.0,1006.61,73.46,438.41
24.99,49.0,1010.03,41.26,443.12
14.66,42.0,1012.89,62.41,466.87
28.97,64.0,1014.55,54.67,438.08
10.94,39.0,1021.81,86.02,479.2
18.68,44.0,1016.68,48.88,463.02
32.09,69.0,1003.1,56.91,430.62
21.11,66.0,1009.83,71.91,448.77
22.08,70.0,1008.41,72.86,441.57
24.62,68.0,1010.45,75.18,448.58
24.88,72.0,1006.85,87.32,433.3
16.2,46.0,1014.73,89.84,460.87
25.52,59.0,1013.88,65.37,439.42
22.83,71.0,1006.36,92.07,438.0
21.84,59.0,1014.13,69.67,445.16
19.3,66.0,1014.07,81.98,452.76
9.16,41.0,1021.3,76.08,484.96
11.22,43.0,1017.24,80.9,473.93
14.69,50.0,1023.43,78.17,434.12
19.23,45.0,1012.24,72.91,450.77
27.18,65.0,1016.27,63.7,443.87
20.96,61.0,1019.99,67.32,448.77
8.57,40.0,1000.91,99.9,474.29
28.43,73.0,1012.52,71.05,427.11
