AT,V,AP,RH,PE
19.45,38.52,1017.99,62.86,451.96
29.12,66.51,1015.69,37.9,432.88
16.99,40.89,1011.54,64.51,464.95
31.01,67.83,1007.95,43.57,429.46
12.21,41.67,1012.88,85.19,475.07
24.11,68.63,1014.34,45.28,448.45
26.65,58.41,1013.53,65.83,442.66
18.99,44.6,1014.7,40.11,463.48
16.76,45.09,1014.28,57.71,458.67
10.91,42.34,1021.83,94.99,470.91
9.68,40.22,1007.6,89.97,479.56
16.58,46.18,1010.4,96.29,463.51
12.84,39.54,1011.47,89.86,468.22
11.94,40.66,1016.61,96.11,467.99
16.22,41.35,1000.96,79.59,462.21
17.33,42.28,1007.97,50.33,462.26
26.98,74.78,1009.77,69.54,442.28
17.68,45.17,1017.5,77.57,461.96
25.89,58.86,1014.16,52.95,445.17
14.33,43.41,1015.43,55.4,462.94
14.12,39.52,1016.79,75.89,472.32
13.56,41.48,1008.53,87.2,459.76
25.95,59.92,1010.05,76.05,443.93
16.01,65.46,1014.0,87.68,454.16
32.05,77.24,1008.06,67.09,432.49
23.39,63.21,1011.91,84.57,448.3
30.74,71.77,1006.24,53.38,434.89
14.73,58.2,1019.45,82.48,458.56
30.72,71.58,1009.98,50.39,430.46
12.25,41.38,1021.81,59.0,474.77
22.08,69.94,1008.41,72.86,441.57
27.16,65.61,1014.21,47.93,441.33
31.54,77.24,1008.23,70.19,431.27
26.29,56.85,1012.68,60.33,439.86
3.74,35.19,1018.58,98.84,490.5
12.75,42.34,1018.17,94.67,465.44
28.9,71.94,1007.29,64.77,427.41
18.14,67.71,1003.82,95.69,442.45
30.0,61.5,1009.4,48.63,435.6
19.8,52.9,1017.75,66.67,456.64
18.22,58.2,1017.09,81.92,451.04
12.64,41.49,1019.78,94.0,468.78
9.45,41.92,1029.32,91.09,467.79
25.18,65.06,1013.64,55.77,440.27
15.39,39.31,1008.78,66.67,461.39
14.32,71.14,1019.87,79.15,460.02
12.15,43.71,1025.78,93.69,472.59
29.58,66.51,1015.57,32.95,435.47
20.03,47.45,1009.04,77.56,450.6
21.39,64.27,1011.71,95.39,445.12
22.05,48.14,1015.81,69.94,447.37
5.01,39.4,1003.69,91.9,475.34
25.82,57.19,1007.99,62.95,440.8
25.95,73.77,1001.35,92.67,432.21
31.31,67.48,1009.71,57.06,440.38
19.82,57.85,1011.58,97.23,447.36
23.85,52.3,1005.9,70.95,441.99
26.38,65.12,1016.1,47.57,441.07
7.98,40.77,1008.69,98.65,480.72
8.23,40.77,1011.92,90.59,479.24
20.92,57.76,1017.22,75.86,453.96
11.02,40.71,1020.3,86.64,469.31
15.5,40.12,1012.79,96.75,460.41
22.21,45.01,1012.22,54.84,450.6
18.01,54.9,1017.04,77.82,455.91
26.31,77.95,1012.45,77.22,436.83
14.49,41.16,1000.5,82.17,465.24
13.75,40.66,1016.41,93.31,461.81
32.48,69.75,1009.05,40.47,438.17
20.78,62.52,1017.58,73.3,452.3
12.77,36.71,1013.29,86.4,475.59
24.8,72.24,1011.58,83.61,435.25
31.98,70.17,999.43,59.42,430.92
17.03,47.83,1004.94,79.68,460.43
9.38,41.44,1015.09,86.8,481.96
11.48,44.58,1016.43,80.15,478.53
9.51,40.46,1018.84,70.12,471.32
12.02,41.92,1030.1,84.45,465.82
26.71,66.25,1008.11,79.28,435.41
13.8,42.99,1007.16,67.28,470.93
19.89,68.08,1012.65,80.25,448.71
17.49,40.55,1001.73,73.15,462.37
6.13,40.81,1026.31,91.66,483.8
22.0,59.54,1004.55,95.25,439.37
21.12,47.24,1003.79,70.55,462.41
15.02,41.48,1015.19,58.69,456.04
22.79,69.13,1010.87,91.47,438.08
14.89,35.71,1015.1,55.11,469.37
30.67,77.95,1015.28,61.67,435.96
3.99,39.64,1011.53,83.58,492.06
17.32,44.34,1019.52,56.24,468.8
18.51,48.06,1015.14,79.83,455.44
23.18,72.99,1009.01,90.09,439.12
26.11,70.36,1007.64,70.12,445.37
21.75,60.27,1018.55,87.81,444.19
5.49,38.5,1012.18,79.33,490.84
30.06,69.14,1007.5,72.48,436.89
23.02,59.21,1011.74,83.18,440.5
9.84,40.22,1009.5,85.38,479.65
25.42,66.05,1016.74,68.92,442.6
17.8,43.72,1008.71,78.5,458.92
29.24,74.67,1015.81,59.95,432.61
22.49,62.96,1020.21,78.99,447.48
5.48,40.07,1019.63,65.62,495.76
12.51,41.14,1027.36,87.86,463.79
10.76,44.58,1016.41,79.24,483.54
13.5,41.44,1015.72,68.36,471.34
19.51,66.51,1015.28,80.75,448.04
30.8,70.94,1007.06,63.09,432.44
31.86,73.88,1005.6,57.68,435.91
25.18,61.08,1013.08,80.75,445.64
13.51,40.1,1014.29,86.34,470.65
18.76,44.71,1015.15,30.83,462.18
20.61,48.78,1020.8,85.05,449.38
22.79,44.57,1007.31,69.36,448.91
23.37,65.46,1016.25,48.64,447.07
4.16,35.47,1017.72,88.49,486.7
4.47,35.19,1018.78,92.68,487.43
14.01,42.99,1007.12,69.69,469.23
27.53,70.32,1007.75,49.31,433.72
