Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7.0,20.416073836
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7.0,59.09498796
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.813781648
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3.0,37.79707432
385.0,0.0,0.0,186.0,0.0,966.0,763.0,7.0,23.221551679999997
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28.0,21.6495464
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14.0,23.5111316
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047983999995
387.0,20.0,94.0,157.0,13.93,938.0,845.0,7.0,45.89841732
296.0,0.0,107.0,221.0,11.0,819.0,778.0,28.0,31.41942132
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3.0,13.52062436
277.05,0.0,97.39,160.6,11.83,973.9,875.61,3.0,23.13881456
238.05,0.0,94.11,186.66,7.0,949.91,847.01,56.0,39.58971192
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7.0,9.617500724
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,100.0,37.34202016
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28.0,36.443632932
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3.0,9.4458212
359.0,19.0,141.0,154.0,10.91,942.0,801.0,7.0,38.610656
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90.0,43.25082948
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.398217439999996
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28.0,30.12320644
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.69990824
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100.0,50.93848688
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256000005
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3.0,23.63917714581204
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3.0,6.902344236
222.36,0.0,96.67,189.29,4.46,967.08,870.32,3.0,11.57630204
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28.0,33.003837168
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100.0,40.56876784
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180.0,61.921839559999995
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7.0,26.0621928
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90.0,31.023662096
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,56.0,51.4349096
313.0,161.0,0.0,178.0,10.0,917.0,759.0,28.0,52.44154456
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3.0,4.565020596
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100.0,53.90323368
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.29819356
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,100.0,66.42411784
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28.0,29.72331036
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28.0,22.629981272
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28.0,16.49916068
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3.0,9.4458212
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28.0,27.82725136
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,56.0,56.847296199999995
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90.0,36.588422892
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3.0,4.9035533120000006
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7.0,54.09628696
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28.0,28.46846404
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28.0,16.503987012
194.68,0.0,100.52,170.17,7.48,998.0,901.8,100.0,44.27814872
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3.0,17.9953236
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14.0,21.60128308
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1.0,6.26733684
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28.0,46.2293658
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14.0,23.5111316
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,56.0,51.4349096
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.29819356
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,56.0,44.14025352
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3.0,4.9035533120000006
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.116911232
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14.0,30.38520732
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90.0,35.17017076
339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28.0,31.6469484
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.021683592
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14.0,59.76377968
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.69717028
222.36,0.0,96.67,189.29,4.46,967.08,870.32,14.0,24.44881896
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3.0,17.22311048
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28.0,15.526310044
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28.0,15.526310044
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3.0,6.8085755
289.0,0.0,0.0,192.0,0.0,913.2,895.3,90.0,32.068218236
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7.0,18.91232668
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90.0,29.39236188
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7.0,47.09810556
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.79825348
387.0,20.0,94.0,157.0,13.93,938.0,845.0,3.0,25.510612
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.58931216
277.05,0.0,97.39,160.6,11.83,973.9,875.61,14.0,41.885667
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28.0,26.91369566
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3.0,15.81657944
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90.0,33.192064116000005
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,21.26343984
154.8,0.0,142.8,193.3,9.1,877.2,867.7,28.0,9.738159024
387.0,20.0,94.0,157.0,14.32,938.0,845.0,3.0,22.752708
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28.0,15.526310044
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,14.0,36.9903874
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28.0,17.596806471999997
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7.0,30.9574724
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3.0,6.8085755
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28.0,24.046164976
355.0,19.0,97.0,145.0,12.25,967.0,871.0,28.0,55.45455468
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,56.0,44.395359639999995
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14.0,26.77235308
313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28.0,36.804918356
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243671999994
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3.0,12.788400847999998
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28.0,45.304778484
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.029847436
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56.0,54.765078679999995
148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28.0,17.95395504
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180.0,61.921839559999995
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7.0,35.101223159999996
250.0,0.0,95.69,187.42,5.53,956.86,861.17,28.0,29.21999288
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3.0,15.81657944
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7.0,45.69846928
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28.0,26.91714304
355.0,19.0,97.0,145.0,13.13,967.0,871.0,28.0,44.02993736
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28.0,33.003837168
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.823194456
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28.0,26.859916531999996
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28.0,38.215586251999994
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28.0,15.526310044
