frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
500.0,17.4,0.0254,31.7,0.0176631,127.676
3150.0,4.0,0.2286,71.3,0.00400603,124.108
630.0,0.0,0.1016,39.6,0.00146332,125.401
5000.0,2.7,0.1524,71.3,0.00243851,124.364
200.0,15.6,0.1016,39.6,0.0528487,123.514
5000.0,15.4,0.0508,55.5,0.0271925,117.11
1250.0,8.4,0.0508,31.7,0.00580776,130.156
3150.0,0.0,0.1016,31.7,0.00150092,129.973
630.0,12.3,0.1016,71.3,0.0337792,135.368
800.0,6.7,0.1016,39.6,0.00578076,134.625
800.0,15.6,0.1016,39.6,0.0528487,118.964
2000.0,0.0,0.0508,31.7,0.000812164,133.01
2500.0,12.7,0.0254,39.6,0.0130253,129.027
5000.0,3.0,0.3048,31.7,0.00529514,113.858
2000.0,15.6,0.1016,71.3,0.0437259,119.888
10000.0,3.3,0.1016,71.3,0.00202822,116.694
4000.0,0.0,0.2286,55.5,0.00229336,123.41
6300.0,15.4,0.0508,71.3,0.0264269,115.215
12500.0,4.0,0.3048,71.3,0.00497773,107.405
6300.0,7.3,0.2286,55.5,0.0111706,111.534
630.0,7.3,0.2286,55.5,0.0111706,130.934
2000.0,9.9,0.1524,55.5,0.0208438,119.505
6300.0,3.3,0.1016,39.6,0.00245138,120.851
3150.0,4.8,0.0254,71.3,0.000848633,133.378
2000.0,5.4,0.1524,31.7,0.00525474,122.771
2500.0,22.2,0.0254,71.3,0.0214178,126.097
315.0,12.6,0.1524,71.3,0.0483159,128.484
1250.0,9.9,0.1524,31.7,0.0252785,118.619
1250.0,12.3,0.1016,39.6,0.0408268,121.165
250.0,11.2,0.0508,39.6,0.0150478,126.43
315.0,4.0,0.3048,71.3,0.00497773,128.175
800.0,0.0,0.0508,71.3,0.000740478,130.96
8000.0,7.2,0.1524,71.3,0.00752039,113.333
10000.0,4.0,0.2286,71.3,0.00400603,113.108
200.0,11.2,0.0508,71.3,0.014072,125.941
