Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
379.5,151.2,0.0,153.9,15.9,1134.3,91.0,605.0,56.49566344
149.5,236.0,0.0,175.8,12.6,846.8,28.0,892.7,32.96384756
222.36,0.0,96.67,189.29,4.46,967.08,3.0,870.32,11.57630204
500.0,0.0,0.0,200.0,0.0,1125.0,270.0,613.0,55.15808
290.2,193.5,0.0,185.7,0.0,998.2,28.0,704.3,33.0431373
475.0,0.0,0.0,228.0,0.0,932.0,90.0,594.0,42.229026048
401.8,94.7,0.0,147.4,11.4,946.8,56.0,852.1,73.69808963999999
122.6,183.9,0.0,203.5,0.0,958.2,3.0,800.1,3.31982694
168.88,42.22,124.25,158.33,10.83,1080.8,56.0,796.15,39.14844728
149.0,118.0,92.0,183.0,7.0,953.0,28.0,780.0,23.51802636
300.0,0.0,120.0,212.0,10.0,878.0,28.0,728.0,23.83518532
389.9,189.0,0.0,145.9,22.0,944.7,3.0,755.8,40.59634688
237.5,237.5,0.0,228.0,0.0,932.0,7.0,594.0,26.258003984
166.8,250.2,0.0,203.5,0.0,975.6,28.0,692.6,33.947729812
540.0,0.0,0.0,173.0,0.0,1125.0,180.0,613.0,71.62276688
146.5,114.6,89.3,201.9,8.8,860.0,28.0,829.5,19.98790924
350.0,0.0,0.0,203.0,0.0,974.0,7.0,775.0,18.12632404
284.0,119.7,0.0,168.3,7.2,970.4,28.0,794.2,40.934879596
312.7,0.0,0.0,178.1,8.0,999.7,28.0,822.2,25.10382116
200.0,200.0,0.0,190.0,0.0,1145.0,28.0,660.0,49.249270679999995
159.8,250.0,0.0,168.4,12.2,1049.3,28.0,688.2,39.455953576
173.81,93.37,159.9,172.34,9.73,1007.2,14.0,746.6,29.55094136
288.0,192.0,0.0,192.0,0.0,932.0,28.0,717.8,38.804398756000005
214.9,53.8,121.89,155.63,9.61,1014.3,14.0,780.58,38.60376124
166.8,250.2,0.0,203.5,0.0,975.6,7.0,692.6,15.748321315999998
