frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
630.0,5.3,0.2286,71.3,0.0051942,131.8
800.0,2.7,0.1524,71.3,0.00243851,127.394
5000.0,4.8,0.0254,39.6,0.000907475,135.426
20000.0,4.0,0.2286,71.3,0.00400603,109.638
2500.0,9.5,0.0254,71.3,0.00420654,135.956
2000.0,0.0,50.8,31.7,0.000812164,133.01
10000.0,0.0,0.0254,39.6,0.000428464,133.376
1600.0,9.5,0.0254,55.5,0.0043284,133.062
3150.0,0.0,25.4,71.3,0.000400682,137.007
6300.0,0.0,50.8,31.7,0.000812164,130.34
10000.0,4.2,0.0508,39.6,0.00152689,116.967
1600.0,4.0,0.3048,71.3,0.00497773,126.645
200.0,17.4,0.0254,39.6,0.0172206,114.044
5000.0,7.3,0.2286,55.5,0.0111706,113.144
3150.0,2.0,0.2286,31.7,0.00372371,121.527
500.0,5.4,0.1524,39.6,0.00485029,129.937
10000.0,0.0,101.6,55.5,0.00131983,121.93
4000.0,0.0,0.1524,39.6,0.00193287,125.343
2500.0,9.5,0.0254,39.6,0.00449821,131.234
4000.0,12.6,152.4,71.3,0.0483159,108.034
800.0,0.0,0.1016,31.7,0.00150092,129.053
1600.0,2.0,228.6,31.7,0.00372371,125.797
1000.0,0.0,0.3048,71.3,0.00266337,125.201
1250.0,8.9,101.6,71.3,0.0103088,132.793
200.0,0.0,0.3048,31.7,0.00331266,117.195
2000.0,0.0,0.2286,71.3,0.00214345,128.244
6300.0,15.4,50.8,39.6,0.0282593,109.663
2000.0,5.3,228.6,71.3,0.0051942,125.89
1250.0,7.3,0.2286,31.7,0.0132672,120.509
2500.0,11.2,0.0508,39.6,0.0150478,122.17
315.0,12.3,0.1016,71.3,0.0337792,137.068
1000.0,0.0,0.3048,31.7,0.00331266,127.365
400.0,12.6,0.1524,71.3,0.0483159,127.094
200.0,17.4,0.0254,55.5,0.0165706,109.951
1600.0,12.3,0.1016,31.7,0.0418756,114.477
250.0,19.7,50.8,39.6,0.036484,127.224
1600.0,9.5,25.4,39.6,0.00449821,131.184
12500.0,0.0,0.1016,55.5,0.00131983,119.91
2500.0,0.0,0.3048,55.5,0.00283081,124.106
630.0,2.7,0.1524,71.3,0.00243851,127.404
5000.0,2.0,0.2286,31.7,0.00372371,118.267
6300.0,12.7,0.0254,71.3,0.0121808,125.398
2000.0,7.2,0.1524,39.6,0.00909175,120.228
5000.0,3.0,0.3048,71.3,0.00425727,118.134
800.0,9.9,0.1524,31.7,0.0252785,125.539
500.0,17.4,0.0254,71.3,0.016104,119.806
1000.0,15.6,0.1016,71.3,0.0437259,124.438
2500.0,3.0,0.3048,39.6,0.00495741,120.162
200.0,9.9,152.4,55.5,0.0208438,131.955
1250.0,0.0,0.1016,71.3,0.00121072,130.335
5000.0,2.0,0.2286,55.5,0.00313525,120.472
4000.0,5.4,0.1524,55.5,0.00433288,119.737
1250.0,7.3,228.6,55.5,0.0111706,125.724
3150.0,4.0,0.2286,55.5,0.0042862,122.394
1250.0,3.3,0.1016,39.6,0.00245138,133.211
2000.0,5.3,0.2286,39.6,0.00614329,117.911
1000.0,9.5,0.0254,39.6,0.00449821,130.374
500.0,15.4,0.0508,71.3,0.0264269,127.285
800.0,4.0,0.2286,55.5,0.0042862,131.864
400.0,15.4,0.0508,31.7,0.0289853,123.705
4000.0,22.2,0.0254,39.6,0.0229028,119.646
1000.0,8.4,50.8,71.3,0.00529514,129.946
1250.0,4.0,228.6,55.5,0.0042862,131.264
1250.0,8.4,50.8,71.3,0.00529514,132.086
500.0,7.3,0.2286,55.5,0.0111706,133.174
1000.0,7.3,0.2286,39.6,0.0123481,122.539
4000.0,0.0,0.0254,31.7,0.000439472,137.047
250.0,7.3,228.6,31.7,0.0132672,130.089
630.0,6.7,0.1016,39.6,0.00578076,133.355
1000.0,9.9,0.1524,31.7,0.0252785,122.149
5000.0,3.3,0.1016,39.6,0.00245138,122.371
400.0,4.0,0.2286,31.7,0.00509068,126.149
4000.0,9.5,0.0254,39.6,0.00449821,127.864
400.0,17.4,0.0254,55.5,0.0165706,115.461
500.0,12.3,0.1016,55.5,0.0368233,133.774
2000.0,3.0,0.3048,71.3,0.00425727,125.524
1250.0,2.0,0.2286,39.6,0.00346574,128.257
630.0,3.0,304.8,55.5,0.00452492,129.569
400.0,0.0,228.6,39.6,0.00253511,123.565
3150.0,8.9,0.1016,39.6,0.0124596,119.35
3150.0,9.5,0.0254,55.5,0.0043284,133.252
250.0,12.3,101.6,71.3,0.0337792,131.568
4000.0,0.0,0.2286,55.5,0.00229336,123.41
2500.0,12.3,0.1016,31.7,0.0418756,110.317
2000.0,11.2,0.0508,39.6,0.0150478,124.42
3150.0,4.8,0.0254,71.3,0.000848633,133.378
200.0,7.3,0.2286,39.6,0.0123481,130.989
1250.0,22.2,0.0254,39.6,0.0229028,126.446
10000.0,5.3,0.2286,71.3,0.0051942,111.35
250.0,8.9,0.1016,39.6,0.0124596,134.34
1250.0,15.6,0.1016,39.6,0.0528487,118.214
200.0,19.7,50.8,39.6,0.036484,125.974
3150.0,3.0,0.3048,71.3,0.00425727,121.514
1250.0,8.4,0.0508,39.6,0.00566229,131.205
1250.0,5.4,0.1524,55.5,0.00433288,130.777
2000.0,0.0,0.3048,71.3,0.00266337,127.461
4000.0,9.9,0.1524,39.6,0.0233328,112.265
10000.0,4.0,0.3048,71.3,0.00497773,110.905
10000.0,4.8,0.0254,71.3,0.000848633,127.398
5000.0,0.0,0.0508,55.5,0.00076193,134.556
400.0,7.3,0.2286,55.5,0.0111706,135.924
500.0,11.2,0.0508,71.3,0.014072,130.311
1250.0,15.4,0.0508,39.6,0.0282593,126.743
4000.0,12.7,25.4,71.3,0.0121808,131.808
2500.0,6.7,101.6,71.3,0.00478288,131.458
5000.0,8.4,0.0508,71.3,0.00529514,121.146
8000.0,0.0,0.0254,31.7,0.000439472,137.207
1000.0,3.0,0.3048,71.3,0.00425727,129.004
400.0,5.4,0.1524,55.5,0.00433288,126.807
315.0,4.0,0.2286,31.7,0.00509068,123.609
4000.0,12.3,0.1016,55.5,0.0368233,114.404
1000.0,8.9,0.1016,39.6,0.0124596,129.58
1250.0,0.0,0.1524,31.7,0.00209405,131.467
12500.0,0.0,0.2286,71.3,0.00214345,117.624
4000.0,0.0,50.8,55.5,0.00076193,134.946
315.0,12.6,0.1524,71.3,0.0483159,128.484
250.0,4.0,0.3048,71.3,0.00497773,126.395
800.0,4.0,0.3048,39.6,0.00579636,130.723
2500.0,17.4,0.0254,31.7,0.0176631,124.166
2500.0,4.0,0.2286,55.5,0.0042862,122.384
